date,CPS,CES_PNS
1989-01-01,85.9773,85.1016
1989-04-01,86.1595,85.2498
1989-07-01,86.5992,85.3968
1989-10-01,86.7749,85.7493
1990-01-01,86.8238,86.3339
1990-04-01,86.7882,86.0035
1990-07-01,86.5829,85.6599
1990-10-01,86.2421,85.0709
1991-01-01,85.6473,84.3519
1991-04-01,85.5018,83.7897
1991-07-01,85.5427,83.8667
1991-10-01,85.7304,83.8196
1992-01-01,86.058,83.859
1992-04-01,86.4297,84.5591
1992-07-01,86.6701,84.6795
1992-10-01,86.7469,85.0736
1993-01-01,87.1922,85.8364
1993-04-01,87.7873,86.6249
1993-07-01,88.4754,87.332
1993-10-01,89.1767,88.2752
1994-01-01,89.6733,88.8983
1994-04-01,90.0598,90.2539
1994-07-01,90.7122,91.292
1994-10-01,91.6175,92.1025
1995-01-01,91.9102,92.7111
1995-04-01,92.0811,92.5962
1995-07-01,92.5595,93.2746
1995-10-01,92.8457,93.5889
1996-01-01,93.104,93.7636
1996-04-01,93.8572,94.9888
1996-07-01,94.6713,95.8628
1996-10-01,95.2454,96.6221
1997-01-01,95.873,97.3138
1997-04-01,96.7351,98.3221
1997-07-01,97.4005,99.1932
1997-10-01,97.8218,99.9747
1998-01-01,98.1902,100.373
1998-04-01,98.7253,100.798
1998-07-01,99.2201,101.423
1998-10-01,99.7914,102.076
1999-01-01,99.9223,102.489
1999-04-01,100.112,103.033
1999-07-01,100.849,103.624
1999-10-01,101.648,104.516
2000-01-01,102.37,105.107
2000-04-01,102.611,105.386
2000-07-01,102.507,105.498
2000-10-01,102.726,105.326
2001-01-01,102.73,105.224
2001-04-01,102.034,104.435
2001-07-01,101.477,103.598
2001-10-01,100.93,102.335
2002-01-01,100.621,102.159
2002-04-01,101.081,102.085
2002-07-01,101.237,101.631
2002-10-01,101.269,101.372
2003-01-01,101.092,100.644
2003-04-01,101.092,100.219
2003-07-01,100.993,100.253
2003-10-01,101.653,100.723
2004-01-01,102.086,101.122
2004-04-01,102.195,101.8
2004-07-01,102.66,102.45
2004-10-01,103.178,103.174
2005-01-01,103.6,103.552
2005-04-01,104.508,104.345
2005-07-01,105.236,105.049
2005-10-01,105.327,105.878
2006-01-01,105.942,106.909
2006-04-01,106.71,107.53
2006-07-01,107.217,107.897
2006-10-01,107.856,108.365
2007-01-01,107.784,108.712
2007-04-01,107.525,109.273
2007-07-01,107.767,109.405
2007-10-01,108.171,109.682
2008-01-01,107.963,109.497
2008-04-01,107.526,108.89
2008-07-01,106.597,107.835
2008-10-01,105.16,105.772
2009-01-01,102.879,102.816
2009-04-01,100.181,100.485
2009-07-01,99.7582,99.9101
2009-10-01,99.5094,99.7046
2010-01-01,100.151,99.7992
2010-04-01,100.676,100.532
2010-07-01,100.864,101.12
2010-10-01,100.925,101.765
2011-01-01,101.459,101.912
2011-04-01,101.421,103.046
2011-07-01,101.668,103.61
2011-10-01,102.652,104.452
2012-01-01,103.249,105.511
2012-04-01,103.54,105.771
2012-07-01,104.064,106.168
2012-10-01,104.885,106.69
2013-01-01,104.753,107.32
2013-04-01,105.286,107.759
2013-07-01,105.916,108.107
2013-10-01,105.877,108.707
2014-01-01,106.78,109
2014-04-01,107.347,110.283
2014-07-01,107.795,110.924
2014-10-01,108.733,111.737
2015-01-01,109.027,112.194
2015-04-01,109.627,112.331
2015-07-01,109.577,113.285
2015-10-01,110.455,113.905
2016-01-01,111.127,114.041
2016-04-01,111.276,114.318
2016-07-01,111.402,114.794
2016-10-01,111.344,115.298
2017-01-01,111.894,115.939
2017-04-01,112.643,116.79
2017-07-01,113.352,117.133
2017-10-01,113.531,117.919
2018-01-01,114.354,118.274
2018-04-01,115.281,119.188
2018-07-01,115.272,119.581
2018-10-01,115.911,119.831
2019-01-01,116.11,120.235
2019-04-01,116.308,120.312
2019-07-01,117.274,120.405
2019-10-01,117.951,120.763
2020-01-01,116.211,120.705
2020-04-01,99.9383,104.056
2020-07-01,106.248,111.644
2020-10-01,109.566,114.39
2021-01-01,110.188,115.24
2021-04-01,111.191,116.999
2021-07-01,112.475,118.408
2021-10-01,114.115,120.214
2022-01-01,115.348,121.216
2022-04-01,115.862,122.398
2022-07-01,116.206,123.165
2022-10-01,116.337,123.454
2023-01-01,117.659,124.145
2023-04-01,117.784,124.097
2023-07-01,117.948,124.426
2023-10-01,117.782,124.698
2024-01-01,117.697,124.918
2024-04-01,117.924,125.133
2024-07-01,117.933,125.136
2024-10-01,117.986,125.427
2025-01-01,118.655,125.331
2025-04-01,118.465,125.511
2025-07-01,118.55,125.793
2025-10-01,118.749,126.016
2026-01-01,118.385,126.546
2026-04-01,,126.834
