date,ALL,PNS,PNS_3,PNS_Real,PNS_Real_3
1988-01-01,,,,,
1988-02-01,,,,,
1988-03-01,,,,,
1988-04-01,,,,,
1988-05-01,,,,,
1988-06-01,,,4.22452,,-0.423391
1988-07-01,,,4.50921,,-0.247227
1988-08-01,,,3.46288,,-1.45014
1988-09-01,,,3.45044,,-1.44417
1988-10-01,,,3.72987,,-1.27479
1988-11-01,,,4.74312,,-0.0660084
1988-12-01,,,4.58051,,0.132673
1989-01-01,,3.87513,4.27291,-0.581554,-0.033076
1989-02-01,,4.19806,3.96693,-0.429154,-0.312977
1989-03-01,,4.18904,4.09769,-0.670838,-0.50069
1989-04-01,,4.16667,4.22775,-0.825887,-1.00713
1989-05-01,,3.50691,3.64364,-1.68099,-2.39221
1989-06-01,,3.82572,3.207,-1.27772,-3.20328
1989-07-01,,4.02116,2.91496,-0.991904,-2.9324
1989-08-01,,3.91121,3.32958,-0.67925,-1.14518
1989-09-01,,3.78549,3.74245,-0.622068,0.556477
1989-10-01,,3.76569,3.87231,-0.785436,1.23685
1989-11-01,,3.65344,4.0002,-0.957034,0.723796
1989-12-01,,3.95833,4.12601,-0.651062,-0.00168043
1990-01-01,,3.8342,4.25254,-1.29643,-1.1264
1990-02-01,,4.02893,4.7945,-1.17252,-1.32163
1990-03-01,,4.2268,5.05452,-0.960222,-1.87898
1990-04-01,,3.79487,5.03732,-0.875495,-1.14585
1990-05-01,,4.31211,4.32517,-0.0510564,-0.765197
1990-06-01,,4.40123,3.76051,-0.260258,-0.245457
1990-07-01,,3.96745,3.74792,-0.812666,-0.446095
1990-08-01,,4.17091,3.60144,-1.44926,-1.98209
1990-09-01,,4.05268,3.32143,-1.99415,-3.50933
1990-10-01,,3.83065,3.04261,-2.39608,-5.00223
1990-11-01,,3.92749,3.03459,-2.13559,-4.58818
1990-12-01,,3.60721,3.0276,-2.49187,-3.69181
1991-01-01,,3.49301,2.88695,-2.03891,-2.23375
1991-02-01,,3.17776,2.74718,-2.02706,-1.36648
1991-03-01,,2.96736,2.74091,-1.76853,-0.27579
1991-04-01,,3.35968,2.998,-1.38369,0.874728
1991-05-01,,3.34646,3.51815,-1.60747,1.69128
1991-06-01,,3.03922,3.90579,-1.5824,1.47571
1991-07-01,,3.13112,3.76277,-1.18494,0.64444
1991-08-01,,3.125,3.09555,-0.649707,-0.19232
1991-09-01,,3.0185,2.69605,-0.365319,-0.376302
1991-10-01,,2.81553,2.3017,-0.0321266,-0.653916
1991-11-01,,2.81008,2.16863,-0.248858,-0.96745
1991-12-01,,2.90135,2.03556,-0.0769776,-1.2811
1992-01-01,,2.60366,2.03233,-0.0671468,-1.3724
1992-02-01,,2.59865,2.0291,-0.214298,-0.985865
1992-03-01,,2.59366,1.77043,-0.577819,-0.942493
1992-04-01,,2.48566,2.14944,-0.675663,-0.565987
1992-05-01,,2.28571,2.52832,-0.716229,-0.47865
1992-06-01,,2.47383,3.16381,-0.525043,0.0489525
1992-07-01,,2.27704,2.90065,-0.853147,-0.196929
1992-08-01,,2.36742,2.76626,-0.686149,-0.319046
1992-09-01,,2.36295,2.37899,-0.611453,-0.688549
1992-10-01,,2.45515,2.50066,-0.798546,-0.655804
1992-11-01,,2.35627,2.2436,-0.741072,-1.08226
1992-12-01,,2.44361,2.36492,-0.508034,-1.14441
1993-01-01,,2.72556,2.48513,-0.511586,-0.927583
1993-02-01,,2.72045,2.98302,-0.509753,-0.156738
