name,2025-09-01
Utilities,2.7814569536424028
Information,7.111329082883766
Financial Activities,4.3454193191253765
Construction,4.035378662244327
Professional \& \\[-0.6ex] Business Services,3.8269550748752046
Mining \& Logging,2.250892121877568
Education \& \\[-0.6ex] Health Services,3.2379754794090054
Wholesale Trade,4.702495201535495
Total Private,3.785385121790652
Transportation \\[-0.6ex] \& Warehousing,3.1751451007169695
Manufacturing,4.355587290253471
Retail Trade,3.625954198473269
Leisure \& \\[-0.6ex] Hospitality,3.8716250636780414
