date,FL102000005,FL102090005,FL103164106,FL104090005,FL112000005,FL112090005,FL114090005,LM102010005,LM103192105,LM105015205,LM105035005,LM112010005,LM115015205,LM115035005,LM115035023,LM115035035,LM105020005,LM115020005,FL104190005,FL114190005,LM105013765,LM115013765,Bus_A,Bus_FA,Bus_NFA
1989-01-01,188.425,100.993,0.000972701,71.4714,78.3789,52.9298,7.02768,116.954,5.68232,30.0781,63.6909,71.3512,5.86518,62.2951,35.1343,27.1608,15.5158,2.55089,87.4322,25.449,7.66925,0.640054,266.804,78.4991,188.305
1989-04-01,186.186,99.6589,0.00100649,70.944,78.0043,52.6266,6.92391,115.242,5.74347,29.8315,62.2953,71.0804,5.8129,62.1124,35.0319,27.0804,15.4294,2.50215,86.5268,25.3777,7.68557,0.652958,264.19,77.868,186.322
1989-07-01,184.29,98.7304,0.00105984,70.434,77.4811,52.126,6.81963,113.856,5.91007,29.828,61.0454,70.6615,5.80456,61.7996,34.7602,27.0394,15.242,2.38464,85.5594,25.3551,7.74042,0.672687,261.771,77.2536,184.517
1989-10-01,184.287,98.3386,0.00109482,71.2961,77.6005,52.1801,6.78296,112.991,7.24125,29.953,59.9675,70.8176,5.80322,61.8924,34.762,27.1304,15.2561,2.4272,85.9485,25.4204,7.81429,0.694751,261.888,78.0791,183.808
1990-01-01,180.826,95.221,0.00104607,69.8528,76.3532,51.4027,6.66184,110.973,7.29525,29.7079,58.4469,69.6914,5.72575,60.844,34.2995,26.5444,15.0053,2.42452,85.6048,24.9505,7.81291,0.697107,257.179,76.5147,180.664
1990-04-01,178.732,94.601,0.00106386,69.0104,75.7286,51.1466,6.55829,109.722,7.36169,29.5321,57.3996,69.1703,5.65177,60.4226,34.2979,26.1247,14.9067,2.38519,84.1309,24.582,7.88313,0.710735,254.461,75.5687,178.892
1990-07-01,178.971,92.6157,0.000928618,69.0469,75.5367,51.2187,6.5245,109.924,7.59771,29.6877,57.1389,69.0123,5.62817,60.2587,34.3382,25.9205,15.112,2.39222,86.3551,24.318,7.98525,0.733136,254.508,75.5714,178.936
1990-10-01,178.761,91.8008,0.001026,68.022,75.7738,51.5079,6.51974,110.739,7.313,30.2436,57.2322,69.2541,5.67399,60.4026,34.403,25.9996,15.1516,2.41121,86.9597,24.2659,8.11125,0.766296,254.534,74.5417,179.993
1991-01-01,178.61,92.6367,0.00114038,68.2106,75.1288,51.0428,6.48862,110.399,7.45403,30.5057,56.7478,68.6401,5.69367,59.7281,33.9565,25.7716,14.859,2.43456,85.9731,24.0859,8.28665,0.783788,253.739,74.6992,179.039
1991-04-01,176.24,91.0644,0.00111183,67.6834,74.0548,50.3174,6.46742,108.557,7.25817,30.1383,55.6089,67.5874,5.59332,58.9105,33.6189,25.2916,14.4679,2.28783,85.176,23.7374,8.34189,0.795725,250.295,74.1509,176.144
1991-07-01,173.594,88.8883,0.00116347,67.7587,72.7239,49.5277,6.37581,105.836,7.17094,29.8369,53.3045,66.3481,5.50882,57.8809,33.3918,24.4892,14.3094,2.14738,84.706,23.1962,8.38486,0.810917,246.318,74.1345,172.184
1991-10-01,171.641,88.0759,0.00131083,67.9819,71.5807,48.6853,6.37774,103.659,8.46745,29.7565,51.2342,65.203,5.44479,56.8065,33.005,23.8015,14.2853,2.1245,83.5648,22.8954,8.38285,0.827164,243.221,74.3596,168.862
1992-01-01,170.19,83.5963,0.00131706,68.7782,70.2369,47.7055,6.40923,101.412,8.543,29.6322,49.4323,63.8276,5.39306,55.412,32.2259,23.1861,14.0282,2.19814,86.5941,22.5314,8.31951,0.824425,240.427,75.1874,165.24
1992-04-01,167.047,81.7255,0.00129309,67.7366,68.949,46.8183,6.38659,99.3106,8.47215,29.3015,47.7629,62.5624,5.29978,54.2743,31.7047,22.5695,13.9181,2.1557,85.3218,22.1307,8.32809,0.832684,235.996,74.1232,161.873
1992-07-01,164.161,79.6282,0.00131712,66.9135,68.0161,46.2878,6.42971,97.2472,8.36085,29.0758,46.0187,61.5864,5.21775,53.3853,31.431,21.9543,13.8054,2.13884,84.5325,21.7283,8.34733,0.844465,232.177,73.3432,158.834
1992-10-01,159.967,76.807,0.00143771,65.009,66.7277,45.3403,6.37923,94.9584,8.37311,28.7135,44.232,60.3485,5.11118,52.2631,30.9567,21.3064,13.6275,2.11762,83.1604,21.3874,8.38538,0.856559,226.695,71.3882,155.307
1993-01-01,160.377,76.9058,0.00145299,65.8555,66.6735,45.5563,6.44047,94.5218,8.42179,28.7977,43.6167,60.233,5.0964,52.0871,30.9011,21.186,13.7125,2.18477,83.4714,21.1172,8.39488,0.86472,227.051,72.2959,154.755
1993-04-01,160.116,76.6238,0.00143068,66.2737,66.3854,45.5402,6.44937,93.8426,8.32905,28.7309,42.9966,59.936,5.05935,51.8962,30.9384,20.9578,13.6876,2.10786,83.4925,20.8452,8.42748,0.872632,226.502,72.723,153.779
1993-07-01,160.011,76.8836,0.00142974,66.6597,66.2873,45.7385,6.46377,93.3517,8.13945,28.6768,42.6558,59.8235,5.02109,51.8997,31.0443,20.8554,13.5948,2.02544,83.1278,20.5488,8.42436,0.877305,226.299,73.1234,153.175
1993-10-01,161.335,78.839,0.00140182,68.9208,65.6096,45.4488,6.46989,92.4139,8.14576,28.4743,42.0202,59.1397,4.95828,51.3015,30.7137,20.5878,13.4436,1.99463,82.4957,20.1609,8.47572,0.885362,226.944,75.3907,151.554
1994-01-01,160.724,78.1347,0.00132609,68.3366,65.5298,45.6032,6.53641,92.387,8.25621,28.5503,41.9847,58.9934,4.94504,51.1177,30.601,20.5167,13.3792,2.04314,82.5888,19.9266,8.47287,0.887466,226.253,74.873,151.38
1994-04-01,160.152,78.337,0.00125492,67.9268,65.4401,45.7204,6.6896,92.2257,8.13825,28.4781,41.8762,58.7505,4.91269,50.9984,30.6114,20.387,13.4245,1.95308,81.8155,19.7197,8.44691,0.886389,225.593,74.6164,150.976
1994-07-01,160.423,79.6167,0.00127172,67.9198,65.5328,45.8737,6.8296,92.5035,8.29434,28.4951,41.9849,58.7032,4.89456,50.9787,30.594,20.3847,13.5099,1.93535,80.8066,19.6591,8.51365,0.894589,225.956,74.7494,151.207
