date,FL102000005,FL102090005,FL103164106,FL104090005,FL112000005,FL112090005,FL114090005,LM102010005,LM103164103,LM103164113,LM103164123,LM103192105,LM105015205,LM105035005,LM112010005,LM115015205,LM115035005,LM115035023,LM115035035,LM105020005,LM115020005,FL104190005,FL114190005,LM105013765,LM115013765,Bus_A,Bus_FA,Bus_NFA
1988-01-01,9294218.0,5038793.0,52.9811154789876,3392564.0,4071928.0,2773774.0,343756.0,5901654.0,2419233.0,2419233.0,0.0,250376.0,1572336.0,3154576.0,3728172.0,307457.0,3258009.0,1844131.0,1413878.0,783186.0,133614.0,4255425.0,1298153.0,391556.0,29092.0,13366146.0,3736320.0,9629826.0
1988-04-01,9443873.0,5122610.0,54.32750234662015,3454803.0,4135343.0,2808818.0,359004.0,5989070.0,2514872.0,2514872.0,0.0,268114.0,1588669.0,3199840.0,3776339.0,310739.0,3300172.0,1867284.0,1432888.0,801551.0,135049.0,4321263.0,1326524.0,399010.0,30379.0,13579216.0,3813807.0,9765409.0
1988-07-01,9566823.0,5162103.0,53.071453061641435,3498899.0,4195188.0,2838804.0,372253.0,6067924.0,2459275.0,2459275.0,0.0,280328.0,1603653.0,3241818.0,3822935.0,313491.0,3340495.0,1889072.0,1451423.0,816525.0,136875.0,4404720.0,1356384.0,405928.0,32074.0,13762011.0,3871152.0,9890859.0
1988-10-01,9950462.0,5324264.0,53.85215366318796,3772315.0,4259505.0,2875916.0,381797.0,6178147.0,2558076.0,2558076.0,0.0,309155.0,1634974.0,3297032.0,3877709.0,319662.0,3388668.0,1914597.0,1474071.0,833268.0,135532.0,4626198.0,1383590.0,412873.0,33847.0,14209967.0,4154112.0,10055856.0
1989-01-01,10356280.0,5562250.0,53.62200754986769,3913244.0,4319660.0,2917100.0,387312.0,6443036.0,2669423.0,2669423.0,0.0,313167.0,1655276.0,3510165.0,3932347.0,323247.0,3433238.0,1936338.0,1496900.0,855114.0,140586.0,4794030.0,1402560.0,422481.0,35276.0,14675940.0,4300556.0,10375383.0
1989-04-01,10419945.0,5588984.0,56.50690613597852,3954683.0,4377963.0,2953649.0,388602.0,6465262.0,2835812.0,2835812.0,0.0,322350.0,1671839.0,3496299.0,3989362.0,326247.0,3486034.0,1966154.0,1519880.0,865968.0,140432.0,4830961.0,1424315.0,431156.0,36649.0,14797908.0,4343285.0,10454624.0
1989-07-01,10466057.0,5618739.0,60.38167617999248,3984231.0,4412836.0,2968769.0,388403.0,6481826.0,3056089.0,3056089.0,0.0,336600.0,1696331.0,3476757.0,4024434.0,330592.0,3519714.0,1979718.0,1539996.0,868086.0,135814.0,4847318.0,1444067.0,440652.0,38314.0,14878893.0,4372634.0,10506260.0
1989-10-01,10561507.0,5647701.0,62.941933418805434,4070371.0,4459889.0,2998920.0,389833.0,6491136.0,3138600.0,3138600.0,0.0,416172.0,1718935.0,3446477.0,4070055.0,333527.0,3557102.0,1997856.0,1559246.0,876803.0,139497.0,4913806.0,1460969.0,448921.0,39929.0,15021396.0,4460204.0,10561191.0
1990-01-01,10590646.0,5589940.0,61.430108770025605,4075727.0,4496968.0,3031696.0,391230.0,6514919.0,3005478.0,3005478.0,0.0,428428.0,1742071.0,3432985.0,4105738.0,336256.0,3586155.0,2027202.0,1558953.0,881215.0,142385.0,5000706.0,1465272.0,458647.0,40943.0,15087614.0,4466957.0,10620657.0
1990-04-01,10624123.0,5636565.0,63.40095866701812,4087597.0,4519984.0,3054889.0,390875.0,6536526.0,3134877.0,3134877.0,0.0,438759.0,1757506.0,3420914.0,4129108.0,336848.0,3607741.0,2050490.0,1557251.0,888442.0,142158.0,4987558.0,1465094.0,469663.0,42362.0,15144107.0,4478472.0,10665634.0
1990-07-01,10736848.0,5568882.0,55.85702819821753,4128627.0,4541458.0,3078704.0,392456.0,6608221.0,2653601.0,2653601.0,0.0,457011.0,1783072.0,3435990.0,4149002.0,338543.0,3622466.0,2062953.0,1559513.0,909006.0,143894.0,5167966.0,1462754.0,480153.0,44099.0,15278306.0,4521083.0,10757223.0
1990-10-01,10705331.0,5509314.0,61.62183349467847,4059490.0,4554841.0,3097737.0,391493.0,6645841.0,2955814.0,2955814.0,0.0,439126.0,1813320.0,3435806.0,4163348.0,340707.0,3631841.0,2070131.0,1561710.0,909813.0,144787.0,5196017.0,1457105.0,486901.0,46014.0,15260172.0,4450983.0,10809189.0
1991-01-01,10751464.0,5588734.0,68.82247225856585,4091913.0,4550902.0,3097273.0,391600.0,6659551.0,3396441.0,3396441.0,0.0,449864.0,1838316.0,3424504.0,4159302.0,343634.0,3621435.0,2065478.0,1555957.0,896771.0,146929.0,5162730.0,1453629.0,499961.0,47303.0,15302366.0,4483513.0,10818853.0
1991-04-01,10769355.0,5576870.0,68.12094923737641,4122189.0,4546038.0,3091681.0,396250.0,6647166.0,3354319.0,3354319.0,0.0,444698.0,1843769.0,3406022.0,4149789.0,342711.0,3618152.0,2067891.0,1550261.0,886428.0,140172.0,5192485.0,1454357.0,510947.0,48754.0,15315393.0,4518439.0,10796955.0
1991-07-01,10744403.0,5513501.0,72.21059268389776,4180988.0,4514023.0,3074480.0,395678.0,6563415.0,3536308.0,3536308.0,0.0,445024.0,1848891.0,3306268.0,4118345.0,341890.0,3592864.0,2072331.0,1520533.0,888036.0,133264.0,5230902.0,1439543.0,520221.0,50326.0,15258426.0,4576666.0,10681760.0
1991-10-01,10722616.0,5515654.0,82.1104372189196,4233448.0,4489718.0,3055426.0,399537.0,6489168.0,3998481.0,3998481.0,0.0,530447.0,1861340.0,3207897.0,4090181.0,341091.0,3564181.0,2072252.0,1491929.0,894910.0,133090.0,5206962.0,1434291.0,525021.0,51819.0,15212334.0,4632985.0,10579349.0
1992-01-01,10799075.0,5317476.0,83.72305518282573,4350276.0,4484810.0,3051117.0,407826.0,6448799.0,3908353.0,3908353.0,0.0,543600.0,1882756.0,3144149.0,4076983.0,343173.0,3541480.0,2065212.0,1476268.0,892631.0,139869.0,5481599.0,1433692.0,529263.0,52461.0,15283885.0,4758102.0,10525782.0
1992-04-01,10777916.0,5285981.0,83.5900419189578,4356600.0,4469975.0,3037948.0,413261.0,6421316.0,3870341.0,3870341.0,0.0,548213.0,1893297.0,3088618.0,4056714.0,342938.0,3520404.0,2058979.0,1461425.0,900609.0,139491.0,5491935.0,1432026.0,538792.0,53881.0,15247891.0,4769861.0,10478030.0
