date,Corporate,Noncorporate
1989-01-01,22.6334,26.8626
1989-04-01,23.0916,26.8529
1989-07-01,23.186,26.9091
1989-10-01,23.4344,26.859
1990-01-01,23.9099,26.7897
1990-04-01,24.2125,26.6382
1990-07-01,24.1408,26.4707
1990-10-01,24.3513,26.3287
1991-01-01,24.1887,26.2696
1991-04-01,24.1775,26.321
1991-07-01,24.0313,26.1088
1991-10-01,23.7753,26.0859
1992-01-01,23.8085,26.01
1992-04-01,23.8754,25.9598
1992-07-01,23.9094,25.7491
1992-10-01,24.0883,25.6491
1993-01-01,24.2668,25.2175
1993-04-01,24.4036,25.0212
1993-07-01,24.4149,24.6847
1993-10-01,24.0561,24.4142
1994-01-01,24.4907,24.068
1994-04-01,24.5408,23.8157
1994-07-01,24.5123,23.636
1994-10-01,24.4207,23.4036
1995-01-01,24.6841,23.3242
1995-04-01,24.811,23.3153
1995-07-01,24.5292,23.2232
1995-10-01,24.1679,23.1434
1996-01-01,24.1505,23.1305
1996-04-01,24.2917,23.2089
1996-07-01,24.2169,23.2848
1996-10-01,23.4427,23.0844
1997-01-01,23.3724,22.8895
1997-04-01,23.5973,22.8981
1997-07-01,23.6308,22.8383
1997-10-01,23.2086,22.6362
1998-01-01,23.5129,22.8486
1998-04-01,23.7516,23.0415
1998-07-01,24.0757,23.241
1998-10-01,23.3051,23.5767
1999-01-01,23.7885,24.1921
1999-04-01,23.6207,24.2068
1999-07-01,23.7156,24.071
1999-10-01,22.8446,24.4326
2000-01-01,23.3195,24.8858
2000-04-01,23.0407,24.8491
2000-07-01,22.4107,24.5025
2000-10-01,21.9601,24.6402
2001-01-01,22.0767,24.8344
2001-04-01,22.2674,24.8725
2001-07-01,22.3373,24.9338
2001-10-01,23.0077,25.4411
2002-01-01,22.8361,25.5793
2002-04-01,22.8622,25.7136
2002-07-01,22.7709,25.7083
2002-10-01,22.8987,26.4734
2003-01-01,22.562,26.2314
2003-04-01,22.596,25.9694
2003-07-01,22.8052,25.789
2003-10-01,22.0997,25.7291
2004-01-01,21.7799,25.6912
2004-04-01,21.3215,25.1817
2004-07-01,20.962,24.7151
2004-10-01,20.7598,24.7925
2005-01-01,20.4953,24.8225
2005-04-01,20.4523,24.6442
2005-07-01,20.0793,24.3701
2005-10-01,19.8415,24.459
2006-01-01,19.6508,24.8448
2006-04-01,19.6233,24.9706
2006-07-01,19.3683,25.0615
2006-10-01,19.3425,25.3407
2007-01-01,19.2489,25.8926
2007-04-01,19.2687,26.2172
2007-07-01,19.4851,26.6839
2007-10-01,19.872,27.5528
2008-01-01,21.0102,28.9288
2008-04-01,21.3978,29.5783
2008-07-01,22.3457,30.5027
2008-10-01,23.2466,31.8354
2009-01-01,23.7704,32.787
2009-04-01,24.3694,34.0283
2009-07-01,23.5584,34.1849
2009-10-01,23.0921,34.5831
2010-01-01,22.6823,34.2922
2010-04-01,22.2503,33.3005
2010-07-01,21.9228,32.8668
2010-10-01,22.6962,32.5975
2011-01-01,22.2643,32.3282
2011-04-01,22.5401,32.0738
2011-07-01,23.5235,31.6919
2011-10-01,23.3184,31.2554
2012-01-01,23.0416,31.3874
2012-04-01,23.2577,31.1833
2012-07-01,23.1787,30.7836
2012-10-01,23.4918,30.7126
2013-01-01,23.2281,30.5045
2013-04-01,23.3807,29.8159
2013-07-01,22.8895,29.1661
2013-10-01,22.6375,28.9996
2014-01-01,22.973,29.3113
2014-04-01,22.6543,29.0746
2014-07-01,22.8448,28.8469
2014-10-01,22.9988,28.7691
2015-01-01,22.9823,28.6531
2015-04-01,23.1366,28.4282
2015-07-01,23.4953,28.4259
2015-10-01,23.6576,28.6368
2016-01-01,24.2635,29.0313
2016-04-01,23.8721,28.9052
2016-07-01,23.4332,28.8669
2016-10-01,23.0728,29.1576
2017-01-01,23.3243,29.5363
2017-04-01,22.8903,29.145
2017-07-01,22.6448,29.3666
2017-10-01,22.7275,29.4917
2018-01-01,22.7846,29.5103
2018-04-01,23.4707,29.4502
2018-07-01,23.3329,29.4388
2018-10-01,23.9887,29.7334
2019-01-01,23.3578,29.4918
2019-04-01,22.8478,29.0254
2019-07-01,22.8286,28.8953
2019-10-01,22.4191,28.9446
2020-01-01,24.675,28.801
2020-04-01,25.2944,29.1402
2020-07-01,24.4849,28.8089
2020-10-01,23.6287,28.6118
2021-01-01,23.4495,28.3649
2021-04-01,23.1793,27.4958
2021-07-01,22.5837,26.5955
2021-10-01,22.2091,26.4721
2022-01-01,22.6995,26.2715
2022-04-01,23.1812,25.8434
2022-07-01,23.1277,26.0264
2022-10-01,22.5267,26.6066
2023-01-01,22.3787,26.9771
2023-04-01,21.9204,26.7513
2023-07-01,22.0232,26.8056
2023-10-01,21.9163,27.3005
2024-01-01,22.0738,27.5734
2024-04-01,22.1258,27.5209
2024-07-01,22.0301,27.51
2024-10-01,21.7763,27.5399
2025-01-01,21.8776,27.6268
