date,Debt Securities,Bank Loans,Mortgages,Nonbank Loans,Total,Total Corporate,Total Noncorporate,Financial Debt Securities,Financial Loans,Financial Total,Agency MBS,Bank Loans and Mortgages,Other
1989-01-01,20.4606,13.1207,21.4557,8.66469,63.7017,42.6471,21.0546,36.5673,4.81898,41.3862,20.5901,34.5764,15.9771
1989-04-01,20.715,13.1394,21.2553,8.83006,63.9398,42.9934,20.9464,36.7168,4.87697,41.5938,20.7301,34.3947,15.9868
1989-07-01,20.7437,13.0791,21.1284,8.62779,63.579,42.7295,20.8495,36.8971,4.52719,41.4242,21.0248,34.2075,15.8722
1989-10-01,20.8434,13.4163,20.9307,8.83896,64.0293,43.1866,20.8427,37.7661,4.58413,42.3502,21.6256,34.347,16.1405
1990-01-01,20.8248,13.0239,20.786,9.05525,63.69,43.2352,20.4548,37.7644,4.1209,41.8853,21.8508,33.8099,15.9135
1990-04-01,20.8517,12.9276,20.5256,9.14341,63.4483,43.2756,20.1728,38.0366,4.03402,42.0706,22.2343,33.4532,15.8022
1990-07-01,20.8216,12.6883,20.3851,9.30514,63.2001,43.205,19.9951,38.5384,3.92553,42.4639,22.6586,33.0734,15.8797
1990-10-01,20.8911,12.7367,20.37,9.48304,63.4808,43.5306,19.9502,39.9938,4.08828,44.082,23.5407,33.1067,16.4531
1991-01-01,21.1543,12.4465,20.2973,9.04137,62.9394,43.2034,19.736,40.3123,3.7867,44.099,23.9807,32.7437,16.3316
1991-04-01,21.232,12.0266,20.0166,8.82734,62.1025,42.6105,19.492,40.308,3.59435,43.9024,24.0839,32.0432,16.2241
1991-07-01,21.0801,11.6792,19.3874,8.55763,60.7043,41.717,18.9873,40.6546,3.5725,44.2271,24.4613,31.0666,16.1933
1991-10-01,20.9684,11.3927,18.9622,8.15733,59.4806,40.8082,18.6725,41.2418,3.90666,45.1485,24.8924,30.3549,16.3494
1992-01-01,21.1515,11.1179,18.4856,8.03349,58.7884,40.5198,18.2686,41.469,3.45724,44.9262,24.9165,29.6035,16.5524
1992-04-01,21.1217,10.8058,17.9827,7.87195,57.7822,39.8833,17.899,41.8311,3.5732,45.4043,25.3027,28.7886,16.5284
1992-07-01,21.0059,10.5499,17.4438,7.76377,56.7634,39.2499,17.5135,42.2452,3.60687,45.852,25.5665,27.9937,16.6786
1992-10-01,20.8702,10.2819,16.7388,7.75771,55.6486,38.5335,17.115,42.411,3.61741,46.0284,25.6804,27.0207,16.7306
1993-01-01,21.6967,10.0521,16.3895,7.59355,55.7318,38.9185,16.8134,42.8161,3.82771,46.6438,26.027,26.4416,16.7892
1993-04-01,22.2816,10.0055,15.9972,7.40021,55.6845,39.0741,16.6104,42.8854,4.20885,47.0942,25.9973,26.0027,16.8881
1993-07-01,22.6972,9.80306,15.7218,7.20747,55.4295,39.0667,16.3628,43.9805,4.30895,48.2894,26.7552,25.5248,17.2253
1993-10-01,22.7249,9.74982,15.3859,6.96842,54.829,38.8109,16.0181,44.5311,4.40473,48.9358,26.8179,25.1357,17.7132
1994-01-01,23.1037,9.73908,15.067,7.22433,55.134,39.3624,15.7717,45.7948,4.23299,50.0278,27.5936,24.806,18.2013
1994-04-01,23.0989,9.80898,14.8457,7.1341,54.8877,39.3027,15.585,46.3423,4.08678,50.4291,28.0562,24.6547,18.2862
1994-07-01,23.0792,9.92779,14.7402,7.06554,54.8128,39.3235,15.4893,47.1436,4.09559,51.2392,28.5596,24.668,18.5841
1994-10-01,22.9561,10.0461,14.4557,7.12001,54.5779,39.3027,15.2751,48.1062,4.2107,52.3169,29.1531,24.5018,18.9531
1995-01-01,23.0539,10.3859,14.4189,7.30108,55.1598,39.9019,15.2579,48.6636,4.09819,52.7618,29.2069,24.8049,19.4567
1995-04-01,23.3916,10.6471,14.4217,7.34239,55.8028,40.4932,15.3096,49.6395,4.23012,53.8697,29.6526,25.0688,19.9869
1995-07-01,23.2209,10.6774,14.3563,7.25331,55.508,40.2276,15.2804,50.5008,4.2433,54.7441,29.9504,25.0338,20.5505
1995-10-01,23.1273,10.766,14.2848,7.48654,55.6647,40.4167,15.248,51.6828,4.50485,56.1876,30.5913,25.0508,21.0914
1996-01-01,23.3476,10.6554,14.2632,7.50748,55.7736,40.5419,15.2318,52.0954,4.69729,56.7927,30.6922,24.9186,21.4033
1996-04-01,23.3196,10.6563,14.2041,7.46699,55.647,40.4557,15.1913,52.9616,4.69923,57.6608,31.0012,24.8604,21.9605
1996-07-01,23.1295,10.9035,14.1578,7.42521,55.616,40.355,15.261,53.5128,4.69809,58.2109,31.3103,25.0613,22.2025
1996-10-01,22.8733,10.8883,14.1563,7.2995,55.2174,39.9842,15.2332,54.3884,5.30589,59.6943,31.5887,25.0446,22.7998
1997-01-01,23.0918,11.1369,14.1118,7.30483,55.6454,40.3504,15.295,54.5581,5.05154,59.6096,31.5231,25.2488,23.035
1997-04-01,23.2404,11.2777,14.1337,7.17729,55.8291,40.4878,15.3412,55.2366,5.37849,60.6151,31.789,25.4114,23.4475
1997-07-01,23.4872,11.2754,14.2032,7.22649,56.1924,40.7981,15.3943,55.183,5.49181,60.6748,31.7239,25.4786,23.459
1997-10-01,23.3414,11.52,14.3998,7.52981,56.7909,41.2446,15.5463,56.6995,5.77191,62.4714,32.2021,25.9198,24.4974
1998-01-01,24.2662,11.5544,14.5919,7.6461,58.0586,42.2335,15.8251,58.036,6.1065,64.1425,32.4798,26.1463,25.5562
1998-04-01,25.1075,11.9001,14.8368,7.63153,59.476,43.2548,16.2212,59.8687,6.49137,66.3601,33.2602,26.7369,26.6085
1998-07-01,25.1624,12.1124,15.0712,7.56064,59.9066,43.4662,16.4404,61.1964,6.91012,68.1065,34.2483,27.1836,26.9482
1998-10-01,24.8492,12.1674,15.4616,7.85102,60.3292,43.7006,16.6286,62.8734,7.14464,70.018,35.4465,27.629,27.4269
1999-01-01,25.4547,12.1949,15.7498,8.12553,61.525,44.6221,16.9029,64.8514,7.04602,71.8974,36.516,27.9448,28.3354
1999-04-01,25.8929,12.1675,15.9979,7.9261,61.9844,44.8595,17.1249,66.4295,7.33414,73.7637,37.6236,28.1654,28.806
1999-07-01,26.2514,12.2847,16.5824,7.81002,62.9285,45.5419,17.3867,67.6293,7.77753,75.4068,38.7085,28.8671,28.9207
1999-10-01,25.8487,12.3195,16.8028,7.75038,62.7214,45.1183,17.6031,68.3639,8.49817,76.862,39.2694,29.1223,29.0944
2000-01-01,26.337,12.435,17.0193,8.0688,63.8601,45.9966,17.8635,68.9432,9.15823,78.1014,39.4312,29.4544,29.5119
2000-04-01,26.3776,12.5746,17.0692,8.10697,64.1284,46.0731,18.0553,68.9779,9.14172,78.1196,39.4173,29.6438,29.5605
2000-07-01,26.6925,12.5952,17.2921,7.9341,64.5139,46.2167,18.2972,70.0523,9.24829,79.3006,40.3996,29.8873,29.6527
2000-10-01,26.3653,12.6587,17.5043,8.20238,64.7306,46.1537,18.5769,71.7375,9.66947,81.407,41.3929,30.163,30.3445
2001-01-01,26.8503,12.5988,17.4147,8.20339,65.0672,46.2022,18.865,73.4016,9.63743,83.0391,42.2982,30.0135,31.1034
2001-04-01,27.3861,12.2375,17.6103,8.34023,65.5742,46.499,19.0751,74.2867,9.66423,83.9509,43.4192,29.8478,30.8675
2001-07-01,27.576,12.0743,18.1423,8.31044,66.103,46.6804,19.4226,76.664,10.6272,87.2912,45.355,30.2166,31.3089
2001-10-01,27.7237,11.7896,18.6813,8.01824,66.2128,46.4912,19.7216,78.8123,10.2733,89.0856,46.5491,30.471,32.2633
2002-01-01,27.6608,11.5577,18.745,7.89713,65.8606,46.033,19.8276,79.7501,9.94048,89.6906,47.5916,30.3027,32.1585
2002-04-01,27.5109,11.094,19.0122,8.01024,65.6274,45.5956,20.0317,80.7298,9.69017,90.42,48.2483,30.1063,32.4816
2002-07-01,27.1281,10.8704,19.2873,8.03911,65.3249,45.1179,20.207,81.6738,9.62201,91.2958,48.8708,30.1577,32.803
2002-10-01,26.8892,10.6482,19.7505,8.08911,65.3769,44.9477,20.4293,83.7047,9.56241,93.2671,49.8037,30.3987,33.901
2003-01-01,26.6998,10.3295,19.7807,7.99599,64.8059,44.4356,20.3703,85.6241,9.63614,95.2602,50.4497,30.1102,35.1744
2003-04-01,26.6208,9.95477,19.8025,7.92371,64.3017,44.0076,20.2941,86.3242,10.6616,96.9857,50.809,29.7573,35.5151
2003-07-01,26.3289,9.62708,19.673,7.61489,63.2439,43.2443,19.9996,86.643,10.315,96.958,51.3983,29.3001,35.2447
2003-10-01,25.7635,9.41601,19.5523,7.62776,62.3596,42.5284,19.8312,86.4172,10.0175,96.4347,50.4961,28.9683,35.9211
2004-01-01,25.8761,9.11946,20.0525,7.63406,62.6822,42.554,20.1281,86.77,10.4026,97.1726,49.8938,29.172,36.8762
2004-04-01,25.4321,9.07285,20.3688,7.57642,62.4502,42.1209,20.3293,86.9144,10.8305,97.7449,49.7234,29.4417,37.1909
2004-07-01,25.0915,9.08001,20.7567,7.46495,62.3931,41.8786,20.5145,87.4116,10.6468,98.0584,49.3016,29.8367,38.11
2004-10-01,24.6266,9.16081,21.0325,7.61389,62.4339,41.7706,20.6633,87.7499,11.1965,98.9464,48.377,30.1933,39.3729
2005-01-01,24.2592,9.24196,21.1212,7.63807,62.2604,41.3957,20.8647,87.9603,10.8487,98.8091,47.3716,30.3631,40.5887
2005-04-01,23.9516,9.50139,21.6728,7.78718,62.913,41.6266,21.2864,89.1061,11.0749,100.181,46.9511,31.1742,42.155
2005-07-01,23.6575,9.44915,22.0317,7.73828,62.8767,41.2896,21.587,88.104,10.9258,99.0298,45.9771,31.4809,42.1269
2005-10-01,23.2085,9.63471,22.5993,8.00985,63.4523,41.4842,21.9682,90.0096,10.9055,100.915,46.0869,32.234,43.9227
2006-01-01,22.9305,9.71407,22.8591,8.0047,63.5083,41.2493,22.259,90.4585,10.8842,101.343,45.7156,32.5731,44.743
2006-04-01,23.1085,9.80831,23.2665,8.33355,64.5168,41.7279,22.7889,92.1681,11.2592,103.427,46.0272,33.0748,46.1409
2006-07-01,23.0733,10.0036,23.7852,8.22523,65.0873,41.7523,23.3351,93.162,11.2173,104.379,46.0438,33.7888,47.1183
2006-10-01,23.1251,10.0939,24.2716,8.61046,66.101,42.294,23.807,94.8408,11.0473,105.888,46.0764,34.3655,48.7644
2007-01-01,23.2759,10.2,24.5086,8.91085,66.8954,42.5776,24.3178,97.1308,11.1955,108.326,46.4343,34.7086,50.6965
2007-04-01,23.7182,10.3498,24.8746,9.35546,68.2982,43.4887,24.8095,98.4704,11.7173,110.188,46.9561,35.2245,51.5142
2007-07-01,23.5352,10.8718,25.3957,9.89419,69.697,44.3714,25.3255,100.338,12.9836,113.322,48.5893,36.2676,51.7491
2007-10-01,23.5485,11.3258,25.7842,10.2809,70.9395,45.0691,25.8704,101.513,13.987,115.5,50.1161,37.11,51.3966
2008-01-01,23.8723,11.784,26.205,10.4654,72.3267,45.8708,26.4559,102.524,15.206,117.73,51.2721,37.989,51.252
2008-04-01,24.3104,11.8987,26.205,10.6092,73.0234,46.2621,26.7613,102.997,14.9326,117.929,52.889,38.1037,50.1079
2008-07-01,24.4888,12.2516,26.2207,10.7594,73.7206,46.5385,27.1821,102.403,17.2103,119.613,53.9992,38.4723,48.4039
2008-10-01,25.0691,12.6762,26.7894,10.9025,75.4373,47.1971,28.2401,104.178,16.6016,120.78,55.745,39.4656,48.4332
2009-01-01,25.9288,12.3067,27.0632,10.5026,75.8013,47.3205,28.4809,104.001,14.6451,118.646,56.5472,39.37,47.4541
2009-04-01,26.4027,11.6995,27.0645,10.3554,75.5221,47.1541,28.368,102.043,13.2741,115.317,56.4543,38.764,45.5891
2009-07-01,26.4,10.9467,26.6886,10.0626,74.098,46.0876,28.0103,99.6319,12.1922,111.824,56.0463,37.6353,43.5856
2009-10-01,26.2179,10.317,26.0387,9.15542,71.729,44.3168,27.4123,96.2933,11.2134,107.507,55.1714,36.3557,41.122
2010-01-01,26.5096,9.85828,25.6795,8.86061,70.9079,43.7708,27.1372,91.9176,10.5688,102.486,52.0947,35.5377,39.8229
2010-04-01,26.4279,9.46516,24.9782,8.51057,69.3818,42.6855,26.6963,89.1306,10.1657,99.2963,51.2206,34.4433,37.91
2010-07-01,26.7335,9.2899,24.5392,8.37949,68.9421,42.5511,26.391,87.1757,9.64246,96.8182,50.2396,33.8291,36.9361
2010-10-01,26.7046,9.31722,24.2365,7.5289,67.7872,41.7463,26.0408,86.6945,9.4692,96.1637,49.5206,33.5537,37.174
2011-01-01,27.0392,9.33681,23.8389,7.47866,67.6936,41.8518,25.8418,86.2149,9.13178,95.3467,49.7125,33.1757,36.5024
2011-04-01,27.0585,9.34603,23.2774,7.57222,67.2542,41.872,25.3822,84.0487,9.19748,93.2461,48.5974,32.6235,35.4513
2011-07-01,27.2797,9.60015,22.9563,7.55568,67.3918,42.2724,25.1194,82.3799,9.24136,91.6213,48.3601,32.5564,34.0198
2011-10-01,27.1669,9.80557,22.6378,7.60289,67.2132,42.4615,24.7517,80.7395,8.71644,89.4559,47.7155,32.4434,33.024
2012-01-01,27.3945,9.76442,22.23,7.41591,66.8048,42.1622,24.6426,79.6519,8.37821,88.0301,46.7702,31.9944,32.8818
2012-04-01,27.6511,10.0078,21.9746,7.331,66.9646,42.2544,24.7101,77.5299,8.52727,86.0572,46.4221,31.9825,31.1079
2012-07-01,28.1582,10.071,21.8453,7.54662,67.6211,42.8213,24.7998,77.6045,8.53595,86.1404,46.1159,31.9163,31.4886
2012-10-01,28.7111,10.3727,21.8665,7.43658,68.3868,43.4633,24.9235,76.1821,8.59962,84.7818,45.8905,32.2391,30.2916
2013-01-01,28.6721,10.0874,21.614,7.46915,67.8427,43.1536,24.689,75.216,8.42149,83.6375,45.4796,31.7014,29.7364
2013-04-01,28.9884,10.2201,21.7271,7.69222,68.6278,43.8897,24.7381,74.2213,8.99716,83.2184,45.6705,31.9472,28.5507
2013-07-01,29.4233,10.1942,21.6486,7.53876,68.8048,44.239,24.5659,72.7966,8.92977,81.7264,45.3743,31.8428,27.4223
2013-10-01,29.2171,10.3433,21.503,7.57812,68.6415,44.2289,24.4126,72.6507,9.22668,81.8774,45.2171,31.8463,27.4335
2014-01-01,29.8349,10.5178,21.6788,7.75589,69.7873,45.0163,24.771,71.9911,9.45264,81.4437,44.7798,32.1966,27.2113
2014-04-01,29.837,10.657,21.5257,7.54998,69.5697,44.8526,24.7171,70.761,9.56725,80.3282,44.2646,32.1828,26.4964
2014-07-01,29.7621,10.6657,21.429,7.66564,69.5224,44.8058,24.7167,70.0833,9.73426,79.8176,43.8868,32.0947,26.1965
2014-10-01,30.004,11.0019,21.6718,7.79553,70.4732,45.4687,25.0045,70.1705,9.82214,79.9926,44.2384,32.6737,25.9321
2015-01-01,30.4656,11.0957,21.8099,7.83211,71.2033,46.118,25.0853,69.12,9.63192,78.7519,43.6283,32.9056,25.4917
2015-04-01,31.0172,11.2772,21.956,7.72009,71.9704,46.8287,25.1417,68.8906,9.70254,78.5931,43.4098,33.2331,25.4807
2015-07-01,31.4632,11.2783,22.1368,7.53093,72.4091,47.0827,25.3264,68.651,9.66308,78.314,43.5993,33.415,25.0517
2015-10-01,31.5629,11.5708,22.584,7.4,73.1177,47.4853,25.6325,67.8709,9.70939,77.5803,44.1789,34.1548,23.692
2016-01-01,32.2019,11.8128,22.7671,7.47749,74.2593,48.2662,25.9931,67.809,9.81107,77.6201,44.0137,34.5799,23.7953
2016-04-01,32.3936,11.8324,22.8645,7.23423,74.3247,48.0622,26.2625,67.6305,10.1778,77.8083,44.3545,34.6969,23.276
2016-07-01,32.4859,11.8308,23.1072,7.18009,74.604,48.0911,26.5129,67.0282,9.94513,76.9733,44.4106,34.938,22.6176
2016-10-01,32.14,11.724,23.2354,7.03458,74.134,47.3555,26.7784,66.3628,9.84986,76.2127,44.5071,34.9594,21.8557
2017-01-01,32.5496,11.6679,23.2759,7.38543,74.8789,47.7917,27.0872,65.7139,9.65698,75.3709,44.3324,34.9438,21.3815
2017-04-01,32.7311,11.6907,23.4828,7.62126,75.5259,48.0603,27.4656,65.8751,9.86999,75.7451,44.4609,35.1736,21.4142
2017-07-01,32.7292,11.5857,23.4836,7.62953,75.428,47.736,27.692,65.7559,9.70022,75.4561,44.3542,35.0693,21.4017
2017-10-01,32.4551,11.5691,23.6444,8.0039,75.6725,47.8537,27.8188,64.7425,9.36141,74.1039,44.1318,35.2135,20.6107
2018-01-01,32.4876,11.4945,23.5974,7.86535,75.4449,47.6932,27.7517,63.8432,9.08307,72.9263,43.5208,35.092,20.3224
2018-04-01,32.1324,11.565,23.7451,9.25175,76.6943,48.9286,27.7657,63.3652,9.1056,72.4708,43.4205,35.3101,19.9447
2018-07-01,32.0249,11.4929,23.7597,9.339,76.6165,48.7876,27.8289,63.0775,8.85253,71.93,43.2647,35.2526,19.8128
2018-10-01,31.8963,11.9638,23.9941,9.35743,77.2115,49.1693,28.0423,63.1624,8.97823,72.1407,43.4539,35.9578,19.7085
2019-01-01,32.2991,11.9866,23.9695,9.5153,77.7706,49.8535,27.9171,62.961,8.53315,71.4941,43.2305,35.9561,19.7305
2019-04-01,32.2817,11.9097,23.8022,9.50829,77.5019,49.8096,27.6923,62.9706,8.52468,71.4952,43.2178,35.7119,19.7528
2019-07-01,32.2336,11.6902,23.8141,9.49197,77.2299,49.8231,27.4068,62.6399,8.48139,71.1213,42.9688,35.5043,19.6711
2019-10-01,31.9069,11.6137,23.8332,9.56397,76.9178,49.6219,27.2959,62.4033,8.28992,70.6932,42.9554,35.447,19.4479
2020-01-01,33.3257,13.8361,24.4353,10.0758,81.673,53.7535,27.9195,65.7634,10.5836,76.347,44.9078,38.2714,20.8556
2020-04-01,38.3523,15.6143,27.016,11.3604,92.343,60.8732,31.4698,71.3907,9.84013,81.2308,48.8256,42.6303,22.5651
2020-07-01,35.3827,13.4299,25.1842,10.7451,84.7419,55.2637,29.4782,65.9749,8.60148,74.5764,45.4832,38.6141,20.4917
2020-10-01,34.8899,12.6843,25.2057,10.8032,83.5831,54.0522,29.531,66.1629,8.48413,74.647,45.7058,37.8901,20.4571
2021-01-01,34.6421,12.3835,24.867,10.8276,82.7202,53.5303,29.1899,65.0929,8.48885,73.5817,45.1613,37.2505,19.9316
2021-04-01,33.8081,11.4627,24.5565,11.5884,81.4156,52.8154,28.6002,65.5188,8.9143,74.4331,44.5968,36.0192,20.922
2021-07-01,33.3329,10.7594,24.4455,11.7712,80.309,52.1365,28.1724,64.6779,8.84154,73.5195,44.1328,35.2049,20.5451
2021-10-01,32.1765,10.8655,24.3093,11.8451,79.1964,51.2529,27.9436,63.2969,8.59334,71.8903,43.316,35.1748,19.981
2022-01-01,32.0988,11.3607,24.4307,12.2244,80.1146,52.1105,28.0041,63.8736,8.99261,72.8662,43.5789,35.7914,20.2947
2022-04-01,31.3116,11.7085,24.5338,12.2242,79.778,51.8508,27.9273,63.7772,9.05412,72.8313,43.7505,36.2422,20.0267
2022-07-01,30.8061,11.6378,24.5124,12.0419,78.9982,51.2511,27.7471,63.3183,9.14879,72.4671,43.944,36.1502,19.3743
2022-10-01,30.3383,11.7709,24.5198,11.988,78.6171,50.8903,27.7268,63.9202,9.33986,73.2601,44.1479,36.2908,19.7723
2023-01-01,30.5062,11.6939,24.4381,11.7776,78.4158,50.8457,27.5701,64.3051,9.85487,74.16,44.8339,36.1319,19.4712
2023-04-01,30.2948,11.5509,24.424,11.662,77.9317,50.5046,27.4271,63.593,8.99819,72.5912,44.1725,35.9749,19.4206
2023-07-01,29.7623,11.2073,24.1494,11.4405,76.5595,49.58,26.9795,62.2436,8.35369,70.5972,43.1697,35.3567,19.0738
2023-10-01,29.5043,11.1145,24.0195,10.9278,75.5661,48.778,26.7881,62.1276,8.28288,70.4105,42.7077,35.134,19.4199
