date,Mortgage,HELOC,Auto Loan,Credit Card,Student Loan,Other,All
2003-01-01,1.21,0.35,2.33,8.84,6.13,7.23,2.57
2003-04-01,1.14,0.28,2.26,8.9,6.14,7.13,2.49
2003-07-01,1.1,0.22,2.16,8.67,6.27,6.88,2.39
2003-10-01,1.06,0.31,2.16,9.24,6.23,7.47,2.35
2004-01-01,1.01,0.21,2.32,9.27,6.34,7.68,2.31
2004-04-01,1.0,0.15,2.17,8.85,6.38,7.74,2.22
2004-07-01,1.08,0.18,2.27,8.65,6.5,7.48,2.24
2004-10-01,1.08,0.21,2.42,9.18,6.32,7.01,2.26
2005-01-01,1.01,0.25,2.38,9.59,6.03,7.25,2.21
2005-04-01,0.87,0.24,1.99,9.23,6.71,6.17,2.02
2005-07-01,0.91,0.2,2.03,9.07,6.99,5.96,2.02
2005-10-01,0.93,0.16,2.09,8.53,6.59,5.94,1.97
2006-01-01,0.92,0.17,2.15,8.82,6.39,5.85,1.95
2006-04-01,0.86,0.39,2.22,8.96,6.66,5.55,1.91
2006-07-01,1.07,0.5,2.58,9.19,7.16,5.11,2.11
2006-10-01,1.31,0.61,2.62,9.66,7.14,5.46,2.33
2007-01-01,1.56,0.65,2.59,9.74,6.85,5.74,2.5
2007-04-01,1.76,0.77,2.54,9.38,7.29,5.91,2.66
2007-07-01,2.23,1.2,2.76,9.34,7.59,6.14,3.06
2007-10-01,2.93,1.32,3.05,9.48,7.51,6.2,3.62
2008-01-01,3.94,1.86,3.22,9.49,7.38,6.83,4.41
2008-04-01,4.16,2.21,3.26,10.15,7.55,6.85,4.64
2008-07-01,4.73,2.66,3.64,9.48,7.55,7.62,5.11
2008-10-01,5.59,3.33,3.94,10.18,7.82,8.58,5.89
2009-01-01,6.97,3.77,4.35,11.44,7.88,9.27,7.05
2009-04-01,7.93,3.97,4.47,11.74,8.26,8.74,7.8
2009-07-01,8.17,4.18,4.68,11.9,8.45,9.06,8.02
2009-10-01,8.75,4.37,4.92,12.7,8.66,9.22,8.54
2010-01-01,8.89,4.05,5.01,13.73,8.66,9.94,8.71
2010-04-01,8.36,4.29,4.84,13.74,8.95,10.28,8.35
2010-07-01,7.82,4.23,4.83,13.16,9.17,11.3,7.95
2010-10-01,7.61,4.29,5.27,13.27,9.12,10.83,7.83
2011-01-01,7.46,4.66,5.09,13.12,8.96,10.64,7.69
2011-04-01,6.91,4.66,4.99,12.16,9.09,10.4,7.24
2011-07-01,6.83,4.7,5.03,11.5,8.84,10.69,7.14
2011-10-01,6.89,4.71,4.82,11.48,8.45,10.51,7.14
2012-01-01,6.67,4.69,4.55,11.27,8.69,10.24,6.96
2012-04-01,6.33,4.92,4.24,10.9,8.92,10.24,6.71
2012-07-01,5.9,4.93,4.25,10.45,11.0,9.83,6.55
2012-10-01,5.58,3.48,4.03,10.57,11.73,9.62,6.31
2013-01-01,5.35,3.22,3.92,10.21,11.19,9.83,6.07
2013-04-01,4.94,3.0,3.57,9.99,10.9,9.54,5.7
2013-07-01,4.31,3.51,3.37,9.36,11.83,8.97,5.31
2013-10-01,3.93,3.19,3.35,9.45,11.51,8.94,5.03
2014-01-01,3.72,3.37,3.32,8.51,11.01,8.66,4.77
2014-04-01,3.39,3.33,3.27,7.83,10.92,8.17,4.49
2014-07-01,3.18,3.34,3.14,7.46,11.09,8.0,4.33
2014-10-01,3.07,3.16,3.47,7.31,11.32,7.9,4.3
2015-01-01,2.95,3.04,3.34,8.38,11.06,7.95,4.25
2015-04-01,2.51,3.24,3.36,8.39,11.45,7.26,3.98
2015-07-01,2.32,2.44,3.36,8.21,11.56,7.0,3.79
2015-10-01,2.18,2.24,3.37,7.65,11.52,7.02,3.69
2016-01-01,2.08,2.19,3.52,7.6,11.04,7.89,3.6
2016-04-01,1.76,1.96,3.46,7.17,11.06,7.22,3.34
2016-07-01,1.63,2.03,3.58,7.08,10.94,7.13,3.28
2016-10-01,1.57,2.13,3.75,7.14,11.17,7.0,3.3
2017-01-01,1.67,2.06,3.82,7.45,10.98,7.22,3.37
2017-04-01,1.47,1.88,3.92,7.38,11.22,6.91,3.26
2017-07-01,1.38,1.53,3.97,7.47,11.17,6.66,3.19
2017-10-01,1.27,1.67,4.05,7.55,10.96,6.78,3.12
2018-01-01,1.22,1.51,4.26,8.01,10.66,7.12,3.11
2018-04-01,1.11,1.56,4.17,7.88,10.94,7.05,3.04
2018-07-01,1.06,1.2,4.27,7.94,11.53,7.15,3.09
2018-10-01,1.06,1.16,4.47,7.77,11.42,6.96,3.1
2019-01-01,1.0,1.25,4.69,8.32,10.85,7.19,3.06
2019-04-01,0.87,1.1,4.64,8.32,10.83,7.16,2.94
2019-07-01,0.97,1.13,4.71,8.27,10.9,7.07,3.04
2019-10-01,1.07,0.84,4.94,8.36,11.06,6.98,3.15
2020-01-01,1.06,1.19,5.05,9.09,10.75,7.23,3.17
2020-04-01,0.84,1.25,5.03,9.75,6.97,7.66,2.61
2020-07-01,0.7,1.23,4.82,9.74,6.5,7.47,2.43
2020-10-01,0.62,1.12,4.77,9.36,6.45,7.46,2.33
2021-01-01,0.59,1.18,4.79,9.98,6.16,7.67,2.29
2021-04-01,0.47,1.05,4.35,9.28,5.69,7.72,2.06
2021-07-01,0.46,1.0,4.05,8.77,5.33,7.08,1.94
2021-10-01,0.46,0.82,3.98,8.32,4.99,7.02,1.87
2022-01-01,0.47,0.82,4.0,8.42,4.7,7.09,1.83
2022-04-01,0.48,0.91,3.86,7.98,4.55,7.01,1.81
2022-07-01,0.37,1.07,3.89,7.59,3.92,6.99,1.64
2022-10-01,0.43,0.87,3.73,7.67,0.87,7.18,1.41
2023-01-01,0.44,0.78,3.89,8.24,0.67,7.67,1.46
2023-04-01,0.46,0.64,3.82,8.0,0.63,7.56,1.47
2023-07-01,0.5,0.74,3.91,9.43,0.67,7.85,1.62
2023-10-01,0.57,0.62,4.17,9.74,0.6,7.85,1.74
2024-01-01,0.6,0.5,4.41,10.69,0.62,8.51,1.83
2024-04-01,0.57,0.36,4.43,10.93,0.65,8.45,1.83
2024-07-01,0.71,0.43,4.59,11.13,0.49,8.96,1.97
2024-10-01,0.7,0.53,4.83,11.35,0.53,9.17,2.04
2025-01-01,0.86,0.87,4.99,12.31,7.74,9.4,2.84
2025-04-01,0.82,0.85,4.99,12.27,10.16,9.61,3.04
2025-07-01,0.83,0.75,5.02,12.41,9.36,9.55,2.98
2025-10-01,0.92,0.82,5.21,12.7,9.57,9.52,3.12
2026-01-01,1.09,0.95,5.6,13.12,10.34,9.76,3.36
