date,ccsa,label
2023-06-01,1775,
2023-07-01,1780.4,Jul
2023-08-01,1808.75,
2023-09-01,1800.2,
2023-10-01,1812.75,Oct
2023-11-01,1803.75,
2023-12-01,1796,
2024-01-01,1775.25,Jan\\2024
2024-02-01,1791.25,
2024-03-01,1795.8,
2024-04-01,1781.5,Apr
2024-05-01,1797.75,
2024-06-01,1844.2,
2024-07-01,1867.25,Jul
2024-08-01,1856,
2024-09-01,1835.25,
2024-10-01,1872,Oct
2024-11-01,1880,
2024-12-01,1860.75,
2025-01-01,1865.25,Jan\\2025
2025-02-01,1859.75,
2025-03-01,1863.2,
2025-04-01,1872.75,Apr
2025-05-01,1906,
2025-06-01,1952.75,
2025-07-01,1950.25,Jul
2025-08-01,1942.6,
2025-09-01,1927,
