date,COE
2020-04-01,4.80556
2020-05-01,6.88464
2020-06-01,9.3416
2020-07-01,9.58191
2020-08-01,9.0153
2020-09-01,8.71289
2020-10-01,8.80161
2020-11-01,9.26482
2020-12-01,9.99985
2021-01-01,9.93162
2021-02-01,9.08157
2021-03-01,8.51225
2021-04-01,6.86184
2021-05-01,5.5463
2021-06-01,4.12451
2021-07-01,4.55008
2021-08-01,5.29719
2021-09-01,5.75496
2021-10-01,5.68376
2021-11-01,5.3993
2021-12-01,4.9099
2022-01-01,4.57727
2022-02-01,4.73813
2022-03-01,4.97478
2022-04-01,4.84168
2022-05-01,4.13229
2022-06-01,3.26253
2022-07-01,3.07046
2022-08-01,3.25809
2022-09-01,3.65562
2022-10-01,3.40293
2022-11-01,2.72933
2022-12-01,1.87199
2023-01-01,1.80748
2023-02-01,2.05051
2023-03-01,2.48346
2023-04-01,2.73493
2023-05-01,3.01939
2023-06-01,3.38628
2023-07-01,3.43031
2023-08-01,3.34517
2023-09-01,3.00095
2023-10-01,3.03182
2023-11-01,3.38769
2023-12-01,3.99617
2024-01-01,4.18359
2024-02-01,4.29017
2024-03-01,4.32169
2024-04-01,4.49507
2024-05-01,4.58568
2024-06-01,4.47857
2024-07-01,4.36234
2024-08-01,4.22456
2024-09-01,4.21291
2024-10-01,4.38045
2024-11-01,4.4748
2024-12-01,4.52746
2025-01-01,4.54851
2025-02-01,4.50905
2025-03-01,4.54797
2025-04-01,4.41526
2025-05-01,4.16737
2025-06-01,3.83132
2025-07-01,3.81198
2025-08-01,3.98669
2025-09-01,4.27056
2025-10-01,4.22833
2025-11-01,4.09092
2025-12-01,3.83182
2026-01-01,3.70034
2026-02-01,3.55514
2026-03-01,3.39154
2026-04-01,3.29194
