date,ALL,CORE,ALL_S,CORE_S
1988-01-01,115.7,120.8,116.0,120.9
1988-02-01,116.0,121.1,116.2,121.2
1988-03-01,116.5,121.9,116.5,121.7
1988-04-01,117.1,122.4,117.2,122.3
1988-05-01,117.5,122.7,117.5,122.7
1988-06-01,118.0,123.0,118.0,123.2
1988-07-01,118.5,123.3,118.5,123.6
1988-08-01,119.0,123.8,119.0,124.0
1988-09-01,119.8,124.7,119.5,124.7
1988-10-01,120.2,125.5,119.9,125.2
1988-11-01,120.3,125.8,120.3,125.6
1988-12-01,120.5,126.0,120.7,126.0
1989-01-01,121.1,126.4,121.2,126.5
1989-02-01,121.6,126.9,121.6,126.9
1989-03-01,122.3,127.6,122.2,127.4
1989-04-01,123.1,128.0,123.1,127.8
1989-05-01,123.8,128.3,123.7,128.3
1989-06-01,124.1,128.5,124.1,128.8
1989-07-01,124.4,129.0,124.5,129.2
1989-08-01,124.6,129.3,124.5,129.5
1989-09-01,125.0,130.0,124.8,129.9
1989-10-01,125.6,130.9,125.4,130.6
1989-11-01,125.9,131.3,125.9,131.1
1989-12-01,126.1,131.5,126.3,131.6
1990-01-01,127.4,132.0,127.5,132.1
1990-02-01,128.0,132.8,128.0,132.7
1990-03-01,128.7,133.9,128.6,133.5
1990-04-01,128.9,134.2,128.9,134.0
1990-05-01,129.2,134.4,129.1,134.4
1990-06-01,129.9,134.8,129.9,135.1
1990-07-01,130.4,135.5,130.5,135.8
1990-08-01,131.6,136.4,131.6,136.6
1990-09-01,132.7,137.2,132.5,137.1
1990-10-01,133.5,137.8,133.4,137.6
1990-11-01,133.8,138.2,133.7,138.0
1990-12-01,133.8,138.3,134.2,138.6
1991-01-01,134.6,139.4,134.7,139.5
1991-02-01,134.8,140.3,134.8,140.2
1991-03-01,135.0,140.9,134.8,140.5
1991-04-01,135.2,141.1,135.1,140.9
1991-05-01,135.6,141.3,135.6,141.3
1991-06-01,136.0,141.5,136.0,141.8
1991-07-01,136.2,142.0,136.2,142.3
1991-08-01,136.6,142.7,136.6,142.9
1991-09-01,137.2,143.4,137.0,143.4
1991-10-01,137.4,143.9,137.2,143.7
1991-11-01,137.8,144.4,137.8,144.2
1991-12-01,137.9,144.4,138.2,144.7
1992-01-01,138.1,144.9,138.3,145.1
1992-02-01,138.6,145.6,138.6,145.4
1992-03-01,139.3,146.4,139.1,145.9
1992-04-01,139.5,146.6,139.4,146.3
1992-05-01,139.7,146.7,139.7,146.8
1992-06-01,140.2,146.9,140.1,147.1
1992-07-01,140.5,147.3,140.5,147.6
1992-08-01,140.9,147.7,140.8,147.9
1992-09-01,141.3,148.1,141.1,148.1
1992-10-01,141.8,149.0,141.7,148.8
1992-11-01,142.0,149.3,142.1,149.2
1992-12-01,141.9,149.2,142.3,149.6
1993-01-01,142.6,149.9,142.8,150.1
1993-02-01,143.1,150.8,143.1,150.6
1993-03-01,143.6,151.4,143.3,150.8
1993-04-01,144.0,151.7,143.8,151.4
1993-05-01,144.2,151.7,144.2,151.8
1993-06-01,144.4,151.8,144.3,152.1
1993-07-01,144.4,152.0,144.5,152.3
1993-08-01,144.8,152.6,144.8,152.8
1993-09-01,145.1,152.9,145.0,152.9
1993-10-01,145.7,153.5,145.6,153.4
1993-11-01,145.8,153.9,146.0,153.9
1993-12-01,145.8,153.9,146.3,154.3
1994-01-01,146.2,154.3,146.3,154.5
1994-02-01,146.7,155.0,146.7,154.8
1994-03-01,147.2,155.8,147.1,155.3
1994-04-01,147.4,155.9,147.2,155.5
1994-05-01,147.5,156.0,147.5,155.9
1994-06-01,148.0,156.2,147.9,156.4
1994-07-01,148.4,156.4,148.4,156.7
1994-08-01,149.0,157.0,149.0,157.1
1994-09-01,149.4,157.5,149.3,157.5
1994-10-01,149.5,158.0,149.4,157.8
1994-11-01,149.7,158.2,149.8,158.2
1994-12-01,149.7,157.9,150.1,158.3
1995-01-01,150.3,158.7,150.5,159.0
1995-02-01,150.9,159.6,150.9,159.4
1995-03-01,151.4,160.4,151.2,159.9
1995-04-01,151.9,160.7,151.8,160.4
1995-05-01,152.2,160.8,152.1,160.7
1995-06-01,152.5,160.9,152.4,161.1
1995-07-01,152.5,161.1,152.6,161.4
1995-08-01,152.9,161.6,152.9,161.8
1995-09-01,153.2,162.1,153.1,162.2
1995-10-01,153.7,162.8,153.5,162.7
1995-11-01,153.6,163.0,153.7,163.0
1995-12-01,153.5,162.7,153.9,163.1
1996-01-01,154.4,163.4,154.7,163.7
1996-02-01,154.9,164.2,155.0,164.0
1996-03-01,155.7,164.9,155.5,164.4
1996-04-01,156.3,165.0,156.1,164.6
1996-05-01,156.6,165.1,156.4,165.0
1996-06-01,156.7,165.2,156.7,165.4
1996-07-01,157.0,165.5,157.0,165.7
