date,e_gdp,e_p,e_r,sfa,total
1989-07-01,-1.71305,-1.95504,3.13266,0.49236,-0.0430653
1990-07-01,-0.889004,-1.43835,3.23988,1.34921,2.26174
1991-07-01,0.0470342,-0.908571,3.39531,1.10421,3.63798
1992-07-01,-1.8623,0.423568,3.60583,0.266092,2.43319
1993-07-01,-1.52191,0.0305895,3.3329,-0.207052,1.63453
1994-07-01,-2.26911,-0.894921,3.29601,-0.72258,-0.590597
1995-07-01,-1.51824,-1.44264,3.51888,-0.796957,-0.238953
1996-07-01,-2.10812,-2.23713,3.51937,0.275457,-0.550423
1997-07-01,-2.4339,-3.19016,3.38492,-0.185309,-2.42445
1998-07-01,-2.37,-4.04913,3.49728,0.0452837,-2.87657
1999-07-01,-2.36542,-4.37439,3.01745,0.548146,-3.17422
2000-07-01,-1.86491,-5.00844,2.47725,-1.02651,-5.42261
2001-07-01,-0.376763,-3.27225,2.23917,0.683653,-0.726186
2002-07-01,-0.713686,-0.306155,2.18806,0.168497,1.33672
2003-07-01,-1.13879,0.922275,1.77242,0.251669,1.80757
2004-07-01,-1.62946,0.715925,1.44493,0.130967,0.662366
2005-07-01,-1.4994,-0.388199,1.38412,0.3547,-0.148778
2006-07-01,-1.18753,-1.08771,1.43637,0.018172,-0.820691
2007-07-01,-0.858951,-1.02462,1.73217,0.107842,-0.0435574
2008-07-01,-0.0689429,1.60147,1.85573,4.59039,7.97865
2009-07-01,1.39747,6.13784,2.11285,1.7592,11.4074
2010-07-01,-1.66929,6.2255,1.8278,2.22558,8.60958
2011-07-01,-1.0988,5.18402,1.33549,-0.591367,4.82934
2012-07-01,-1.69661,3.99942,1.25816,0.691933,4.2529
2013-07-01,-1.64315,1.28907,1.15117,1.34689,2.14398
2014-07-01,-2.02752,0.87986,1.13879,0.834164,0.825296
2015-07-01,-2.44014,0.70048,1.65807,0.962914,0.881315
2016-07-01,-1.50536,1.13265,1.64404,0.962073,2.2334
2017-07-01,-2.03667,1.32623,0.941209,-0.682005,-0.451241
2018-07-01,-2.46279,1.77064,0.776172,1.72514,1.80916
2019-07-01,-2.20935,2.16637,1.30836,0.641755,1.90713
2020-07-01,1.92028,11.3568,1.22304,7.613,22.1131
2021-07-01,-6.30248,9.61567,-2.10328,-5.06178,-3.85186
2022-07-01,-2.5165,1.17117,-4.14056,1.88936,-3.59652
2023-07-01,-2.94366,2.79992,-0.187111,3.24261,2.91176
2024-07-01,-2.91309,2.57807,1.32039,0.959039,1.9444
2025-07-01,-2.23875,2.07706,0.929208,1.54803,2.31554
