Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,age70plus,3860252,3964195,1004870,161275,471603,473268,23383,341720,1488075,103942,41518,36498,25926
1989:Q3,age55to69,7587219,8015958,1902011,463509,753803,1700516,323248,1016071,1856800,428739,292769,91039,44931
1989:Q3,age40to54,6539532,7781764,2473161,673054,643636,1092225,519631,1128801,1251256,1242232,872870,300369,68993
1989:Q3,ageunder40,2452979,3830839,1513126,598342,221402,216322,147761,483030,650856,1377860,1003997,356301,17562
1989:Q4,age70plus,3984148,4086314,1051145,172146,477456,485912,23430,353383,1522842,102166,39786,37263,25117
1989:Q4,age55to69,7731946,8183753,1943690,467087,790000,1729612,337801,1031247,1884316,451807,306706,99589,45512
1989:Q4,age40to54,6617661,7886532,2467047,673412,659090,1133003,541940,1129744,1282296,1268871,895256,304192,69423
1989:Q4,ageunder40,2484198,3888897,1532435,612937,225559,218540,153065,482451,663910,1404700,1018833,368241,17626
1990:Q1,age70plus,3994281,4095086,1049868,183358,430801,496090,21443,363301,1550225,100805,40916,34506,25383
1990:Q1,age55to69,7749671,8222645,1949265,480412,757779,1750847,340368,1042909,1901065,472974,325755,98684,48535
1990:Q1,age40to54,6656261,7949300,2477835,683477,634195,1171311,551404,1130156,1300922,1293039,928077,294550,70412
1990:Q1,ageunder40,2467728,3891296,1536016,619737,210736,219693,154126,480029,670959,1423568,1040651,364580,18337
1990:Q2,age70plus,4093752,4195077,1087984,193760,438856,507279,20384,375757,1571057,101325,42727,33881,24717
1990:Q2,age55to69,7863107,8356025,1988502,482058,797946,1773741,351820,1057499,1904460,492918,340813,102607,49498
1990:Q2,age40to54,6715220,8036781,2465851,683655,653699,1212362,569324,1132949,1318940,1321561,957865,293107,70589
1990:Q2,ageunder40,2477947,3919755,1542826,632914,215937,221226,157137,479344,670371,1441808,1054512,369117,18179
1990:Q3,age70plus,4049392,4147267,1091400,199822,328541,516629,16704,389150,1605021,97875,42066,33687,22122
1990:Q3,age55to69,7803176,8312283,2006218,491836,677947,1790650,342447,1072594,1930591,509106,354066,108275,46765
1990:Q3,age40to54,6736957,8084493,2506494,693188,576774,1251988,568826,1136918,1350304,1347536,983797,293931,69808
1990:Q3,ageunder40,2438752,3899590,1558614,631308,177732,221972,155090,479034,675840,1460837,1067338,376409,17090
1990:Q4,age70plus,4181049,4274585,1091768,207142,373715,526644,16701,398706,1659908,93536,37908,33113,22515
1990:Q4,age55to69,7951520,8480964,1994468,498153,770783,1808374,357392,1081307,1970487,529444,366000,113830,49614
1990:Q4,age40to54,6890604,8260967,2503631,699931,630594,1293925,594747,1138977,1399162,1370363,1005364,294077,70922
1990:Q4,ageunder40,2449204,3930664,1556529,633816,197120,222959,160793,475241,684207,1481460,1080538,383371,17551
1991:Q1,age70plus,4325328,4411527,1113448,218506,449444,536530,17562,400987,1675050,86199,34377,29740,22082
1991:Q1,age55to69,8103987,8643676,1999033,500997,904041,1824828,375553,1078972,1960252,539689,376841,111520,51328
1991:Q1,age40to54,7032833,8415854,2483616,703065,706982,1337025,626122,1137128,1421916,1383021,1027434,283476,72111
1991:Q1,ageunder40,2486634,3973403,1551306,645216,226946,223864,168306,465326,692440,1486770,1091039,377471,18260
1991:Q2,age70plus,4352223,4437351,1132338,224955,430377,547062,16073,407023,1679523,85128,35594,28362,21172
1991:Q2,age55to69,8118732,8674885,2017097,503418,910435,1842091,381354,1081523,1938967,556154,390900,113597,51657
1991:Q2,age40to54,7097324,8509517,2497634,707710,709251,1382450,643652,1138275,1430545,1412193,1059881,280301,72011
1991:Q2,ageunder40,2457327,3958179,1555742,647615,222753,224998,171063,458165,677843,1500852,1104276,379046,17530
1991:Q3,age70plus,4406777,4497228,1130608,230307,460296,557278,16060,410084,1692595,90451,39741,27642,23068
1991:Q3,age55to69,8220700,8788216,2031333,511365,982479,1857680,395152,1079450,1930757,567516,394721,115457,57338
1991:Q3,age40to54,7260632,8696693,2542359,718492,750089,1428796,671086,1138216,1447655,1436061,1083858,278711,73492
1991:Q3,ageunder40,2476157,3971262,1566090,643310,235888,225976,176777,448406,674814,1495104,1096183,380690,18231
1991:Q4,age70plus,4574744,4670200,1148938,236429,571653,567620,16702,408913,1719945,95456,42579,27564,25313
1991:Q4,age55to69,8411475,9001220,2045213,512891,1159124,1872813,412714,1071206,1927258,589744,405671,120358,63715
1991:Q4,age40to54,7455172,8927557,2561635,723588,849971,1476724,703268,1136243,1476129,1472385,1116443,280553,75389
1991:Q4,ageunder40,2512156,4021799,1574799,644539,276615,226976,183674,435132,680064,1509643,1103187,387106,19350
