Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,College,9933593,11361260,2960829,796532,1399547,1469578,561609,1619435,2553730,1427667,1050193,274658,102816
1989:Q3,SomeCollege,3921604,4677591,1490725,423526,336677,658009,173907,537611,1057136,755987,539019,192197,24771
1989:Q3,HS,4209315,4925197,1528054,482878,266028,843199,180729,533274,1091035,715882,463003,228662,24217
1989:Q3,NoHS,2375470,2628708,913561,193244,88192,511544,97775,279301,545091,253238,158941,88690,5607
1989:Q4,College,10363733,11861210,3092535,827954,1451405,1543052,600389,1667272,2678602,1497477,1098478,294879,104120
1989:Q4,SomeCollege,3943254,4702675,1488076,424021,343570,676287,177476,538606,1054638,759421,540594,194294,24533
1989:Q4,HS,4198601,4918307,1531785,474187,269521,851431,185862,522681,1082841,719706,465002,231193,23511
1989:Q4,NoHS,2312365,2563304,881921,199421,87608,496297,92508,268267,537283,250939,156508,88920,5511
1990:Q1,College,10559944,12128051,3182475,869221,1371948,1605057,618469,1704411,2776470,1568108,1157981,301500,108627
1990:Q1,SomeCollege,3927801,4691802,1479826,426996,327817,693735,175854,540548,1047025,764001,550111,188720,25170
1990:Q1,HS,4142770,4856747,1502396,474611,251540,857961,186401,513339,1070500,713977,471821,218985,23171
1990:Q1,NoHS,2237425,2481727,848287,196155,82205,481188,86616,258096,529180,244301,155486,83114,5701
1990:Q2,College,10846331,12477467,3269613,892375,1424026,1663805,644909,1741531,2841208,1631135,1208187,313320,109628
1990:Q2,SomeCollege,3965798,4737130,1482675,429324,340068,714306,179252,546465,1045040,771332,558186,187956,25190
1990:Q2,HS,4148090,4863036,1507184,468036,259472,868431,192314,508013,1059587,714947,476098,216315,22534
1990:Q2,NoHS,2189806,2430005,825690,202652,82871,468067,82190,249540,518995,240198,153446,81121,5631
1990:Q3,College,10853970,12533662,3366382,921851,1175507,1712919,644602,1775405,2936997,1679692,1248189,326698,104805
1990:Q3,SomeCollege,3960841,4739510,1494659,431406,296435,734769,173482,554977,1053782,778669,565456,188957,24256
1990:Q3,HS,4095048,4814707,1498857,467460,217082,878323,188885,505263,1058837,719659,481650,216454,21555
1990:Q3,NoHS,2118419,2355752,802828,195437,71968,455229,76099,242052,512139,237334,151971,80193,5170
1990:Q4,College,11242947,12967923,3406038,944925,1319076,1758572,680809,1795228,3063276,1724976,1277232,339196,108548
1990:Q4,SomeCollege,4044550,4831620,1489692,434644,331210,757920,179864,562559,1075731,787070,571868,190079,25123
1990:Q4,HS,4122687,4849653,1482282,466308,244503,891513,196818,501820,1066409,726966,489320,216101,21545
1990:Q4,NoHS,2062193,2297983,768384,193165,77423,443896,72143,234624,508348,235790,151391,79016,5383
1991:Q1,College,11601563,13354015,3433385,962909,1535613,1799157,724910,1793425,3104615,1752452,1302608,339186,110658
1991:Q1,SomeCollege,4131634,4921756,1487543,440340,381093,782842,188309,566764,1074865,790121,579253,184964,25904
1991:Q1,HS,4184679,4908073,1485012,465405,285341,906726,206151,495558,1063880,723394,497143,204598,21653
1991:Q1,NoHS,2030905,2260617,741463,199130,85367,433523,68174,226666,506293,229712,150687,73460,5565
1991:Q2,College,11652375,13446984,3482541,976045,1513147,1836785,745244,1796256,3096966,1794609,1340217,344654,109738
1991:Q2,SomeCollege,4184621,4987944,1503974,444455,387718,810374,191500,575328,1074595,803324,593164,184086,26074
1991:Q2,HS,4200418,4930041,1491631,464067,287157,925066,211519,493353,1057248,729622,507061,201427,21134
1991:Q2,NoHS,1988192,2214964,724664,199131,84794,424377,63878,220049,498071,226772,150208,71139,5425
1991:Q3,College,11865724,13690956,3533473,994236,1610348,1869372,779497,1788372,3115658,1825232,1359368,348851,117013
1991:Q3,SomeCollege,4284722,5096789,1525930,449163,418960,839412,199036,583394,1080894,812068,600548,183620,27900
1991:Q3,HS,4261002,4990895,1499189,467268,310765,945060,220625,490855,1057133,729893,508130,200433,21330
1991:Q3,NoHS,1952819,2174759,711798,192809,88679,415886,59916,213534,492138,221940,146458,69596,5886
1991:Q4,College,12244856,14116835,3571006,1002238,1901762,1898211,819279,1767359,3156980,1871979,1389424,357111,125444
1991:Q4,SomeCollege,4419480,5250734,1544693,454388,488239,870420,208991,589989,1094015,831254,615404,185767,30083
1991:Q4,HS,4363148,5105718,1520055,467553,368541,967326,231986,487244,1063013,742570,517573,203241,21756
1991:Q4,NoHS,1926063,2147489,694831,193268,98823,408177,56102,206900,489388,221426,145479,69462,6485
1992:Q1,College,12155316,14046018,3597084,1004865,1841496,1935808,824698,1749498,3092568,1890701,1416592,351362,122747
1992:Q1,SomeCollege,4487490,5328121,1564513,460935,494839,909199,209484,599894,1089258,840631,629238,180984,30409
1992:Q1,HS,4424717,5162770,1551605,467228,369309,999278,235628,486566,1053156,738053,520598,195636,21819
1992:Q1,NoHS,1900262,2113904,681344,199177,98041,403490,51617,201148,479088,213643,141848,65371,6424
1992:Q2,College,12113220,14028729,3612485,1010449,1822533,1962459,842907,1733735,3044160,1915509,1435248,352643,127618
