Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,74.8,64.3,66.6,55.9,81,82.3,85.4,83.3,85.2,73.5,94.4,96.5,91.6,81.7,60.9,83.3,66.4,89.1,74.2,61.1,40.2,40.1,37.6,39.4,51.9,83.6,60.6,80.1,48553376
1989:Q3,BabyBoom,24.7,34.7,32.8,41.7,18.7,17.3,14.5,16.2,14.2,26.2,5.6,3.5,8.4,18.1,38.3,16.7,33.4,10.9,25.4,37.5,58.1,58.2,61.3,56.8,47.9,16.2,38.6,19.5,39289625
1989:Q3,GenX,0.6,1,0.6,2.4,0.3,0.4,0.1,0.5,0.5,0.2,0,0,0,0.2,0.8,0,0.2,0,0.4,1.3,1.7,1.7,1.1,3.8,0.2,0.2,0.8,0.4,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,74.4,64.1,66.5,55.5,80.5,81.4,83.5,83.2,85.1,74.1,93.3,94.2,91.9,81.6,60.8,82.4,66.1,88.4,74,60.9,40,39.9,37.5,39,52.4,84.3,60.2,79.8,48581895
1989:Q4,BabyBoom,24.9,34.8,32.8,41.9,19.1,18,16.3,16.3,14.4,25.5,6.7,5.8,8.1,18.3,38.2,17.6,33.6,11.5,25.5,37.6,58.1,58.2,61.3,56.8,47.4,15.5,38.6,19.8,39314788
1989:Q4,GenX,0.6,1.1,0.7,2.6,0.4,0.6,0.2,0.5,0.5,0.3,0,0,0,0.2,1,0.1,0.3,0.1,0.5,1.5,1.9,1.9,1.1,4.2,0.2,0.2,1.2,0.4,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,74.4,63.9,66.2,55.5,80.6,81.1,80.8,83.2,85,74.3,89.8,88.4,92.2,83.9,60.8,81.5,67,88,73.9,60.6,39.8,39.7,37.4,38.7,52.8,82.8,60.4,79.8,48563739
1990:Q1,BabyBoom,25,34.9,33,41.7,19.1,18.2,18.8,16.2,14.4,25.3,10.2,11.6,7.8,16.1,38.1,18.4,32.9,11.8,25.6,37.7,58.1,58.2,61.2,56.7,46.8,17,38.4,19.7,39352975
1990:Q1,GenX,0.7,1.2,0.8,2.8,0.4,0.7,0.4,0.6,0.6,0.4,0,0,0,0,1.1,0.1,0.1,0.1,0.5,1.7,2.1,2.1,1.3,4.6,0.3,0.2,1.2,0.5,5588046
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,74.2,63.9,66.4,55,80.2,80.7,81.3,82.8,84.4,74.9,90.1,88.7,92.4,83.6,60.7,78.3,67.6,87.5,73.6,60.3,39.7,39.6,37.5,38.2,53.2,82.7,60.4,79.7,48501343
1990:Q2,BabyBoom,25.1,34.8,32.8,42,19.3,18.5,18.4,16.5,14.9,24.6,9.9,11.3,7.6,16.4,38,21.4,32.4,12.3,25.8,37.9,58,58.1,61,56.7,46.4,17.1,38.3,19.9,39403449
1990:Q2,GenX,0.7,1.2,0.7,3,0.4,0.8,0.2,0.6,0.6,0.5,0,0,0,0,1.2,0.3,0,0.2,0.5,1.8,2.3,2.3,1.5,5.1,0.4,0.2,1.3,0.5,5841384
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,74.3,63.5,65.9,55.1,80.8,80.2,79.1,82.4,83.7,75.3,89.7,88.1,92.6,90.9,60.7,79.3,68.9,87.2,73.4,60,39.5,39.4,37.3,37.7,53.5,85.5,60.3,79.9,48397139
1990:Q3,BabyBoom,24.9,35.1,33.3,41.8,18.7,18.9,20.5,17,15.6,24.1,10.3,11.9,7.4,9.1,37.9,20.5,31.1,12.5,26,38,58,58.1,61,56.6,46,14.2,38.2,19.5,39465470
1990:Q3,GenX,0.8,1.4,0.9,3.1,0.5,0.9,0.4,0.7,0.7,0.7,0,0,0,0,1.4,0.2,0,0.3,0.6,1.9,2.5,2.5,1.6,5.7,0.5,0.3,1.5,0.5,6124564
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,73.8,63.1,65.4,54.9,80,79.3,78,81.8,83,76.5,87.4,84.5,92.8,87.3,60.6,78.5,68.4,86.8,73.2,59.7,39.1,39,37,37.2,54,83.9,59.9,79.4,48253561
1990:Q4,BabyBoom,25.3,35.4,33.6,41.7,19.4,19.6,21.5,17.5,16.3,22.7,12.6,15.5,7.2,12.7,37.9,21.2,31.6,12.8,26.2,38.2,58.2,58.3,61.3,56.5,45.4,15.7,38.3,20,39538300
1990:Q4,GenX,0.9,1.5,1,3.3,0.6,1.1,0.5,0.7,0.7,0.8,0,0,0,0,1.6,0.3,0,0.3,0.7,2.1,2.7,2.7,1.7,6.3,0.6,0.3,1.9,0.6,6436036
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,73.3,62.9,65.3,54.4,79.2,78.7,74.7,82.3,83.5,77.2,87.2,84.1,93,83,60.5,79,67.1,86.4,73.2,59.3,38.8,38.7,36.7,36.7,54.5,83.6,59.8,78.8,48073044
1991:Q1,BabyBoom,25.7,35.5,33.6,42,20.2,20,24.5,16.9,15.7,21.9,12.8,15.9,7,17,37.8,20.8,32.7,13.1,26.1,38.4,58.4,58.5,61.6,56.4,44.6,16,38.2,20.5,39621201
1991:Q1,GenX,1,1.7,1.1,3.6,0.6,1.3,0.8,0.8,0.8,1,0,0,0,0,1.7,0.2,0.2,0.4,0.7,2.3,2.8,2.8,1.7,6.8,0.8,0.4,2,0.7,6774249
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,73.2,62.6,65.1,54.1,79.2,78.9,75.2,81.9,82.9,77.8,88.1,85.5,93.1,83.8,60.2,78.6,67.3,86,73.1,58.9,38.5,38.4,36.6,36.2,54.9,83.4,59.7,78.8,47858021
1991:Q2,BabyBoom,25.7,35.6,33.8,42.1,20.1,19.8,24.1,17.2,16.2,21.1,11.9,14.5,6.9,16.2,37.9,21.2,32.6,13.5,26.2,38.6,58.4,58.5,61.5,56.4,44.2,16.1,38.2,20.5,39713433
1991:Q2,GenX,1.1,1.8,1.1,3.9,0.7,1.3,0.7,0.9,0.9,1.1,0,0,0,0,1.9,0.2,0.1,0.5,0.7,2.5,3.1,3.1,1.9,7.5,0.9,0.4,2.1,0.7,7137654
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,72.8,62.2,64.5,54.1,78.7,78.7,74.8,81.4,82.2,77.8,87,83.9,93.2,82.2,60.1,78.5,66.4,85.5,73,58.5,38.4,38.3,36.7,35.6,55.4,79.3,59.7,78.3,47610924
1991:Q3,BabyBoom,26.1,35.9,34.2,41.9,20.5,19.9,24.6,17.6,16.9,20.8,13,16.1,6.8,17.8,37.8,21.3,33.2,13.9,26.2,38.9,58.2,58.3,61.2,56.3,43.4,20.3,38.1,20.9,39814258
1991:Q3,GenX,1.2,1.9,1.3,4,0.8,1.5,0.6,1,0.9,1.4,0,0,0,0,2.1,0.2,0.4,0.6,0.7,2.6,3.4,3.4,2.1,8.1,1.1,0.4,2.2,0.8,7524699
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,72,61.7,64.1,53.7,77.6,78.1,74,81.1,81.8,78.1,83.8,79.5,93.2,77.6,59.8,78.2,65.1,85.1,73.2,58,38.1,38,36.6,35,56,75.4,59.6,77.4,47334189
1991:Q4,BabyBoom,26.7,36.2,34.5,42,21.4,20.2,25.4,17.8,17.3,20.2,16.2,20.5,6.8,21.8,37.8,21.6,34,14.2,26.1,39.1,58.1,58.2,61,56.1,42.5,24.2,38.1,21.6,39922939
1991:Q4,GenX,1.3,2.1,1.5,4.3,0.9,1.7,0.6,1.1,1,1.7,0,0,0,0.6,2.3,0.3,0.9,0.7,0.7,2.9,3.7,3.7,2.4,8.9,1.5,0.4,2.3,1,7933834
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,72,61.4,63.9,53,77.8,79.4,72.2,80.7,81.2,78.8,86.7,83.6,93.2,78.6,59.6,78.5,65.8,84.1,73.2,57.6,38.3,38.2,36.9,34.5,56.7,76.7,59.4,77.4,47030249
1992:Q1,BabyBoom,26.6,36.3,34.6,42.3,21.3,19.1,27,18.1,17.8,19.3,13.3,16.4,6.8,21.1,37.9,21.2,33.5,15.1,26.1,39.3,57.7,57.8,60.4,56,41.5,22.8,38.1,21.7,40038735
1992:Q1,GenX,1.4,2.3,1.6,4.7,0.9,1.5,0.8,1.2,1,1.9,0,0,0,0.4,2.6,0.2,0.6,0.8,0.8,3.1,4.1,4.1,2.7,9.5,1.8,0.5,2.6,1,8363508
