Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,3549688,801356,535477,265880,2748332,318257,98050,396873,305391,91482,71381,64729,6653,751178,42018,11265,95128,106980,840175,17027,151752,150016,99212,27116,1333,22354,1736,3397936,932032,244112,269339639
1989:Q3,pct80to99,10473101,3733892,3038466,695426,6739208,1222367,172595,397359,366819,30540,127879,47787,80093,928381,174502,204960,412513,1573422,1428478,96752,1480414,1472605,1149185,247150,1687,74582,7809,8992687,17675472,52161,244112
1989:Q3,pct60to80,4196023,1842495,1406481,436014,2353528,531316,57985,131330,99325,32005,26581,13803,12778,225319,76469,64699,82042,830796,276794,50196,843147,839724,566210,247835,379,25300,3423,3352876,18601147,32302,52161
1989:Q3,pct40to60,2972790,1250833,999838,250995,1721957,453567,19935,79929,64064,15865,24564,7577,16987,120511,33775,40254,39305,628717,247878,33521,425093,423581,258912,159522,730,4417,1512,2547697,18605233,20512,32291
1989:Q3,pct20to40,1748750,841808,669590,172218,906942,317186,11911,32903,31498,1405,38974,34266,4708,41505,21362,6687,49067,238036,128551,20759,189179,188223,113386,69864,249,4724,956,1559571,18612879,10366,20458
1989:Q3,pct00to20,652405,318964,243317,75647,333442,113774,2168,8077,6817,1260,4486,701,3785,23550,12066,966,7137,104377,47747,9093,63188,62648,24249,32719,154,5526,540,589218,18593339,0,10361
1989:Q4,pct99to100,3634428,818348,548492,269856,2816080,324884,104243,401512,308845,92666,79028,70689,8340,761986,42294,11943,100741,113648,858513,17289,160452,158444,105127,27253,1265,24799,2009,3473976,934209,,
1989:Q4,pct80to99,10658734,3787558,3085569,701990,6871175,1241120,179780,405259,370172,35087,133829,55347,78482,960646,179547,210193,430344,1605834,1426464,98159,1505500,1497428,1169882,254117,1641,71789,8072,9153233,17723278,,
1989:Q4,pct60to80,4285727,1867170,1426725,440445,2418557,536979,57329,132517,100240,32277,28093,15232,12861,231901,78008,69410,90058,857535,285477,51251,860059,856603,577830,253696,366,24711,3456,3425668,18647732,,
1989:Q4,pct40to60,3014647,1262650,1007275,255375,1751997,461893,21144,77858,61962,15896,28304,9590,18714,126949,36631,40788,40250,632097,251718,34366,436719,435158,265204,164187,703,5063,1561,2577928,18654910,,
