Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,pct99to100,3397936,3549688,535477,265880,751178,106980,106393,840175,943606,151752,99212,27116,25424
1989:Q3,pct80to99,8992687,10473101,3038466,695426,928381,1573422,617473,1428478,2191454,1480414,1149185,247150,84079
1989:Q3,pct60to80,3352876,4196023,1406481,436014,225319,830796,146741,276794,873878,843147,566210,247835,29102
1989:Q3,pct40to60,2547697,2972790,999838,250995,120511,628717,79559,247878,645292,425093,258912,159522,6659
1989:Q3,pct20to40,1559571,1748750,669590,172218,41505,238036,55754,128551,443096,189179,113386,69864,5929
1989:Q3,pct00to20,589218,652405,243317,75647,23550,104377,8103,47747,149665,63188,24249,32719,6220
1989:Q4,pct99to100,3473976,3634428,548492,269856,761986,113648,112684,858513,969249,160452,105127,27253,28072
1989:Q4,pct80to99,9153233,10658734,3085569,701990,960646,1605834,640537,1426464,2237694,1505500,1169882,254117,81501
1989:Q4,pct60to80,3425668,4285727,1426725,440445,231901,857535,159468,285477,884176,860059,577830,253696,28533
1989:Q4,pct40to60,2577928,3014647,1007275,255375,126949,632097,81038,251718,660195,436719,265204,164187,7328
1989:Q4,pct20to40,1574238,1772428,668171,177898,45880,250805,54635,125375,449664,198191,115762,76299,6130
1989:Q4,pct00to20,612912,679533,258085,80019,24741,107149,7874,49282,152383,66622,26776,33733,6113
1990:Q1,pct99to100,3445786,3614931,555694,265180,697897,119651,115414,874155,986939,169144,113510,24925,30709
1990:Q1,pct80to99,9134729,10665927,3067847,719290,912325,1630735,646536,1420821,2268372,1531197,1199837,247828,83532
1990:Q1,pct60to80,3464949,4332763,1431439,449213,223621,880429,165386,293738,888938,867814,595145,244629,28040
1990:Q1,pct40to60,2595704,3042248,1009415,267444,127413,634070,79735,254863,669307,446544,276402,161806,8336
1990:Q1,pct20to40,1599241,1801276,677756,182778,48023,263373,52575,122052,454719,202035,119555,76203,6277
1990:Q1,pct00to20,627527,701181,270833,83077,24231,109684,7696,50765,154895,73653,30950,36929,5774
1990:Q2,pct99to100,3502094,3680589,564255,268753,712461,125948,119385,893809,995978,178495,121431,24201,32863
1990:Q2,pct80to99,9252272,10806554,3110993,724257,949896,1658677,663819,1418834,2280078,1554281,1223652,248697,81932
1990:Q2,pct60to80,3526803,4405666,1443837,452658,231231,904967,176311,302892,893770,878863,607634,243868,27361
1990:Q2,pct40to60,2608779,3066685,1004766,271321,134507,636592,80672,258960,679868,457906,285460,163519,8927
1990:Q2,pct20to40,1612909,1822131,678708,188202,52775,276096,50936,118676,456738,209222,122865,79989,6368
1990:Q2,pct00to20,647168,726011,282604,87196,25569,112327,7542,52377,158396,78843,34876,38438,5529
1990:Q3,pct99to100,3397365,3583473,578690,260649,555826,131775,120045,914926,1021562,186108,127924,23729,34455
1990:Q3,pct80to99,9151155,10721441,3111936,736890,799672,1681151,655135,1417701,2318956,1570286,1244678,251939,73669
1990:Q3,pct60to80,3551298,4442397,1461251,457971,203989,926740,176009,312436,904001,891099,619029,245601,26469
1990:Q3,pct40to60,2628385,3096210,1015541,282064,126920,638072,76501,263381,693731,467825,292352,166331,9142
