Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,White,21048903,7637355,5993923,1643432,13411548,2702223,351813,1019332,848520,170812,290916,167462,123454,2011230,321870,279040,637492,2980135,2622226,195270,2587585,2573323,1831010,620286,4225,117803,14262,18461317,69591129
1989:Q3,Black,1010666,449358,338490,110867,561308,93537,5343,8461,7694,767,311,201,110,17098,15445,30043,24196,316289,38228,12356,183427,182738,103501,78236,134,868,689,827239,11845844
1989:Q3,Hispanic,624978,330303,263047,67256,294675,84592,806,4690,4617,73,23,22,1,14710,8735,9380,11585,94830,56157,9166,201787,201396,140736,46590,130,13940,391,423191,7359603
1989:Q3,Other,908209,372333,297709,74624,535876,76117,4680,13987,13084,904,2616,1177,1439,47405,14142,10368,11918,91075,253011,10556,179975,179341,135909,39095,44,4293,633,728234,4223525
1989:Q4,White,21407121,7732381,6073325,1659056,13674741,2742936,365385,1026444,850296,176148,309921,183990,125931,2067181,328984,289042,661782,3049573,2634881,198612,2640497,2625792,1866106,638340,4086,117260,14705,18766625,69605334
1989:Q4,Black,1040151,458885,341533,117351,581266,92001,5204,8700,7804,896,823,532,291,18421,17280,31167,27047,324869,42909,12844,192639,191831,108717,81759,128,1227,808,847512,11811814
1989:Q4,Hispanic,647360,340440,270988,69452,306920,85194,929,4656,4558,98,164,163,2,15320,9809,9716,12405,97777,61374,9575,208747,208307,146091,48893,129,13193,440,438614,7536400
1989:Q4,Other,950864,388195,308471,79724,562669,79918,5719,18109,16108,2001,3595,1978,1616,51182,15557,11115,13961,94848,257662,11004,185662,184966,139669,40293,47,4958,695,765202,4308690
1990:Q1,White,21459329,7772135,6081574,1690561,13687194,2743414,390628,1013175,843763,169412,343671,214876,128795,1950608,331778,299026,659644,3108351,2641729,205170,2689335,2675026,1923564,625411,5068,120982,14309,18769994,69665581
1990:Q1,Black,1058811,462167,342455,119712,596644,90124,5055,8964,7866,1098,2227,1740,486,18661,18745,32294,27051,332277,47457,13790,196179,195368,115609,77816,160,1784,811,862632,11791502
