date,Bottom50,Next40,Next9,RemainingTop1,TopPt1,Top10,Top1
1989-07-01,3.5,35.7,38,14.3,8.6,60.9,22.9
1989-10-01,3.4,35.7,37.9,14.3,8.7,60.9,23
1990-01-01,3.5,36,37.8,14.2,8.6,60.6,22.8
1990-04-01,3.3,36,37.7,14.2,8.7,60.6,22.9
1990-07-01,3.5,36.5,37.5,14,8.5,60,22.5
1990-10-01,3.5,36.3,37.3,14.1,8.7,60.1,22.8
1991-01-01,3.5,36.1,37.2,14.3,8.9,60.4,23.2
1991-04-01,3.5,36.3,37,14.3,8.9,60.2,23.2
1991-07-01,3.7,36.4,36.7,14.3,8.9,59.9,23.2
1991-10-01,3.7,36.1,36.6,14.5,9.1,60.2,23.6
1992-01-01,3.7,36.3,36.4,14.5,9,59.9,23.5
1992-04-01,3.8,36.5,36.4,14.3,8.9,59.6,23.2
1992-07-01,4,36.6,36.3,14.2,8.9,59.4,23.1
1992-10-01,4,36.2,36.2,14.4,9.2,59.8,23.6
1993-01-01,3.7,35.9,36.2,14.6,9.6,60.4,24.2
1993-04-01,3.7,36,36,14.6,9.7,60.3,24.3
1993-07-01,3.7,35.9,35.8,14.7,9.8,60.3,24.5
1993-10-01,3.6,35.7,35.6,14.9,10.1,60.6,25
1994-01-01,3.5,35.7,35.5,15,10.3,60.8,25.3
1994-04-01,3.4,35.8,35.3,15,10.5,60.8,25.5
1994-07-01,3.4,35.8,35.1,15.1,10.6,60.8,25.7
1994-10-01,3.4,35.6,34.8,15.3,10.9,61,26.2
1995-01-01,3.4,35.4,34.7,15.4,11.1,61.2,26.5
1995-04-01,3.6,35.4,34.3,15.6,11.2,61.1,26.8
1995-07-01,3.6,35,33.9,15.9,11.5,61.3,27.4
1995-10-01,3.5,34.9,34,15.9,11.6,61.5,27.5
1996-01-01,3.5,35,34.1,15.9,11.6,61.6,27.5
1996-04-01,3.4,35,34.2,15.9,11.5,61.6,27.4
1996-07-01,3.4,35.1,34.2,15.8,11.4,61.4,27.2
1996-10-01,3.3,34.9,34.4,15.8,11.5,61.7,27.3
1997-01-01,3.4,35,34.6,15.8,11.3,61.7,27.1
1997-04-01,3.4,34.6,34.7,15.9,11.5,62.1,27.4
1997-07-01,3.3,34.4,34.8,16,11.5,62.3,27.5
1997-10-01,3.3,34.2,34.9,16,11.6,62.5,27.6
1998-01-01,3.3,33.8,35,16.1,11.8,62.9,27.9
1998-04-01,3.2,33.7,35.1,16.2,11.7,63,27.9
1998-07-01,3.4,34.3,35.1,15.9,11.3,62.3,27.2
1998-10-01,3.2,33.6,35.4,16.3,11.5,63.2,27.8
1999-01-01,3.3,33.7,35.4,16.3,11.3,63,27.6
1999-04-01,3.2,33.5,35.6,16.5,11.3,63.4,27.8
1999-07-01,3.2,33.7,35.6,16.4,11,63,27.4
1999-10-01,3.2,32.9,35.8,16.7,11.4,63.9,28.1
2000-01-01,3.2,33,35.8,16.8,11.2,63.8,28
2000-04-01,3.2,33.4,35.8,16.7,10.9,63.4,27.6
2000-07-01,3.2,33.6,35.8,16.7,10.7,63.2,27.4
2000-10-01,3.2,34.2,35.8,16.5,10.4,62.7,26.9
2001-01-01,3.2,34.9,35.7,16.3,10,62,26.3
2001-04-01,3.1,34.8,35.8,16.3,10,62.1,26.3
2001-07-01,3.1,35.5,35.7,16,9.6,61.3,25.6
2001-10-01,3,35.2,35.9,16.2,9.7,61.8,25.9
2002-01-01,3,35.2,36,16.2,9.6,61.8,25.8
2002-04-01,2.9,35.4,36,16.2,9.5,61.7,25.7
2002-07-01,3,35.9,36,16,9.1,61.1,25.1
2002-10-01,2.9,35.9,36,16.1,9.1,61.2,25.2
2003-01-01,2.8,36,36.2,16,8.9,61.1,24.9
2003-04-01,2.6,35.4,36.5,16.2,9.3,62,25.5
2003-07-01,2.6,35.2,36.5,16.3,9.3,62.1,25.6
2003-10-01,2.6,34.7,36.6,16.5,9.6,62.7,26.1
2004-01-01,2.5,34.3,36.5,16.7,10,63.2,26.7
2004-04-01,2.5,34.3,36.5,16.7,10,63.2,26.7
2004-07-01,2.5,34.1,36.5,16.8,10.1,63.4,26.9
2004-10-01,2.4,33.8,36.6,16.8,10.3,63.7,27.1
2005-01-01,2.4,33.8,36.7,16.7,10.3,63.7,27
2005-04-01,2.4,33.5,36.8,16.8,10.5,64.1,27.3
2005-07-01,2.4,33.3,36.9,16.8,10.6,64.3,27.4
2005-10-01,2.5,33.2,36.9,16.7,10.7,64.3,27.4
2006-01-01,2.4,32.5,37.1,16.9,11.1,65.1,28
2006-04-01,2.4,32.5,37.2,16.8,11.1,65.1,27.9
2006-07-01,2.3,32.3,37.3,16.9,11.2,65.4,28.1
2006-10-01,2.2,32,37.4,17,11.4,65.8,28.4
2007-01-01,2.1,31.6,37.6,17.1,11.6,66.3,28.7
2007-04-01,2,31.3,37.8,17.1,11.8,66.7,28.9
2007-07-01,1.9,31,38,17.1,12,67.1,29.1
2007-10-01,1.7,31.2,38.3,17,11.9,67.2,28.9
2008-01-01,1.4,31.4,38.5,17,11.6,67.1,28.6
2008-04-01,1.5,31.4,38.6,17,11.5,67.1,28.5
2008-07-01,1.2,31.8,38.9,17,11.2,67.1,28.2
2008-10-01,1,32.5,38.9,17,10.7,66.6,27.7
2009-01-01,0.7,32.8,39,17.1,10.4,66.5,27.5
2009-04-01,0.7,32.4,39.2,17.3,10.3,66.8,27.6
2009-07-01,0.7,31.8,39.4,17.5,10.6,67.5,28.1
2009-10-01,0.6,31.7,39.6,17.6,10.5,67.7,28.1
2010-01-01,0.5,31.5,39.7,17.6,10.7,68,28.3
2010-04-01,0.5,31.5,39.9,17.6,10.6,68.1,28.2
