date,bls,cps
2008-06-01,19.6,34.054573
2008-07-01,20.6,35.591946
2008-08-01,20.6,36.073483
2008-09-01,21.0,36.63497
2008-10-01,20.6,36.241825
2008-11-01,20.5,35.74961
2008-12-01,20.2,33.5944
2009-01-01,20.0,34.626663
2009-02-01,19.8,33.85008
2009-03-01,19.8,33.827187
2009-04-01,19.9,33.782185
2009-05-01,19.7,33.246555
2009-06-01,19.4,32.635944
2009-07-01,19.5,32.949825
2009-08-01,18.4,31.77337
2009-09-01,18.4,31.669373
2009-10-01,18.1,33.02595
2009-11-01,18.4,33.086838
2009-12-01,18.6,32.47598
2010-01-01,18.5,32.728874
2010-02-01,18.9,31.57126
2010-03-01,19.4,32.91767
2010-04-01,18.8,31.98399
2010-05-01,19.1,30.871428
2010-06-01,18.6,31.19614
2010-07-01,18.0,30.235798
2010-08-01,18.6,31.836906
2010-09-01,18.4,32.026913
2010-10-01,18.2,31.561003
2010-11-01,18.4,32.01394
2010-12-01,18.0,31.153059
2011-01-01,17.4,30.477789
2011-02-01,17.4,28.507969
2011-03-01,17.7,29.070557
2011-04-01,17.7,29.36753
2011-05-01,17.8,29.142115
2011-06-01,17.7,29.42879
2011-07-01,17.6,29.294714
2011-08-01,17.7,29.196712
2011-09-01,17.7,29.963106
2011-10-01,18.5,31.699493
2011-11-01,18.1,30.742064
2011-12-01,17.9,30.65848
2012-01-01,17.4,29.6429
2012-02-01,16.8,27.597437
2012-03-01,17.1,28.99622
2012-04-01,17.8,29.281353
2012-05-01,18.1,29.846043
2012-06-01,17.7,30.149439
2012-07-01,17.9,29.493757
2012-08-01,18.0,29.546297
2012-09-01,18.2,30.376652
2012-10-01,18.7,31.27204
2012-11-01,18.1,31.055296
2012-12-01,18.1,31.642294
2013-01-01,18.0,30.768272
2013-02-01,18.1,31.061468
2013-03-01,18.0,30.694202
2013-04-01,18.0,30.446798
2013-05-01,17.9,30.209341
2013-06-01,17.4,28.944462
2013-07-01,17.3,29.019466
2013-08-01,17.6,29.146585
2013-09-01,18.2,31.06034
2013-10-01,17.5,30.325588
2013-11-01,17.1,29.920557
2013-12-01,16.5,28.419474
2014-01-01,15.8,27.433453
2014-02-01,16.4,27.314484
2014-03-01,16.7,28.221394
2014-04-01,16.7,28.372293
2014-05-01,17.0,28.52715
2014-06-01,16.8,28.398886
2014-07-01,17.0,29.171238
2014-08-01,17.2,30.579126
2014-09-01,17.6,31.001795
2014-10-01,17.7,30.606255
2014-11-01,17.6,30.113798
2014-12-01,18.0,29.562143
2015-01-01,17.3,28.880306
2015-02-01,17.6,30.338776
2015-03-01,17.5,30.532997
2015-04-01,17.3,30.814589
2015-05-01,17.8,31.274483
2015-06-01,18.1,31.494028
2015-07-01,17.7,30.269278
2015-08-01,17.5,30.89338
2015-09-01,17.2,30.611202
2015-10-01,17.3,30.151176
2015-11-01,16.8,30.258556
2015-12-01,17.2,30.477814
2016-01-01,17.4,30.207434
2016-02-01,17.1,29.633606
2016-03-01,17.8,30.853119
2016-04-01,18.2,31.246714
2016-05-01,18.5,32.48143
2016-06-01,18.1,31.766546
2016-07-01,18.1,31.720465
2016-08-01,17.6,31.336672
2016-09-01,18.1,31.7315
2016-10-01,18.0,32.063248
2016-11-01,18.0,31.983232
2016-12-01,18.3,32.805775
2017-01-01,17.4,30.52339
2017-02-01,18.3,31.604528
2017-03-01,18.3,32.570942
2017-04-01,18.0,31.876123
2017-05-01,18.6,34.436806
2017-06-01,18.9,34.4098
2017-07-01,18.8,34.32284
2017-08-01,18.8,33.750484
2017-09-01,19.6,35.116077
2017-10-01,19.4,34.97311
2017-11-01,19.0,34.503323
2017-12-01,19.1,35.655964
2018-01-01,18.6,34.194763
2018-02-01,18.9,36.284096
2018-03-01,19.7,37.138107
2018-04-01,19.2,36.892937
2018-05-01,18.7,36.289684
2018-06-01,18.6,35.196636
2018-07-01,18.5,34.588715
2018-08-01,19.2,35.537674
2018-09-01,19.9,36.59121
2018-10-01,19.9,37.485874
2018-11-01,19.4,37.109974
2018-12-01,19.0,36.652245
2019-01-01,18.7,35.57429
2019-02-01,19.0,35.761284
2019-03-01,19.8,37.54274
2019-04-01,19.4,36.64662
2019-05-01,19.3,36.910404
2019-06-01,19.2,36.05909
2019-07-01,19.2,36.047718
2019-08-01,19.8,38.286346
2019-09-01,19.3,37.48167
2019-10-01,19.1,36.30231
2019-11-01,19.3,37.701492
2019-12-01,19.0,36.603745
2020-01-01,18.8,37.970028
2020-02-01,19.1,37.35843
2020-03-01,19.3,37.680294
2020-04-01,16.1,31.747166
2020-05-01,16.7,32.608547
2020-06-01,17.5,33.581783
2020-07-01,17.3,32.355587
2020-08-01,17.9,33.412792
2020-09-01,17.8,33.52727
2020-10-01,18.3,34.7766
2020-11-01,17.9,34.461575
2020-12-01,17.8,34.592304
2021-01-01,17.2,33.83643
2021-02-01,17.4,34.031574
2021-03-01,18.1,34.83853
2021-04-01,18.4,35.88485
2021-05-01,18.5,36.124485
2021-06-01,19.0,36.823647
2021-07-01,18.7,35.533844
2021-08-01,19.2,36.363876
2021-09-01,20.3,38.88242
2021-10-01,20.4,38.891026
2021-11-01,21.5,41.41199
2021-12-01,20.6,39.371346
2022-01-01,20.7,39.818645
2022-02-01,20.7,39.25485
2022-03-01,21.1,40.299595
2022-04-01,21.2,40.58632
2022-05-01,21.3,41.215115
2022-06-01,21.2,41.250896
2022-07-01,20.8,40.111095
2022-08-01,20.8,41.88059
2022-09-01,21.5,41.195225
2022-10-01,22.0,41.884163
2022-11-01,22.3,41.671936
2022-12-01,22.4,43.0559
2023-01-01,22.4,42.718952
2023-02-01,22.1,44.171528
2023-03-01,21.9,43.61526
2023-04-01,21.6,42.089138
2023-05-01,22.4,44.129097
2023-06-01,22.4,44.130535
