date,DPIsh
1989-01-01,16.7391
1989-04-01,16.5601
1989-07-01,16.3506
1989-10-01,16.3005
1990-01-01,16.5601
1990-04-01,16.6041
1990-07-01,16.8728
1990-10-01,16.6089
1991-01-01,16.3758
1991-04-01,16.5125
1991-07-01,16.4811
1991-10-01,16.3417
1992-01-01,16.733
1992-04-01,16.9166
1992-07-01,16.8552
1992-10-01,16.6603
1993-01-01,16.6307
1993-04-01,16.6081
1993-07-01,16.4287
1993-10-01,16.3516
1994-01-01,16.4188
1994-04-01,16.5368
1994-07-01,16.5137
1994-10-01,16.6547
1995-01-01,16.5727
1995-04-01,16.389
1995-07-01,16.2426
1995-10-01,16.0254
1996-01-01,15.9647
1996-04-01,15.9845
1996-07-01,15.9986
1996-10-01,15.8407
1997-01-01,15.8861
1997-04-01,15.4817
1997-07-01,15.2602
1997-10-01,15.268
1998-01-01,14.9361
1998-04-01,14.9156
1998-07-01,15.2734
1998-10-01,14.6869
1999-01-01,14.7417
1999-04-01,14.4681
1999-07-01,14.6178
1999-10-01,14.0773
2000-01-01,14.0595
2000-04-01,14.3182
2000-07-01,14.3259
2000-10-01,14.5871
2001-01-01,14.8269
2001-04-01,14.4647
2001-07-01,15.0033
2001-10-01,14.3089
2002-01-01,14.4685
2002-04-01,14.8055
2002-07-01,15.1466
2002-10-01,14.9784
2003-01-01,14.9621
2003-04-01,14.5631
2003-07-01,14.6193
2003-10-01,14.2027
2004-01-01,13.7676
2004-04-01,13.7666
2004-07-01,13.598
2004-10-01,13.3472
2005-01-01,13.067
2005-04-01,12.9318
2005-07-01,12.7753
2005-10-01,12.6648
2006-01-01,12.622
2006-04-01,12.6996
2006-07-01,12.5673
2006-10-01,12.4348
2007-01-01,12.4501
2007-04-01,12.4836
2007-07-01,12.4177
2007-10-01,12.627
2008-01-01,13.0352
2008-04-01,13.6721
2008-07-01,13.8961
2008-10-01,14.4538
2009-01-01,14.685
2009-04-01,14.7354
2009-07-01,14.3745
2009-10-01,14.4597
2010-01-01,14.4304
2010-04-01,14.7927
2010-07-01,14.5438
2010-10-01,14.3946
2011-01-01,14.4623
2011-04-01,14.5067
2011-07-01,14.9793
2011-10-01,14.8341
2012-01-01,14.8447
2012-04-01,15.0236
2012-07-01,14.6241
2012-10-01,14.9369
2013-01-01,13.9413
2013-04-01,13.8606
2013-07-01,13.5783
2013-10-01,13.3489
2014-01-01,13.3461
2014-04-01,13.3171
2014-07-01,13.418
2014-10-01,13.337
2015-01-01,13.222
2015-04-01,13.2237
2015-07-01,13.4545
2015-10-01,13.3196
2016-01-01,13.2819
2016-04-01,13.1544
2016-07-01,13.0206
2016-10-01,13.0511
2017-01-01,12.9656
2017-04-01,12.9154
2017-07-01,12.8113
2017-10-01,12.6448
2018-01-01,12.7567
2018-04-01,12.7658
2018-07-01,12.6978
2018-10-01,13.2225
2019-01-01,12.7427
2019-04-01,12.534
2019-07-01,12.5547
2019-10-01,12.3203
2020-01-01,13.0553
2020-04-01,13.5021
2020-07-01,12.5907
2020-10-01,11.6741
2021-01-01,12.6721
2021-04-01,11.3351
2021-07-01,11.1718
