date,COLL/ADV,LTHS/HS,SC,Total
1989-03-01,1478,852.796,1087.16,1048.09
1989-04-01,1469.78,849.357,1099.89,1055.77
1989-05-01,1450.75,852.653,1087.42,1053.75
1989-06-01,1450.57,856.332,1078.84,1053.11
1989-07-01,1445.05,859.898,1070.09,1049.22
1989-08-01,1455.63,857.721,1071.5,1046.32
1989-09-01,1441.56,854.987,1071.56,1040.96
1989-10-01,1454.59,846.21,1078.27,1044.65
1989-11-01,1461.26,848.139,1075.97,1053.78
1989-12-01,1470.49,850.95,1081.45,1053.9
1990-01-01,1462.38,848.276,1075.34,1048.26
1990-02-01,1459.67,847.628,1086.44,1045.25
1990-03-01,1474.84,842.462,1095.22,1053.13
1990-04-01,1475.58,846.442,1087.61,1047.6
1990-05-01,1454.01,841.998,1087.76,1042.47
1990-06-01,1446.74,843.947,1072.61,1038.87
1990-07-01,1447.46,839.809,1077.79,1039.09
1990-08-01,1473.13,836.216,1066.24,1036.27
1990-09-01,1450.77,828.453,1070.07,1025.71
1990-10-01,1454.4,819.157,1069.4,1023.51
1990-11-01,1449.28,814.097,1076.15,1025.62
1990-12-01,1457.33,814.945,1070.38,1023.08
1991-01-01,1449.98,827.924,1078.48,1035.57
1991-02-01,1450.11,829.632,1086.94,1040.66
1991-03-01,1455.13,836.359,1091.59,1057.56
1991-04-01,1448.69,832.734,1087.26,1047.65
1991-05-01,1423.61,838.598,1080.03,1035.1
1991-06-01,1419.95,833.95,1065.44,1019.55
1991-07-01,1435.33,834.371,1063.82,1025.82
1991-08-01,1446.12,822.228,1049.1,1022.14
1991-09-01,1451.15,819.463,1062.35,1024.27
1991-10-01,1453.31,812.799,1067.84,1021.27
1991-11-01,1476.6,811.361,1078.47,1030.48
1991-12-01,1467.76,812.609,1065.52,1030.92
1992-01-01,1473.96,821.9,1049.85,1030.8
1992-02-01,1481.08,827.684,1041.33,1032.17
1992-03-01,1494.55,827.095,1048.84,1040.31
1992-04-01,1486.89,826.634,1052.6,1041.73
1992-05-01,1472.46,827.068,1051.34,1039.5
1992-06-01,1463.86,824.829,1042.11,1031.39
1992-07-01,1472.42,820.877,1034.84,1029.02
1992-08-01,1463.79,823.703,1029.81,1029.28
1992-09-01,1483.71,828.424,1027.24,1029.4
1992-10-01,1481.32,822.974,1030.82,1020.73
1992-11-01,1499.31,816.064,1031.19,1016.72
1992-12-01,1477.6,814.957,1031.89,1015.43
1993-01-01,1473.83,812.873,1032.51,1023.66
1993-02-01,1469.65,813.252,1032.8,1028.28
1993-03-01,1473.51,807.386,1033.26,1030.02
1993-04-01,1466.13,810.213,1029,1028.37
1993-05-01,1462,809.709,1027.56,1020.29
1993-06-01,1477.57,814.436,1025.74,1021.08
1993-07-01,1489.03,820.202,1027.23,1022.73
