date,COLL/ADV,LTHS/HS,SC,Total
1989-01-01,1584.81,910.06,1168.91,1130.03
1989-04-01,1563.88,910.21,1167.21,1124.45
1989-07-01,1567.09,912.82,1141.22,1108.92
1989-10-01,1567.28,906.23,1149.22,1117.71
1990-01-01,1575.17,902.08,1160.07,1126.1
1990-04-01,1570.73,899.91,1158.99,1115.27
1990-07-01,1567.96,890.78,1142.69,1104.46
1990-10-01,1561.97,872.29,1138.51,1100.38
1991-01-01,1557.09,886.55,1154.35,1118.47
1991-04-01,1538.0,888.06,1146.74,1106.02
1991-07-01,1553.67,878.78,1138.16,1098.19
1991-10-01,1576.47,866.23,1154.08,1104.41
1992-01-01,1592.61,881.39,1123.2,1110.95
1992-04-01,1573.89,884.19,1118.49,1105.98
1992-07-01,1573.41,879.48,1094.73,1093.56
1992-10-01,1590.51,870.09,1098.67,1087.11
1993-01-01,1583.24,870.63,1104.31,1099.78
1993-04-01,1572.62,865.66,1109.26,1105.21
1993-07-01,1591.05,883.39,1103.78,1101.75
1993-10-01,1582.15,881.47,1093.3,1091.38
1994-01-01,1591.97,876.29,1095.62,1100.85
1994-04-01,1578.41,857.13,1096.24,1093.96
1994-07-01,1578.68,865.81,1081.84,1084.2
1994-10-01,1580.07,859.02,1067.72,1080.84
1995-01-01,1599.31,861.84,1077.25,1094.25
1995-04-01,1598.11,847.84,1076.85,1084.58
1995-07-01,1609.43,853.39,1074.91,1077.41
1995-10-01,1571.48,853.1,1063.55,1083.67
1996-01-01,1574.48,856.64,1063.86,1090.71
1996-04-01,1581.33,848.79,1066.03,1076.27
1996-07-01,1556.83,850.59,1066.35,1062.02
1996-10-01,1553.86,847.32,1073.96,1089.29
1997-01-01,1568.82,845.54,1075.62,1093.61
1997-04-01,1572.09,849.11,1069.81,1085.31
1997-07-01,1570.48,850.73,1065.71,1081.63
1997-10-01,1576.81,841.76,1083.7,1097.45
1998-01-01,1584.84,865.86,1112.91,1121.15
1998-04-01,1603.7,870.02,1092.87,1112.95
1998-07-01,1623.77,887.18,1098.81,1122.14
1998-10-01,1683.04,872.93,1108.25,1143.39
1999-01-01,1649.54,881.17,1108.02,1141.89
1999-04-01,1643.92,878.14,1119.77,1145.7
1999-07-01,1664.41,887.75,1108.98,1138.12
1999-10-01,1691.92,878.79,1116.92,1147.12
2000-01-01,1690.37,889.46,1117.71,1153.15
2000-04-01,1679.15,882.43,1119.06,1147.37
2000-07-01,1717.23,883.98,1125.51,1146.97
2000-10-01,1674.06,876.09,1125.17,1146.22
2001-01-01,1676.55,895.22,1126.35,1161.2
2001-04-01,1674.95,888.34,1125.33,1146.43
2001-07-01,1713.17,888.32,1125.85,1151.73
2001-10-01,1686.24,893.48,1140.2,1167.63
2002-01-01,1718.63,915.19,1144.36,1193.91
2002-04-01,1710.51,892.37,1150.66,1172.93
2002-07-01,1722.6,882.26,1120.8,1159.16
2002-10-01,1686.87,892.56,1126.93,1167.79
2003-01-01,1697.37,903.85,1128.48,1179.01
2003-04-01,1708.78,890.71,1126.73,1178.81
2003-07-01,1703.98,898.85,1113.7,1161.78
2003-10-01,1697.1,898.21,1131.04,1172.66
2004-01-01,1710.94,896.75,1137.13,1175.74
2004-04-01,1688.82,898.47,1147.29,1177.36
2004-07-01,1684.67,895.0,1145.25,1164.92
2004-10-01,1683.37,892.38,1134.21,1173.19
2005-01-01,1691.89,904.24,1137.87,1185.56
2005-04-01,1682.33,896.7,1109.44,1158.76
2005-07-01,1681.99,880.67,1108.25,1145.55
2005-10-01,1667.49,865.42,1105.09,1145.93
2006-01-01,1659.21,881.23,1115.35,1160.49
2006-04-01,1653.06,876.76,1107.12,1139.67
2006-07-01,1680.77,872.59,1109.63,1149.43
2006-10-01,1653.72,873.12,1106.74,1159.86
2007-01-01,1635.12,885.75,1125.54,1172.25
2007-04-01,1655.76,889.64,1108.69,1163.38
2007-07-01,1723.14,884.58,1089.72,1152.15
2007-10-01,1651.56,872.39,1082.39,1152.25
2008-01-01,1650.55,886.62,1087.87,1158.63
2008-04-01,1661.93,869.12,1086.23,1152.63
2008-07-01,1669.52,863.79,1069.83,1124.71
2008-10-01,1668.68,876.87,1082.96,1157.29
2009-01-01,1711.91,889.32,1098.73,1187.43
2009-04-01,1716.71,888.11,1095.97,1187.89
2009-07-01,1717.98,883.15,1077.42,1161.37
2009-10-01,1683.22,883.95,1102.35,1174.55
2010-01-01,1690.65,887.22,1099.8,1181.0
2010-04-01,1676.64,874.6,1097.11,1166.71
2010-07-01,1710.4,852.56,1087.07,1144.11
2010-10-01,1679.26,860.76,1063.27,1157.03
2011-01-01,1661.06,862.93,1069.29,1158.66
2011-04-01,1627.48,853.53,1049.27,1136.24
2011-07-01,1631.68,845.14,1044.33,1128.68
2011-10-01,1636.63,844.19,1045.06,1141.2
2012-01-01,1639.64,855.9,1065.01,1148.51
2012-04-01,1614.73,855.09,1058.91,1146.71
2012-07-01,1641.24,845.38,1037.05,1127.72
2012-10-01,1612.25,842.52,1036.2,1132.82
2013-01-01,1648.01,840.27,1032.37,1148.82
2013-04-01,1622.7,833.08,1023.44,1139.35
2013-07-01,1611.5,837.34,1013.8,1119.28
2013-10-01,1606.79,831.63,1015.36,1130.72
2014-01-01,1648.08,833.72,1032.28,1156.68
2014-04-01,1600.69,830.99,1025.37,1133.93
2014-07-01,1566.2,835.47,1021.15,1111.37
2014-10-01,1590.76,838.03,1026.68,1130.34
2015-01-01,1665.48,854.88,1050.79,1181.01
2015-04-01,1627.49,834.59,1011.11,1149.5
2015-07-01,1622.77,828.01,1025.14,1135.5
2015-10-01,1650.38,844.07,1029.9,1158.09
2016-01-01,1659.9,851.87,1053.46,1186.79
2016-04-01,1674.61,839.3,1025.42,1176.4
