date,ELEC.SALES.US-RES.M,ELEC.SALES.US-COM.M,ELEC.SALES.US-IND.M
2001-01-01,127065.78354,90825.27235,83477.36044
2001-02-01,99877.67304,81466.85778,82248.23193
2001-03-01,92804.58576,84064.24963,83521.51752
2001-04-01,82453.7826,81060.53414,82253.07658
2001-05-01,81731.15295,87470.74429,86096.5808
2001-06-01,99407.29496,95658.29115,85268.86123
2001-07-01,120707.42753,102156.27207,83175.56383
2001-08-01,129205.36178,105621.93345,86797.43767
2001-09-01,105943.19324,96704.45191,82631.49485
2001-10-01,85419.58912,89377.68751,83144.74635
2001-11-01,80806.69409,83226.30009,79913.67998
2001-12-01,96184.05438,85435.92163,78080.75882
2002-01-01,116891.8012,87428.63989,78240.27931
2002-02-01,96592.93277,80951.19992,78059.42958
2002-03-01,95318.66735,83544.91242,80461.22004
2002-04-01,85407.60661,83619.00093,80750.45469
2002-05-01,87318.53904,88974.19272,84459.89797
2002-06-01,107169.9945,95903.30254,84386.74446
2002-07-01,133694.80084,105985.52252,88122.97085
2002-08-01,134332.46833,105819.30677,88264.59938
2002-09-01,115833.03265,100808.79734,84346.26466
2002-10-01,94531.34312,96312.65137,83984.28641
2002-11-01,88822.30318,86095.43524,79705.57975
2002-12-01,109266.37941,89053.64535,79455.90389
2003-01-01,124272.7877,98557.46847,80828.12943
2003-02-01,110937.36996,91238.91884,79516.56963
2003-03-01,99561.31168,92579.67309,81758.33458
2003-04-01,83448.24421,89684.69152,83057.62224
2003-05-01,87804.37208,95818.83157,84619.16494
2003-06-01,101285.79246,102407.24564,86209.83273
2003-07-01,130673.85672,115232.9169,87732.30375
2003-08-01,134467.79929,116224.46136,90536.24056
2003-09-01,113848.98343,106472.70316,85681.98834
2003-10-01,89780.85959,100036.26335,86981.71286
2003-11-01,86658.68148,92604.74302,83163.82929
2003-12-01,113083.8514,97869.68409,82287.51865
2004-01-01,127121.38323,99281.10271,80823.03868
2004-02-01,112464.05547,93677.46255,79667.52545
2004-03-01,98947.20745,95330.87993,83327.52686
2004-04-01,85376.86512,93531.82545,83369.26145
2004-05-01,90598.21162,100879.28578,86988.35388
2004-06-01,112335.13296,108122.25804,86732.2516
2004-07-01,129305.34718,115495.42265,88479.4439
2004-08-01,126423.33984,114452.49394,89440.28164
2004-09-01,112337.69377,109595.29408,86018.95583
2004-10-01,93466.16898,102325.83477,85345.79182
2004-11-01,89649.74085,95752.66477,84190.55194
2004-12-01,113956.43153,101980.20633,83466.54896
2005-01-01,125287.85857,100862.15018,82241.65015
