date,NFP,NFPsa,PNS,PNSsa,PNFP,PNFPsa,EMP,EMPsa
1989-01-01,105.743,107.161,71.036,72.39,88.003,89.387,114.786,116.708
1989-02-01,106.17,107.427,71.094,72.561,88.081,89.615,115.023,116.776
1989-03-01,106.813,107.621,71.595,72.698,88.631,89.799,115.844,117.022
1989-04-01,107.611,107.791,72.328,72.823,89.427,89.951,116.347,117.097
1989-05-01,108.294,107.913,72.908,72.892,90.054,90.037,117.039,117.099
1989-06-01,108.937,108.027,73.705,72.945,90.939,90.115,118.719,117.418
1989-07-01,107.848,108.069,73.606,72.976,90.843,90.164,119.502,117.472
1989-08-01,107.927,108.12,73.819,72.943,91.042,90.131,119.092,117.655
1989-09-01,108.724,108.369,73.714,73.118,90.963,90.342,117.498,117.354
1989-10-01,109.217,108.476,73.73,73.215,90.958,90.443,118.194,117.581
1989-11-01,109.657,108.752,73.978,73.432,91.24,90.695,118.168,117.912
1989-12-01,109.666,108.836,74.007,73.508,91.302,90.761,117.698,117.83
1990-01-01,107.573,109.199,72.236,73.75,89.455,91.048,116.944,119.081
1990-02-01,108.069,109.435,72.35,73.944,89.598,91.258,117.192,119.059
1990-03-01,108.724,109.644,72.762,73.997,90.053,91.35,117.986,119.203
1990-04-01,109.365,109.686,73.306,73.963,90.634,91.309,118.218,118.852
1990-05-01,110.27,109.839,73.918,73.863,91.308,91.24,119.148,119.151
1990-06-01,110.837,109.856,74.734,73.856,92.209,91.3,120.523,118.983
1990-07-01,109.567,109.824,74.529,73.814,92.007,91.264,120.882,118.81
1990-08-01,109.449,109.616,74.7,73.741,92.151,91.159,120.096,118.802
1990-09-01,110.044,109.518,74.383,73.633,91.852,91.081,118.782,118.524
1990-10-01,110.24,109.367,74.097,73.499,91.542,90.924,119.175,118.536
1990-11-01,110.203,109.214,73.902,73.345,91.344,90.764,118.463,118.306
1990-12-01,109.974,109.166,73.729,73.267,91.187,90.698,118.11,118.241
1991-01-01,107.425,109.055,71.636,73.153,88.986,90.581,115.837,117.94
1991-02-01,107.393,108.734,71.291,72.859,88.616,90.252,115.941,117.755
1991-03-01,107.682,108.574,71.489,72.705,88.818,90.086,116.44,117.652
1991-04-01,108.07,108.364,71.905,72.534,89.227,89.879,117.472,118.109
1991-05-01,108.752,108.249,72.543,72.457,89.864,89.751,117.428,117.44
1991-06-01,109.233,108.334,73.279,72.455,90.614,89.773,119.151,117.639
1991-07-01,108.031,108.292,73.133,72.43,90.436,89.694,119.666,117.568
1991-08-01,108.123,108.31,73.415,72.485,90.718,89.743,118.758,117.484
1991-09-01,108.84,108.336,73.221,72.497,90.541,89.793,118.156,117.928
1991-10-01,109.21,108.357,73.059,72.471,90.362,89.764,118.404,117.8
1991-11-01,109.226,108.296,72.939,72.397,90.219,89.669,117.972,117.77
1991-12-01,109.11,108.328,72.872,72.434,90.149,89.687,117.395,117.466
1992-01-01,106.723,108.369,70.97,72.474,88.082,89.681,115.928,117.978
1992-02-01,106.977,108.311,70.894,72.456,88.009,89.622,116.024,117.753
1992-03-01,107.495,108.365,71.288,72.482,88.404,89.65,116.929,118.144
1992-04-01,108.33,108.519,72.099,72.629,89.237,89.78,117.776,118.426
1992-05-01,109.137,108.649,72.848,72.741,90.017,89.896,118.388,118.375
1992-06-01,109.626,108.715,73.61,72.784,90.805,89.953,119.831,118.419
1992-07-01,108.608,108.793,73.584,72.809,90.775,89.976,120.744,118.713
1992-08-01,108.664,108.925,73.776,72.877,90.962,90.042,120.07,118.826
1992-09-01,109.449,108.959,73.675,72.978,90.861,90.13,118.88,118.72
1992-10-01,110.036,109.139,73.767,73.143,90.946,90.311,119.185,118.628
1992-11-01,110.276,109.272,73.806,73.297,90.983,90.431,119.159,118.876
1992-12-01,110.265,109.495,73.891,73.464,91.067,90.617,118.99,118.997
1993-01-01,108.099,109.794,72.204,73.741,89.26,90.893,117.027,119.075
1993-02-01,108.702,110.044,72.436,73.996,89.519,91.142,117.646,119.275
1993-03-01,109.136,109.994,72.746,73.922,89.851,91.087,118.35,119.542
1993-04-01,110.14,110.296,73.651,74.143,90.848,91.358,118.781,119.474
1993-05-01,111.103,110.568,74.528,74.398,91.771,91.617,120.142,120.115
1993-06-01,111.693,110.749,75.351,74.506,92.65,91.78,121.587,120.29
1993-07-01,110.825,111.055,75.492,74.701,92.815,91.995,122.352,120.467
1993-08-01,110.936,111.206,75.771,74.874,93.104,92.178,122.018,120.856
1993-09-01,111.925,111.448,75.73,75.071,93.106,92.407,120.673,120.554
1993-10-01,112.591,111.733,75.871,75.314,93.272,92.691,121.389,120.823
1993-11-01,112.934,111.984,76.047,75.537,93.462,92.916,121.568,121.169
1993-12-01,113.085,112.314,76.179,75.788,93.647,93.205,121.578,121.464
1994-01-01,110.833,112.595,74.373,75.987,91.746,93.448,119.901,121.966
1994-02-01,111.414,112.781,74.583,76.157,91.983,93.631,120.503,122.086
1994-03-01,112.389,113.242,75.363,76.531,92.818,94.052,120.844,121.93
