date,spx,ndq,dji
1989-01-03,275.31,378.6,2144.6
1989-01-04,279.43,382.8,2177.7
1989-01-05,280.01,383.8,2190.5
1989-01-06,280.67,384.7,2194.3
1989-01-09,280.98,385.3,2199.5
1989-01-10,280.38,384.6,2193.2
1989-01-11,282.01,385.3,2206.4
1989-01-12,283.17,387.0,2222.3
1989-01-13,283.87,387.1,2226.1
1989-01-16,284.14,387.4,2224.6
1989-01-17,283.55,386.1,2214.6
1989-01-18,286.53,388.9,2238.8
1989-01-19,286.91,391.1,2239.1
1989-01-20,286.63,391.7,2235.4
1989-01-23,284.5,390.0,2218.4
1989-01-24,288.49,392.0,2256.4
1989-01-25,289.14,394.0,2265.9
1989-01-26,291.69,397.1,2291.1
1989-01-27,293.82,398.0,2322.9
1989-01-30,294.99,399.2,2324.1
1989-01-31,297.47,401.3,2342.3
1989-02-01,297.09,403.2,2338.2
1989-02-02,296.84,405.2,2333.8
1989-02-03,296.97,406.4,2331.3
1989-02-06,296.04,406.0,2321.1
1989-02-07,299.63,409.2,2347.1
1989-02-08,298.65,408.0,2343.2
1989-02-09,296.06,406.4,2323.0
1989-02-10,292.02,402.4,2286.1
1989-02-13,292.54,401.3,2282.5
1989-02-14,291.81,402.0,2281.3
1989-02-15,294.24,404.2,2303.9
1989-02-16,294.81,405.7,2311.4
1989-02-17,296.76,407.2,2324.8
1989-02-21,295.98,406.4,2326.4
1989-02-22,290.91,402.5,2283.9
1989-02-23,292.05,403.1,2289.5
1989-02-24,287.13,400.0,2245.5
1989-02-27,287.82,398.9,2250.4
1989-02-28,288.86,399.7,2258.4
1989-03-01,287.11,399.8,2243.0
1989-03-02,289.95,402.5,2265.7
1989-03-03,291.18,404.0,2274.3
1989-03-06,294.81,406.3,2294.8
1989-03-07,293.87,406.2,2290.7
1989-03-08,294.08,406.4,2295.5
1989-03-09,293.93,405.7,2291.4
1989-03-10,292.88,405.9,2282.1
1989-03-13,295.32,406.6,2306.3
1989-03-14,295.14,406.0,2306.3
1989-03-15,296.67,407.0,2320.5
1989-03-16,299.44,409.5,2340.7
1989-03-17,292.69,402.2,2292.1
1989-03-20,289.92,398.5,2262.5
1989-03-21,291.33,401.8,2266.3
1989-03-22,290.49,400.6,2263.2
1989-03-23,288.98,400.9,2243.0
1989-03-27,290.57,400.6,2257.9
1989-03-28,291.59,402.6,2275.5
1989-03-29,292.35,403.7,2281.5
1989-03-30,292.52,404.6,2281.3
1989-03-31,294.87,406.7,2293.6
1989-04-03,296.39,407.7,2304.8
1989-04-04,295.31,407.2,2298.2
1989-04-05,296.24,408.3,2304.8
1989-04-06,295.29,408.2,2292.0
1989-04-07,297.16,410.7,2304.8
1989-04-10,297.11,411.1,2301.9
1989-04-11,298.49,413.5,2311.6
1989-04-12,298.99,415.7,2319.7
1989-04-13,296.4,413.9,2296.0
1989-04-14,301.36,417.7,2337.1
1989-04-17,301.72,417.8,2337.8
1989-04-18,306.02,420.7,2379.4
1989-04-19,307.15,421.9,2386.9
1989-04-20,306.19,421.5,2377.4
1989-04-21,309.61,423.8,2409.5
1989-04-24,308.69,423.2,2402.7
1989-04-25,306.75,422.7,2386.9
1989-04-26,306.93,423.4,2389.1
1989-04-27,309.58,426.2,2419.0
1989-04-28,309.64,427.6,2418.8
1989-05-01,309.12,427.5,2415.0
1989-05-02,308.12,428.0,2402.9
1989-05-03,308.16,428.8,2393.7
1989-05-04,307.77,429.2,2384.9
1989-05-05,307.61,430.7,2382.0
1989-05-08,306.0,429.3,2376.5
1989-05-09,305.19,429.0,2371.3
1989-05-10,305.8,429.6,2374.5
1989-05-11,306.95,430.6,2382.9
1989-05-12,313.84,434.8,2439.7
1989-05-15,316.16,436.2,2463.9
1989-05-16,315.28,435.7,2453.5
1989-05-17,317.48,438.5,2462.4
1989-05-18,317.97,439.8,2470.1
1989-05-19,321.24,442.1,2501.1
1989-05-22,321.98,441.8,2502.0
1989-05-23,318.32,440.2,2478.0
1989-05-24,319.14,441.5,2483.9
1989-05-25,319.17,442.9,2482.6
1989-05-26,321.59,445.2,2493.8
1989-05-30,319.05,444.2,2475.6
1989-05-31,320.52,446.2,2480.2
1989-06-01,321.97,448.3,2490.6
1989-06-02,325.52,451.6,2517.8
1989-06-05,322.03,447.8,2480.7
1989-06-06,324.24,448.0,2496.3
1989-06-07,326.95,453.2,2512.3
1989-06-08,326.75,454.0,2516.9
1989-06-09,326.69,453.7,2513.4
