date,spx,ndq,dji,spx_MA,ndq_MA,dji_MA
2019-01-06,2.49662,6.62277,23.1552,2.74438,7.42107,25.0395
2019-01-13,2.58039,6.92702,23.8392,2.74159,7.41682,25.0152
2019-01-20,2.62314,7.04123,24.2518,2.73831,7.41244,24.9844
2019-01-27,2.64467,7.07111,24.5676,2.73527,7.4076,24.9559
2019-02-03,2.67511,7.16853,24.8373,2.73197,7.40191,24.9267
2019-02-10,2.72162,7.34229,25.2634,2.73063,7.40213,24.9158
2019-02-17,2.74578,7.40846,25.469,2.73218,7.40988,24.9316
2019-02-24,2.783,7.49078,25.9321,2.73343,7.41544,24.947
2019-03-03,2.79411,7.55723,26.0155,2.73455,7.41999,24.9623
2019-03-10,2.76918,7.49789,25.6446,2.73592,7.42496,24.9799
2019-03-17,2.80334,7.62239,25.6934,2.73657,7.42674,24.9925
2019-03-24,2.82907,7.72981,25.8024,2.7381,7.43134,25.0111
2019-03-31,2.81441,7.67419,25.6893,2.74115,7.44098,25.0401
2019-04-07,2.87599,7.88072,26.2931,2.74575,7.4567,25.0818
2019-04-14,2.89158,7.95178,26.2408,2.75081,7.47505,25.1236
2019-04-21,2.90453,7.9926,26.4616,2.755,7.49004,25.1576
2019-04-28,2.92699,8.10064,26.554,2.7592,7.50556,25.1934
2019-05-05,2.93515,8.10153,26.478,2.76475,7.52601,25.2392
2019-05-12,2.88961,7.97158,26.0283,2.76988,7.54347,25.2807
2019-05-19,2.84662,7.7836,25.6263,2.77278,7.5527,25.3015
2019-05-26,2.84183,7.70084,25.682,2.77537,7.5603,25.3201
2019-06-02,2.78158,7.54388,25.1148,2.77692,7.56387,25.331
2019-06-09,2.81814,7.55865,25.4792,2.77805,7.5637,25.3411
2019-06-16,2.88618,7.81445,26.0625,2.78006,7.56566,25.3568
2019-06-23,2.9277,7.97385,26.5109,2.78258,7.56893,25.3798
2019-06-30,2.92864,7.95488,26.5878,2.78625,7.57481,25.4209
2019-07-07,2.98089,8.13307,26.8481,2.79049,7.58427,25.4647
2019-07-14,2.99247,8.17657,26.974,2.79476,7.59367,25.5083
2019-07-21,2.9949,8.20399,27.2584,2.79888,7.60213,25.554
