date,INCOME,SPENDING,OTHER,SAVING,label
2024-06-01,1.61,2.92,-0.34,1.64,
2024-07-01,1.95,3.13,-0.35,1.53,Jul\\2024
2024-08-01,1.34,2.91,-0.32,1.88,
2024-09-01,0.47,3.13,-0.26,2.91,
2024-10-01,0.27,2.76,-0.16,2.65,Oct
2024-11-01,0.84,3.05,-0.05,2.26,
2024-12-01,1.54,3.29,0.06,1.66,
2025-01-01,1.69,2.86,0.28,0.88,Jan\\2025
2025-02-01,1.41,1.6,0.26,-0.07,
2025-03-01,1.98,0.17,0.17,-1.94,
2025-04-01,3.36,0.69,-0.21,-2.39,Apr
2025-05-01,3.44,1.74,-0.21,-1.44,
2025-06-01,1.5,1.98,-0.11,0.59,
2025-07-01,-1.52,1.7,0.07,3.19,Jul
2025-08-01,-1.7,2.07,-0.04,3.86,
2025-09-01,-0.51,2.98,-0.26,3.77,
2025-10-01,0.6,3.14,-0.33,2.86,Oct
2025-11-01,0.36,2.52,-0.23,2.39,
2025-12-01,-0.25,2.04,0.0,2.29,
