index,code,Latest,Previous,Label,Asset_Latest,Liab_Latest,NetPos_Latest
0.5,HH_Asset,653.9,504.9,,653.9,0.0,0.0
1.5,HH_Liab,68.4,70.1,Households,0.0,68.4,0.0
2.5,HH_NetPos,585.5,434.8,,0.0,0.0,585.5
4.5,Bus_Asset,307.4,277.4,,307.4,0.0,0.0
5.5,Bus_Liab,139.2,116.9,Businesses,0.0,139.2,0.0
6.5,Bus_NetPos,168.2,160.5,,0.0,0.0,168.2
8.5,Gov_Asset,105.8,82.5,,105.8,0.0,0.0
9.5,Gov_Liab,139.3,74.7,Government,0.0,139.3,0.0
10.5,Gov_NetPos,-33.6,7.9,,-0.0,-0.0,-33.6
12.5,ROW_Asset,125.1,70.9,,125.1,0.0,0.0
13.5,ROW_Liab,208.2,80.6,External,0.0,208.2,0.0
14.5,ROW_NetPos,-83.1,-9.7,,-0.0,-0.0,-83.1
