date,W006RC,A074RC,B075RC,W780RC,Other
1989-01-01,10.8543,7.97472,1.90312,6.73054,0.976475
1989-04-01,10.5937,7.98984,1.68265,6.6892,0.921164
1989-07-01,10.5598,8.02525,1.60792,6.66944,0.926648
1989-10-01,10.6204,8.13224,1.58982,6.70997,0.89838
1990-01-01,10.3391,7.88687,1.55039,6.70867,0.901868
1990-04-01,10.4083,7.9199,1.58825,6.69391,0.900197
1990-07-01,10.4426,7.93009,1.61189,6.75578,0.900598
1990-10-01,10.435,7.93094,1.58843,6.80883,0.915611
1991-01-01,10.1643,7.61482,1.51606,6.82716,1.03341
1991-04-01,10.0039,7.53156,1.4276,6.82703,1.04478
1991-07-01,9.93715,7.47884,1.42072,6.82775,1.03759
1991-10-01,9.98333,7.48997,1.42871,6.83868,1.06466
1992-01-01,9.86077,7.25028,1.56867,6.91306,1.04182
1992-04-01,9.85868,7.26713,1.57671,6.87914,1.01484
1992-07-01,9.78893,7.30101,1.50642,6.82095,0.981506
1992-10-01,10.0813,7.46879,1.60482,6.62997,1.00766
1993-01-01,9.76212,7.13785,1.65741,6.86702,0.966853
1993-04-01,10.2008,7.42045,1.79051,6.79054,0.989816
1993-07-01,10.159,7.49226,1.67766,6.78271,0.989059
1993-10-01,10.6422,7.54995,2.01061,6.7125,1.08165
1994-01-01,10.2242,7.40257,1.7196,6.82775,1.10206
1994-04-01,10.5843,7.67112,1.78402,6.80256,1.12918
1994-07-01,10.5074,7.42348,1.94265,6.80721,1.14122
1994-10-01,10.583,7.42352,2.0247,6.7972,1.13475
1995-01-01,10.6763,7.54664,2.06391,6.83563,1.06577
1995-04-01,10.9082,7.84035,2.02,6.84547,1.0478
1995-07-01,10.8064,7.69933,2.07103,6.82795,1.03606
1995-10-01,10.839,7.817,2.00982,6.81704,1.01215
1996-01-01,11.133,8.08785,2.06343,6.77301,0.981754
1996-04-01,11.4727,8.38606,2.14028,6.74383,0.946315
1996-07-01,11.3619,8.29154,2.12234,6.7576,0.947991
1996-10-01,11.4576,8.34638,2.12227,6.74971,0.98895
1997-01-01,11.6952,8.66145,2.11542,6.76833,0.918381
1997-04-01,11.7903,8.67839,2.11851,6.73765,0.993388
1997-07-01,11.9187,8.73888,2.19856,6.72912,0.981251
1997-10-01,11.9262,8.88248,2.07064,6.78554,0.9731
1998-01-01,11.9956,9.02921,2.01623,6.79911,0.950163
1998-04-01,12.0574,9.15202,1.95544,6.82635,0.949932
1998-07-01,12.1561,9.2271,1.97474,6.82191,0.954293
1998-10-01,12.1278,9.27159,1.89843,6.80258,0.957802
1999-01-01,12.1409,9.24149,1.97654,6.83684,0.922821
1999-04-01,12.156,9.29813,1.93592,6.81559,0.921941
1999-07-01,12.2039,9.33425,1.93755,6.77975,0.93212
1999-10-01,12.2759,9.39375,1.94037,6.76601,0.941802
2000-01-01,12.718,9.76387,2.02161,6.89282,0.932477
2000-04-01,12.5314,9.62995,1.96191,6.74791,0.939585
2000-07-01,12.5182,9.79938,1.79848,6.82446,0.920357
2000-10-01,12.5167,9.81162,1.79727,6.79574,0.907841
2001-01-01,12.4257,10.0379,1.47981,6.90925,0.908032
2001-04-01,12.1823,9.8969,1.40254,6.82545,0.882866
2001-07-01,10.4197,8.31956,1.23556,6.81298,0.864586
2001-10-01,11.3579,9.40341,1.08612,6.793,0.868386
2002-01-01,9.78872,7.86199,1.07129,6.78775,0.855437
2002-04-01,9.66073,7.68456,1.10102,6.79578,0.875154
2002-07-01,9.54007,7.51361,1.15161,6.75547,0.874851
2002-10-01,9.56004,7.40937,1.28341,6.72454,0.867257
2003-01-01,9.51237,7.19065,1.44561,6.70393,0.876113
2003-04-01,9.49909,7.18573,1.42229,6.70571,0.891073
2003-07-01,8.59978,6.19452,1.55886,6.63294,0.846398
2003-10-01,9.20143,6.63958,1.70223,6.61036,0.859624
2004-01-01,9.10941,6.48498,1.7542,6.62568,0.870235
2004-04-01,9.26457,6.54191,1.8655,6.63325,0.85715
2004-07-01,9.47189,6.6368,1.98659,6.65112,0.848504
2004-10-01,9.48723,6.62362,1.98955,6.57762,0.874057
2005-01-01,10.388,7.07199,2.46953,6.55893,0.846468
2005-04-01,10.3949,7.16454,2.3684,6.54644,0.861975
2005-07-01,10.4615,7.22478,2.37332,6.54196,0.86335
2005-10-01,10.7085,7.28441,2.58697,6.53271,0.837101
2006-01-01,10.9751,7.54125,2.62668,6.58194,0.807153
2006-04-01,11.044,7.5703,2.67035,6.5497,0.803371
2006-07-01,11.2307,7.64862,2.77435,6.53334,0.807768
2006-10-01,11.1822,7.80499,2.52539,6.55751,0.851786
2007-01-01,11.301,8.06154,2.49338,6.61911,0.746093
2007-04-01,11.2421,8.08169,2.41449,6.54825,0.745878
2007-07-01,11.0013,8.09702,2.16022,6.50051,0.744103
2007-10-01,10.8921,8.11693,2.01261,6.51313,0.762532
2008-01-01,10.5489,8.17146,1.64363,6.59697,0.733844
2008-04-01,10.2803,8.01403,1.52777,6.54069,0.738505
2008-07-01,10.0293,7.87751,1.41975,6.5618,0.732083
2008-10-01,9.4753,7.80228,0.87266,6.69377,0.800351
2009-01-01,7.92878,6.38375,0.850494,6.55512,0.694537
2009-04-01,7.66599,5.94879,0.966148,6.6236,0.751055
2009-07-01,7.64151,5.82743,1.10321,6.57679,0.710872
2009-10-01,7.80745,5.78426,1.30207,6.51045,0.721113
