date,pua_ic,fed_cc
2020-04-04,0.032078,0.068837
2020-04-11,0.078893,0.09383
2020-04-18,0.2185,0.270603
2020-04-25,0.68158,1.26002
2020-05-02,1.04885,3.74581
2020-05-09,0.889228,6.55833
2020-05-16,1.27297,8.3928
2020-05-23,1.35329,11.5755
2020-05-30,0.793787,10.7294
2020-06-06,0.70158,10.8697
2020-06-13,0.765447,12.4169
2020-06-20,0.874855,14.0595
2020-06-27,0.989622,15.4221
2020-07-04,0.861804,13.7136
2020-07-11,0.950668,15.1666
2020-07-18,0.944685,15.0875
2020-07-25,0.899921,14.6734
2020-08-01,0.649092,12.5257
2020-08-08,0.481731,13.0291
2020-08-15,0.514747,12.8459
2020-08-22,0.592618,15.503
2020-08-29,0.753524,16.8543
2020-09-05,0.867631,16.6234
2020-09-12,0.675632,13.7584
2020-09-19,0.63008,14.3517
2020-09-26,0.450768,13.0213
2020-10-03,0.377722,14.2
2020-10-10,0.33595,14.1973
2020-10-17,0.34544,14.8338
2020-10-24,0.357564,13.8234
2020-10-31,0.359496,14.1587
2020-11-07,0.292037,13.5906
2020-11-14,0.292438,14.3337
2020-11-21,0.315423,14.0446
2020-11-28,0.280997,13.6342
2020-12-05,0.408197,14.7305
2020-12-12,0.455037,14.7466
2020-12-19,0.393263,14.1738
2020-12-26,0.31046,13.8906
2021-01-02,0.141741,12.5974
2021-01-09,0.257518,9.69654
2021-01-16,0.409142,11.9674
2021-01-23,0.394386,11.5102
2021-01-30,0.344057,13.2999
2021-02-06,0.252918,12.3128
2021-02-13,0.439031,13.4255
2021-02-20,0.390044,12.3618
2021-02-27,0.428304,14.5626
2021-03-06,0.478901,13.1607
2021-03-13,0.284056,14.2276
2021-03-20,0.243288,13.1152
2021-03-27,0.240401,13.4411
2021-04-03,0.152328,12.3081
2021-04-10,0.129697,12.9155
2021-04-17,0.133342,12.169
2021-04-24,0.121414,11.8352
2021-05-01,0.101214,
