date,Tot,Adj
1989-10-01,3.04216,3.04216
1990-10-01,3.12518,3.12518
1991-10-01,3.19124,3.19124
1992-10-01,3.10686,3.10686
1993-10-01,2.93289,2.93289
1994-10-01,2.82759,2.82759
1995-10-01,3.07038,3.07038
1996-10-01,3.03161,3.03161
1997-10-01,2.88704,2.88704
1998-10-01,2.69985,2.69985
1999-10-01,2.42367,2.42367
2000-10-01,2.20369,2.20369
2001-10-01,1.95869,1.95869
2002-10-01,1.57864,1.57864
2003-10-01,1.35718,1.35718
2004-10-01,1.33222,1.33222
2005-10-01,1.43292,1.43292
2006-10-01,1.66171,1.66171
2007-10-01,1.65748,1.65748
2008-10-01,1.70821,1.70821
2009-10-01,1.29189,1.29189
2010-10-01,1.31812,1.31812
2011-10-01,1.48684,1.48036
2012-10-01,1.36819,1.35787
2013-10-01,1.32363,1.31313
2014-10-01,1.31372,1.30455
2015-10-01,1.22868,1.21892
2016-10-01,1.28764,1.27998
2017-10-01,1.35509,1.34797
2018-10-01,1.59018,1.58578
2019-10-01,1.76245,1.75732
2020-10-01,1.62039,1.61219
2021-10-01,1.53163,1.52423
2022-10-01,1.86494,1.88308
2023-10-01,2.41193,2.81494
2024-10-01,3.0583,3.76683
