date,Fed Funds
1989-01-01,9.151
1989-02-01,9.37158
1989-03-01,9.86478
1989-04-01,9.839
1989-05-01,9.83409
1989-06-01,9.52636
1989-07-01,9.2185
1989-08-01,9.00348
1989-09-01,9.031
1989-10-01,8.83524
1989-11-01,8.58476
1989-12-01,8.523
1990-01-01,8.25667
1990-02-01,8.24684
1990-03-01,8.28273
1990-04-01,8.2681
1990-05-01,8.15091
1990-06-01,8.29524
1990-07-01,8.14714
1990-08-01,8.15043
1990-09-01,8.26579
1990-10-01,8.13636
1990-11-01,7.828
1990-12-01,7.3375
1991-01-01,7.10905
1991-02-01,6.28053
1991-03-01,6.16143
1991-04-01,5.96591
1991-05-01,5.81091
1991-06-01,5.8665
1991-07-01,5.84273
1991-08-01,5.69
1991-09-01,5.4885
1991-10-01,5.23955
1991-11-01,4.81316
1991-12-01,4.47762
1992-01-01,4.11095
1992-02-01,4.06105
1992-03-01,4.01136
1992-04-01,3.80909
1992-05-01,3.843
1992-06-01,3.80455
1992-07-01,3.32087
1992-08-01,3.32667
1992-09-01,3.29
1992-10-01,3.14476
1992-11-01,3.08316
1992-12-01,2.96636
1993-01-01,3.11947
1993-02-01,3.05737
1993-03-01,3.1113
1993-04-01,2.975
1993-05-01,3.017
1993-06-01,3.07182
1993-07-01,3.0919
1993-08-01,3.05136
1993-09-01,3.13952
1993-10-01,2.994
1993-11-01,3.02333
1993-12-01,2.95957
1994-01-01,3.116
1994-02-01,3.26895
1994-03-01,3.35087
1994-04-01,3.54762
1994-05-01,4.0181
1994-06-01,4.27318
1994-07-01,4.315
1994-08-01,4.4787
1994-09-01,4.7481
1994-10-01,4.7335
1994-11-01,5.2815
1994-12-01,5.50952
1995-01-01,5.597
1995-02-01,5.91263
1995-03-01,5.98478
1995-04-01,6.039
1995-05-01,6.025
1995-06-01,6.00182
1995-07-01,5.869
1995-08-01,5.74913
1995-09-01,5.826
1995-10-01,5.7681
1995-11-01,5.7981
1995-12-01,5.687
1996-01-01,5.64476
1996-02-01,5.252
1996-03-01,5.29143
1996-04-01,5.26682
1996-05-01,5.26773
1996-06-01,5.309
1996-07-01,5.45591
1996-08-01,5.22773
1996-09-01,5.3275
1996-10-01,5.27455
1996-11-01,5.31789
1996-12-01,5.3681
1997-01-01,5.25095
1997-02-01,5.19421
1997-03-01,5.4119
1997-04-01,5.54636
1997-05-01,5.53476
1997-06-01,5.58619
1997-07-01,5.56182
1997-08-01,5.55381
1997-09-01,5.58762
1997-10-01,5.525
1997-11-01,5.54778
1997-12-01,5.56318
1998-01-01,5.512
1998-02-01,5.52842
1998-03-01,5.51955
1998-04-01,5.45545
1998-05-01,5.4725
1998-06-01,5.60364
1998-07-01,5.56652
1998-08-01,5.55952
1998-09-01,5.54381
1998-10-01,5.08714
1998-11-01,4.83632
1998-12-01,4.72182
1999-01-01,4.68737
1999-02-01,4.77526
1999-03-01,4.82391
1999-04-01,4.76136
1999-05-01,4.741
1999-06-01,4.76727
1999-07-01,5.02333
1999-08-01,5.08682
1999-09-01,5.25905
1999-10-01,5.203
1999-11-01,5.4195
1999-12-01,5.29435
2000-01-01,5.557
2000-02-01,5.7465
2000-03-01,5.8713
2000-04-01,6.0095
2000-05-01,6.27227
2000-06-01,6.54955
2000-07-01,6.5185
2000-08-01,6.50261
2000-09-01,6.5145
2000-10-01,6.5219
2000-11-01,6.52333
2000-12-01,6.4515
2001-01-01,6.02286
2001-02-01,5.50842
2001-03-01,5.30864
2001-04-01,4.81381
2001-05-01,4.23182
2001-06-01,3.95143
2001-07-01,3.78095
2001-08-01,3.65696
2001-09-01,2.95947
2001-10-01,2.50182
2001-11-01,2.108
2001-12-01,1.8155
2002-01-01,1.75095
2002-02-01,1.7455
2002-03-01,1.72619
2002-04-01,1.75864
2002-05-01,1.75909
2002-06-01,1.7515
2002-07-01,1.73682
2002-08-01,1.75409
2002-09-01,1.754
2002-10-01,1.75955
2002-11-01,1.33474
2002-12-01,1.24619
2003-01-01,1.25571
2003-02-01,1.26
2003-03-01,1.25048
2003-04-01,1.26273
2003-05-01,1.26857
2003-06-01,1.22952
2003-07-01,1.02136
2003-08-01,1.00952
2003-09-01,1.01381
2003-10-01,1.01591
2003-11-01,0.995556
2003-12-01,0.986364
2004-01-01,1
2004-02-01,1.00579
2004-03-01,1.00391
2004-04-01,1.00636
2004-05-01,1.001
2004-06-01,1.03136
2004-07-01,1.27
2004-08-01,1.42636
2004-09-01,1.62238
2004-10-01,1.757
2004-11-01,1.923
2004-12-01,2.16087
2005-01-01,2.2945
2005-02-01,2.49579
2005-03-01,2.62957
2005-04-01,2.77619
2005-05-01,3.00381
2005-06-01,3.04318
2005-07-01,3.243
2005-08-01,3.48913
2005-09-01,3.6419
2005-10-01,3.7625
2005-11-01,3.99773
2005-12-01,4.15857
2006-01-01,4.3
2006-02-01,4.49053
2006-03-01,4.59348
2006-04-01,4.7695
2006-05-01,4.93182
2006-06-01,4.99773
2006-07-01,5.25
2006-08-01,5.24609
2006-09-01,5.2525
2006-10-01,5.24857
2006-11-01,5.25095
2006-12-01,5.237
2007-01-01,5.25857
2007-02-01,5.26684
2007-03-01,5.26091
2007-04-01,5.24333
2007-05-01,5.24955
2007-06-01,5.25381
2007-07-01,5.26286
2007-08-01,5.03522
2007-09-01,4.96632
2007-10-01,4.74864
2007-11-01,4.4965
2007-12-01,4.219
2008-01-01,3.93143
2008-02-01,2.9625
2008-03-01,2.60286
2008-04-01,2.26773
2008-05-01,1.99333
2008-06-01,2.00143
2008-07-01,2.01909
2008-08-01,1.98619
2008-09-01,1.86429
2008-10-01,1.01727
2008-11-01,0.387222
2008-12-01,0.170909
2009-01-01,0.157
2009-02-01,0.223684
2009-03-01,0.182727
2009-04-01,0.153182
2009-05-01,0.1745
2009-06-01,0.207727
2009-07-01,0.156957
2009-08-01,0.160476
2009-09-01,0.14619
2009-10-01,0.117619
2009-11-01,0.12
2009-12-01,0.118636
2010-01-01,0.116842
2010-02-01,0.126316
2010-03-01,0.161739
2010-04-01,0.197727
2010-05-01,0.2025
2010-06-01,0.176364
2010-07-01,0.181905
2010-08-01,0.189545
2010-09-01,0.19381
2010-10-01,0.1905
2010-11-01,0.195
2010-12-01,0.183478
2011-01-01,0.173
2011-02-01,0.157895
2011-03-01,0.138261
2011-04-01,0.0957143
2011-05-01,0.0933333
2011-06-01,0.0909091
2011-07-01,0.068
2011-08-01,0.0978261
2011-09-01,0.0838095
2011-10-01,0.072
2011-11-01,0.082
2011-12-01,0.0714286
2012-01-01,0.0845
2012-02-01,0.105
2012-03-01,0.127273
2012-04-01,0.145238
2012-05-01,0.156364
2012-06-01,0.161905
2012-07-01,0.158571
2012-08-01,0.132174
2012-09-01,0.149474
2012-10-01,0.159091
2012-11-01,0.161
2012-12-01,0.163
2013-01-01,0.144286
2013-02-01,0.142105
2013-03-01,0.14619
2013-04-01,0.145
