date,Consumer debt service ratio,Debt service ratio,Mortgage debt service ratio,Financial obligations ratio
1989-01-01,5.811998,11.565868,5.75387,16.792459
1989-04-01,5.872069,11.731492,5.859422,16.976871
1989-07-01,5.84512,11.793877,5.948757,17.053178
1989-10-01,5.763882,11.745679,5.981797,17.007589
1990-01-01,5.635607,11.64915,6.013543,16.900919
1990-04-01,5.54066,11.60066,6.06,16.875752
1990-07-01,5.481259,11.583131,6.101873,16.888249
1990-10-01,5.419602,11.604449,6.184847,16.960268
1991-01-01,5.355239,11.578032,6.222793,16.960137
1991-04-01,5.238545,11.434237,6.195692,16.818953
1991-07-01,5.137354,11.318681,6.181328,16.703078
1991-10-01,5.017251,11.117333,6.100082,16.479746
1992-01-01,4.867179,10.855581,5.988402,16.160733
1992-04-01,4.774439,10.680886,5.906447,15.971127
1992-07-01,4.702399,10.54005,5.837651,15.826784
1992-10-01,4.660212,10.455215,5.795003,15.752581
1993-01-01,4.652557,10.419139,5.766582,15.673178
1993-04-01,4.648903,10.35443,5.705527,15.593555
1993-07-01,4.705303,10.405427,5.700123,15.669738
1993-10-01,4.755414,10.368518,5.613104,15.641764
1994-01-01,4.831917,10.388445,5.556527,15.690103
1994-04-01,4.924236,10.452491,5.528256,15.761009
1994-07-01,5.035871,10.586958,5.551088,15.914829
1994-10-01,5.120072,10.69963,5.579557,15.99562
1995-01-01,5.248012,10.888513,5.640501,16.198637
1995-04-01,5.394652,11.080721,5.686069,16.411955
1995-07-01,5.523088,11.185719,5.662631,16.52922
1995-10-01,5.594352,11.223493,5.629141,16.572483
1996-01-01,5.653204,11.242343,5.589139,16.558361
1996-04-01,5.675422,11.269972,5.59455,16.557834
1996-07-01,5.712678,11.315366,5.602688,16.606741
1996-10-01,5.777011,11.371211,5.5942,16.664822
1997-01-01,5.725713,11.328849,5.603136,16.631998
1997-04-01,5.703414,11.328918,5.625504,16.653272
1997-07-01,5.718448,11.33802,5.619572,16.64924
1997-10-01,5.705666,11.288261,5.582594,16.548342
1998-01-01,5.62861,11.144147,5.515538,16.32527
1998-04-01,5.672466,11.166536,5.49407,16.305444
1998-07-01,5.687028,11.152642,5.465615,16.275289
1998-10-01,5.761093,11.216343,5.45525,16.349509
1999-01-01,5.799946,11.267941,5.467995,16.402076
1999-04-01,5.906532,11.429754,5.523223,16.596273
1999-07-01,5.975979,11.542359,5.56638,16.704224
1999-10-01,5.960233,11.54613,5.585897,16.660038
2000-01-01,5.949308,11.525337,5.576028,16.564586
