date,Value
2000-01-01,1.33
2000-02-01,1.41
2000-03-01,1.56
2000-04-01,1.51
2000-05-01,1.53
2000-06-01,1.67
2000-07-01,1.59
2000-08-01,1.51
2000-09-01,1.59
2000-10-01,1.57
2000-11-01,1.56
2000-12-01,1.48
2001-01-01,1.49
2001-02-01,1.49
2001-03-01,1.45
2001-04-01,1.59
2001-05-01,1.74
2001-06-01,1.66
2001-07-01,1.47
2001-08-01,1.46
2001-09-01,1.56
2001-10-01,1.36
2001-11-01,1.21
2001-12-01,1.13
2002-01-01,1.15
2002-02-01,1.15
2002-03-01,1.29
2002-04-01,1.44
2002-05-01,1.43
2002-06-01,1.42
2002-07-01,1.44
2002-08-01,1.44
2002-09-01,1.44
2002-10-01,1.49
2002-11-01,1.46
2002-12-01,1.43
2003-01-01,1.5
2003-02-01,1.65
2003-03-01,1.73
2003-04-01,1.63
2003-05-01,1.54
2003-06-01,1.53
2003-07-01,1.55
2003-08-01,1.66
2003-09-01,1.72
2003-10-01,1.61
2003-11-01,1.55
2003-12-01,1.52
2004-01-01,1.61
2004-02-01,1.69
2004-03-01,1.78
2004-04-01,1.84
2004-05-01,2.02
2004-06-01,2.01
2004-07-01,1.95
2004-08-01,1.92
2004-09-01,1.91
2004-10-01,2.04
2004-11-01,2.02
2004-12-01,1.89
2005-01-01,1.87
2005-02-01,1.95
2005-03-01,2.12
2005-04-01,2.28
2005-05-01,2.2
2005-06-01,2.2
2005-07-01,2.33
2005-08-01,2.53
2005-09-01,2.95
2005-10-01,2.77
2005-11-01,2.3
2005-12-01,2.23
2006-01-01,2.36
2006-02-01,2.33
2006-03-01,2.47
2006-04-01,2.79
2006-05-01,2.95
2006-06-01,2.93
2006-07-01,3.03
2006-08-01,3.0
2006-09-01,2.61
2006-10-01,2.29
2006-11-01,2.28
2006-12-01,2.36
2007-01-01,2.29
2007-02-01,2.32
2007-03-01,2.61
2007-04-01,2.89
2007-05-01,3.19
2007-06-01,3.1
2007-07-01,3.01
2007-08-01,2.83
2007-09-01,2.85
2007-10-01,2.85
2007-11-01,3.13
2007-12-01,3.07
2008-01-01,3.09
2008-02-01,3.08
2008-03-01,3.29
2008-04-01,3.51
2008-05-01,3.82
2008-06-01,4.11
2008-07-01,4.11
2008-08-01,3.83
2008-09-01,3.76
2008-10-01,3.11
2008-11-01,2.21
2008-12-01,1.74
2009-01-01,1.84
2009-02-01,1.98
2009-03-01,2.01
2009-04-01,2.1
2009-05-01,2.32
2009-06-01,2.68
2009-07-01,2.58
2009-08-01,2.67
2009-09-01,2.61
2009-10-01,2.6
2009-11-01,2.71
2009-12-01,2.66
2010-01-01,2.77
2010-02-01,2.7
2010-03-01,2.82
2010-04-01,2.9
2010-05-01,2.89
2010-06-01,2.78
2010-07-01,2.78
2010-08-01,2.78
2010-09-01,2.76
2010-10-01,2.85
2010-11-01,2.91
2010-12-01,3.05
2011-01-01,3.15
2011-02-01,3.26
2011-03-01,3.62
2011-04-01,3.85
2011-05-01,3.96
2011-06-01,3.73
2011-07-01,3.7
2011-08-01,3.7
2011-09-01,3.67
2011-10-01,3.51
2011-11-01,3.44
2011-12-01,3.33
2012-01-01,3.44
2012-02-01,3.64
2012-03-01,3.91
2012-04-01,3.96
2012-05-01,3.79
2012-06-01,3.6
2012-07-01,3.5
2012-08-01,3.78
2012-09-01,3.91
2012-10-01,3.81
2012-11-01,3.52
2012-12-01,3.38
2013-01-01,3.39
2013-02-01,3.74
2013-03-01,3.78
2013-04-01,3.64
2013-05-01,3.68
2013-06-01,3.69
2013-07-01,3.66
