date,A191RL
1989-07-01,3.7
1990-07-01,1.9
1991-07-01,-0.1
1992-07-01,3.5
1993-07-01,2.8
1994-07-01,4.0
1995-07-01,2.7
1996-07-01,3.8
1997-07-01,4.4
1998-07-01,4.5
1999-07-01,4.8
2000-07-01,4.1
2001-07-01,1.0
2002-07-01,1.7
2003-07-01,2.8
2004-07-01,3.9
2005-07-01,3.5
2006-07-01,2.8
2007-07-01,2.0
2008-07-01,0.1
2009-07-01,-2.6
2010-07-01,2.7
2011-07-01,1.5
2012-07-01,2.3
2013-07-01,1.8
2014-07-01,2.3
2015-07-01,2.7
2016-07-01,1.7
2017-07-01,2.2
2018-07-01,2.9
2019-07-01,2.3
2020-07-01,-2.8
2021-07-01,5.9
2022-07-01,2.1
