date,gdp,pop_contr,epop_contr,hours_contr,hh_inp,prod
1989-04-01,3.08752,0.907069,-0.366461,0.28455,0.823362,2.24566
1989-07-01,2.99603,1.10733,0.65603,0.244759,2.01971,0.956986
1989-10-01,0.790255,1.09613,-0.351109,0.034866,0.776294,0.013854
1990-01-01,4.44372,0.908162,-0.630131,-0.0583216,0.213828,4.22086
1990-04-01,1.4598,1.25059,-1.38622,-0.00747053,-0.160428,1.62284
1990-07-01,0.266593,1.42303,-2.15149,-0.184154,-0.941828,1.21991
1990-10-01,-3.59219,1.42337,-2.29034,-0.64089,-1.5347,-2.08956
1991-01-01,-1.85867,1.23947,-2.9701,-0.93039,-2.68139,0.845389
1991-04-01,3.15542,1.28313,-1.29752,-0.608563,-0.639407,3.81925
1991-07-01,2.03681,1.43444,-1.35327,0.11815,0.179978,1.8535
1991-10-01,1.40149,1.37732,-1.14697,0.624328,0.840225,0.556584
1992-01-01,4.8757,1.18191,-0.180085,0.472352,1.47677,3.34947
1992-04-01,4.40827,1.34378,0.502219,-0.177919,1.67153,2.69174
1992-07-01,4.01141,1.4843,0.0492206,-0.439392,1.08812,2.89182
1992-10-01,4.23713,1.3919,-1.08462,0.0643371,0.356706,3.86663
1993-01-01,0.669449,1.1864,0.347256,0.55566,2.10198,-1.40304
1993-04-01,2.3491,1.22029,0.960027,0.584629,2.78948,-0.428427
1993-07-01,1.92232,1.37461,1.34653,0.460739,3.21301,-1.25051
1993-10-01,5.55261,1.28313,1.49577,0.401302,3.21063,2.26912
1994-01-01,3.93831,1.07949,0.895262,0.189263,2.17743,1.72336
1994-04-01,5.53192,1.18117,0.730614,-0.241056,1.67473,3.79365
1994-07-01,2.35892,1.29793,2.00306,-0.375289,2.93921,-0.563722
1994-10-01,4.66162,1.23099,3.01788,-0.163962,4.11503,0.524988
1995-01-01,1.42669,1.07733,0.0283256,0.250882,1.35961,0.066179
1995-04-01,1.19864,1.14029,-1.02777,0.720673,0.822193,0.373379
1995-07-01,3.44657,1.29731,-0.0189279,0.841556,2.13044,1.28867
1995-10-01,2.74412,1.23363,-0.489057,0.459418,1.20135,1.52446
1996-01-01,3.03003,0.999918,0.0563145,-0.0240713,1.03247,1.97715
1996-04-01,6.84056,1.1431,2.01915,0.0173492,3.20323,3.52444
