date,EPOP,AAH,EPOP_sa,AAH_trend,AAH_sa,POP,EMP_sa,TOT_HRS
1989-01-01,47.5905,37.4875,48.4887,37.4225,37.4353,246.301,0.119428,232.404
1989-02-01,47.5644,37.2522,48.4143,37.4328,37.3263,246.454,0.119319,232.255
1989-03-01,47.8855,37.6698,48.3966,37.4415,37.4462,246.626,0.119359,232.386
1989-04-01,48.1239,37.8219,48.4061,37.4504,37.534,246.814,0.119473,232.664
1989-05-01,48.4014,38.1839,48.3597,37.459,37.5353,247.01,0.119453,232.679
1989-06-01,49.159,37.128,48.4005,37.4672,37.3842,247.228,0.11966,233.132
1989-07-01,49.4608,35.974,48.4696,37.476,37.4691,247.458,0.119942,233.737
1989-08-01,49.1865,36.1496,48.6182,37.4826,37.4185,247.695,0.120425,234.72
1989-09-01,48.3522,38.2429,48.316,37.4866,37.5146,247.942,0.119796,233.518
1989-10-01,48.6093,37.9184,48.4019,37.4872,37.5534,248.174,0.120121,234.155
1989-11-01,48.5367,37.9493,48.4791,37.4853,37.8133,248.38,0.120412,234.712
1989-12-01,48.272,38.112,48.395,37.4826,37.4689,248.569,0.120295,234.467
1990-01-01,47.4781,37.5289,48.3773,37.4802,37.4739,248.743,0.120335,234.53
1990-02-01,47.5065,37.4356,48.3543,37.4791,37.4949,248.92,0.120363,234.578
1990-03-01,47.8049,37.6929,48.315,37.4794,37.4685,249.146,0.120375,234.602
1990-04-01,47.9194,36.3641,48.1855,37.48,36.0881,249.436,0.120192,234.249
1990-05-01,48.2781,38.0214,48.2372,37.4795,37.3654,249.707,0.120452,234.752
1990-06-01,48.8668,37.296,48.1186,37.4771,37.5431,249.99,0.120292,234.426
1990-07-01,48.9559,35.9912,47.967,37.4722,37.4889,250.285,0.120054,233.932
1990-08-01,48.5121,36.2309,47.9476,37.4635,37.5119,250.595,0.120154,234.073
1990-09-01,47.8826,38.2646,47.8429,37.4491,37.5424,250.904,0.12004,233.76
1990-10-01,48.02,37.7622,47.825,37.4286,37.4053,251.201,0.120137,233.821
1990-11-01,47.621,37.5068,47.5723,37.4026,37.362,251.486,0.119638,232.688
1990-12-01,47.4161,38.0596,47.5299,37.3731,37.4178,251.758,0.11966,232.548
1991-01-01,46.486,37.3593,47.3829,37.3425,37.3056,252.012,0.119411,231.873
1991-02-01,46.463,37.2425,47.2963,37.313,37.2773,252.253,0.119306,231.487
1991-03-01,46.6669,37.4858,47.1747,37.2869,37.2672,252.507,0.11912,230.963
1991-04-01,47.1176,37.5696,47.3573,37.2667,37.3101,252.778,0.119709,231.98
1991-05-01,47.0314,37.9298,46.9901,37.2544,37.2737,253.06,0.118913,230.362
1991-06-01,47.7614,36.956,47.0441,37.2508,37.1873,253.35,0.119186,230.869
1991-07-01,47.949,35.7133,46.9687,37.2551,37.202,253.65,0.119136,230.798
1991-08-01,47.4423,36.0889,46.8812,37.2663,37.372,253.966,0.119062,230.725
1991-09-01,47.0929,37.8729,47.0608,37.2833,37.1625,254.28,0.119666,232.001
1991-10-01,47.0838,38.0569,46.913,37.3044,37.7194,254.576,0.119429,231.672
1991-11-01,46.9172,37.4347,46.8641,37.3269,37.278,254.841,0.119429,231.812
1991-12-01,46.6301,37.6746,46.7278,37.3476,37.0365,255.089,0.119197,231.491
1992-01-01,45.9464,37.4522,46.8314,37.3637,37.4009,255.331,0.119575,232.324
1992-02-01,45.9642,37.426,46.7618,37.373,37.4383,255.576,0.119512,232.259
1992-03-01,46.3514,37.6525,46.8484,37.3742,37.4471,255.848,0.119861,232.944
1992-04-01,46.696,36.49,46.9245,37.3674,36.2431,256.139,0.120192,233.545
1992-05-01,46.8979,38.0084,46.837,37.3548,37.356,256.437,0.120107,233.302
1992-06-01,47.507,37.1666,46.8561,37.3389,37.3927,256.742,0.120299,233.576
1992-07-01,47.875,35.8905,46.929,37.3229,37.3506,257.063,0.120637,234.131
1992-08-01,47.427,35.8447,46.8631,37.3104,37.1181,257.39,0.120621,234.022
1992-09-01,46.8592,34.8565,46.8428,37.3045,34.1641,257.704,0.120716,234.168
1992-10-01,46.8734,37.603,46.7208,37.3068,37.2848,258.004,0.120542,233.845
1992-11-01,46.8112,37.4928,46.7424,37.3166,37.3074,258.28,0.120726,234.265
1992-12-01,46.7229,37.9139,46.7888,37.3322,37.2936,258.546,0.120971,234.837
1993-01-01,45.8838,37.4363,46.7638,37.3508,37.3991,258.799,0.121024,235.058
1993-02-01,46.06,37.4305,46.7931,37.3703,37.4155,259.036,0.121211,235.544
1993-03-01,46.3375,37.5847,46.8167,37.3896,37.3993,259.283,0.121388,236.01
1993-04-01,46.4685,37.4059,46.7042,37.4082,37.1697,259.547,0.121219,235.799
1993-05-01,47.0574,38.1851,46.9824,37.4253,37.5552,259.822,0.122071,237.564
1993-06-01,47.6,37.4525,47.0227,37.4406,37.6744,260.109,0.12231,238.127
1993-07-01,47.9456,35.8915,47.0473,37.4545,37.3098,260.411,0.122516,238.617
1993-08-01,47.6828,36.1478,47.133,37.4678,37.3895,260.717,0.122884,239.417
1993-09-01,46.9984,38.1894,47.0003,37.481,37.4988,261.015,0.122678,239.101
1993-10-01,47.2881,37.812,47.1214,37.4938,37.5127,261.294,0.123125,240.055
1993-11-01,47.353,37.7544,47.2542,37.5059,37.5364,261.55,0.123593,241.045
1993-12-01,47.2765,38.194,47.33,37.5162,37.6149,261.796,0.123908,241.725
1994-01-01,46.4941,36.9735,47.3738,37.5231,36.9689,262.021,0.124129,242.201
1994-02-01,46.7262,36.5394,47.3891,37.5248,36.5126,262.237,0.124272,242.491
1994-03-01,46.8136,37.6616,47.2588,37.5212,37.4988,262.491,0.12405,242.034
1994-04-01,47.0872,38.0442,47.3403,37.5128,37.803,262.754,0.124389,242.64
1994-05-01,47.5773,38.1187,47.4971,37.5009,37.5008,263.014,0.124924,243.608
