date,value
1989-01-01,43993.43481444896
1989-04-01,44229.15857417783
1989-07-01,44433.9287088918
1989-10-01,44400.59403579883
1990-01-01,44783.942776368
1990-04-01,44806.56273310966
1990-07-01,44679.17666093295
1990-10-01,44116.058790469535
1991-01-01,43774.37839126658
1991-04-01,43975.57695386345
1991-07-01,44041.055776010355
1991-10-01,44043.43682408842
1992-01-01,44439.88132908698
1992-04-01,44772.03753597766
1992-07-01,45048.2391130337
1992-10-01,45361.34693529982
1993-01-01,45303.01125738713
1993-04-01,45428.01628148577
1993-07-01,45489.923531515575
1993-10-01,45961.371050973314
1994-01-01,46282.81254151268
1994-04-01,46773.30844559497
1994-07-01,46894.74189757652
1994-10-01,47287.61483045796
1995-01-01,47328.09264778514
1995-04-01,47335.235792019346
1995-07-01,47584.0553161776
1995-10-01,47760.25287395473
1996-01-01,47998.35768176167
1996-04-01,48660.28904746496
1996-07-01,48937.68114856004
1996-10-01,49288.885740075275
1997-01-01,49475.79801420372
1997-04-01,50154.3967164535
1997-07-01,50613.93899552089
1997-10-01,50888.9500485379
1998-01-01,51266.3461689119
1998-04-01,51599.69289984161
1998-07-01,52083.0456596897
1998-10-01,52765.21593405658
1999-01-01,53129.516290001186
1999-04-01,53425.95677572083
1999-07-01,53961.69259328644
1999-10-01,54683.15016094147
2000-01-01,54743.86688693223
2000-04-01,55602.234719076245
2000-07-01,55506.99279595347
2000-10-01,55689.14297392578
2001-01-01,55381.98777185482
2001-04-01,55595.09157484204
2001-07-01,55228.410170819356
2001-10-01,55240.315411209696
2002-01-01,55577.233714256516
2002-04-01,55795.09961339987
2002-07-01,55878.43629613229
2002-10-01,55815.33852206346
2003-01-01,55986.773983684456
2003-04-01,56361.78905598038
2003-07-01,57159.44016213362
2003-10-01,57680.88969123082
2004-01-01,57898.75559037417
2004-04-01,58222.578128991605
2004-07-01,58624.97525418533
2004-10-01,59077.374389018514
2005-01-01,59607.15758638895
2005-04-01,59769.06885569767
2005-07-01,60085.7482500809
2005-10-01,60275.04157228741
2006-01-01,60954.83079857622
2006-04-01,60966.73603896656
2006-07-01,60901.25721681966
2006-10-01,61258.414428530064
2007-01-01,61302.46381797435
2007-04-01,61556.04543828874
2007-07-01,61766.76819319788
2007-10-01,61985.82461638026
2008-01-01,61597.71377965496
2008-04-01,61815.579678798305
2008-07-01,61339.370063184426
2008-10-01,59860.73920670334
2009-01-01,59042.849191886504
2009-04-01,58821.411720626056
2009-07-01,58898.79578316331
2009-10-01,59390.48221128464
2010-01-01,59569.06081713984
2010-04-01,60036.93676448047
2010-07-01,60383.37925983957
2010-10-01,60577.434678202226
2011-01-01,60333.377250200116
2011-04-01,60644.104024388165
2011-07-01,60502.43166374304
2011-10-01,61064.35901016742
2012-01-01,61466.75613536114
2012-04-01,61647.715789294416
2012-07-01,61638.191596982135
2012-10-01,61588.18958734268
2013-01-01,62033.44557794165
2013-04-01,62025.11190966841
2013-07-01,62396.555409847235
2013-10-01,62717.9969003866
2014-01-01,62396.555409847235
2014-04-01,63094.20249672156
2014-07-01,63701.369756629254
2014-10-01,63860.8999778599
2015-01-01,64278.77391556108
2015-04-01,64546.64182434389
2015-07-01,64628.787983037284
2015-10-01,64597.83435802237
2016-01-01,64872.845411039394
2016-04-01,64964.51576204507
2016-07-01,65233.57419486691
2016-10-01,65441.915901697976
2017-01-01,65659.78180084133
2017-04-01,65935.98337789737
2017-07-01,66302.66478192006
2017-10-01,66825.30483505629
2018-01-01,67261.03663334298
2018-04-01,67743.19886915204
2018-07-01,67972.97000868573
2018-10-01,68033.6867346765
2019-01-01,68374.17660984042
2019-04-01,68843.24308122009
2019-07-01,69218.25815351601
2019-10-01,69446.83876901068
2020-01-01,68469.4185329632
2020-04-01,62281.07457806087
2020-07-01,66886.02156104705
2020-10-01,67540.80978251614
2021-01-01,68536.08787914914
2021-04-01,69619.46475467071
2021-07-01,69904.0
