date,Government,Oth_Serv,FIRE,GoodsTTU
1989-07-01,0.39,1.13,0.76,1.22
1990-07-01,0.36,0.8,0.46,0.18
1991-07-01,0.07,-0.3,0.31,-0.14
1992-07-01,0.13,0.61,0.91,1.8
1993-07-01,0.03,0.57,0.77,1.29
1994-07-01,0.08,0.6,0.67,2.6
1995-07-01,0.01,0.62,0.7,0.91
1996-07-01,0.06,0.88,0.71,2.41
1997-07-01,0.19,1.16,0.97,2.59
1998-07-01,0.15,0.71,1.35,2.27
1999-07-01,0.16,0.95,1.79,1.88
2000-07-01,0.27,1.13,0.9,1.79
2001-07-01,0.14,0.13,1.29,-0.6
2002-07-01,0.24,0.55,0.56,0.36
2003-07-01,0.17,0.7,0.34,1.58
2004-07-01,0.13,0.85,0.98,1.89
2005-07-01,0.14,0.66,1.67,1.0
2006-07-01,0.07,0.73,0.62,1.37
2007-07-01,0.13,0.43,0.97,0.47
2008-07-01,0.26,0.88,-0.09,-0.95
2009-07-01,0.01,-0.87,0.89,-2.6
2010-07-01,0.08,0.77,0.61,1.24
2011-07-01,-0.05,0.78,0.45,0.38
2012-07-01,-0.14,0.86,0.91,0.65
2013-07-01,-0.06,0.5,0.4,1.24
2014-07-01,-0.01,0.96,0.61,0.93
2015-07-01,-0.02,0.93,0.74,1.25
2016-07-01,0.11,0.59,0.58,0.51
2017-07-01,0.13,0.92,0.39,1.02
2018-07-01,0.14,1.16,0.59,1.08
2019-07-01,0.08,0.99,0.98,0.53
2020-07-01,-0.16,-1.68,0.53,-0.75
2021-07-01,0.1,2.88,1.99,1.18
2022-07-01,0.16,1.91,1.18,-0.73
2023-07-01,0.08,0.8,0.69,1.36
2024-07-01,0.24,0.61,0.57,1.36
2025-07-01,0.01,0.7,1.08,0.32
