date,Gross domestic product,Private industries,"Agriculture, forestry, fishing, and hunting",Farms,"Forestry, fishing, and related activities",Mining,Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Manufacturing,Durable goods,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Nondurable goods,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,Information,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Finance, insurance, real estate, rental, and leasing",Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Professional and business services,"Professional, scientific, and technical services",Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,Administrative and support services,Waste management and remediation services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,"Other services, except government",Government,Federal,General government,National defense,Nondefense,Government enterprises,State and local,Private goods-producing industries [1],Private services-producing industries [2],Information-communications-technology-producing industries3,TTU,FIRE,Oth_Serv,Goods,GoodsTTU
1997-07-01,8577.6,7432.0,108.6,88.1,20.5,95.1,55.1,26.5,13.5,171.5,339.6,1382.9,823.8,26.8,39.8,48.1,110.0,102.2,195.3,46.9,112.0,62.5,27.9,52.3,559.1,135.2,27.4,25.2,55.4,37.4,47.5,173.4,57.6,527.5,579.9,118.5,90.9,79.8,290.7,257.3,54.7,20.0,6.6,77.1,15.1,7.0,55.9,21.0,394.1,97.2,40.3,226.3,30.3,1612.4,577.2,233.1,121.3,215.6,7.2,1035.2,929.2,769.8,159.4,106.0,840.6,499.7,104.0,75.5,320.2,125.5,215.4,193.5,21.9,590.6,77.1,513.5,250.9,165.2,57.9,39.5,301.8,80.1,37.2,43.0,221.6,70.7,150.9,230.3,1145.6,390.7,333.5,211.8,121.7,57.2,754.8,1926.1,5505.9,505.0,1536.2,2006.5,1963.1999999999998,1926.1,3462.3
1998-07-01,9062.8,7871.5,99.8,79.0,20.7,81.7,39.1,29.0,13.6,163.7,379.8,1430.6,850.7,27.5,40.8,49.0,111.7,113.8,191.7,40.6,123.9,66.8,29.7,55.3,579.9,140.0,28.1,23.4,55.9,39.7,50.1,181.0,61.8,563.7,626.9,123.7,98.2,86.2,318.8,280.0,55.2,22.2,6.5,85.6,16.2,9.8,59.8,24.8,434.6,108.2,48.9,241.8,35.6,1710.1,637.9,267.0,121.1,236.7,13.1,1072.2,959.2,812.3,146.9,113.0,914.0,543.1,113.7,89.0,340.4,139.1,231.8,209.1,22.7,615.8,79.9,535.8,258.6,173.1,61.1,43.0,322.1,82.8,40.6,42.2,239.2,75.7,163.6,248.7,1191.3,396.4,336.8,210.4,126.4,59.6,794.9,1991.8,5879.7,544.1,1634.3,2144.7,2100.7,1991.8,3626.1000000000004
1999-07-01,9630.7,8378.3,92.6,70.9,21.7,84.5,44.1,29.3,11.1,179.9,417.6,1488.9,874.9,29.4,43.2,46.2,116.0,111.1,186.6,44.6,134.7,73.8,31.6,57.7,614.1,161.8,28.5,22.4,59.4,42.2,45.2,188.7,66.0,584.0,652.6,135.3,99.7,89.1,328.6,290.0,57.7,22.6,6.6,92.3,17.7,10.4,58.1,24.6,485.0,139.1,60.3,256.2,29.4,1837.1,675.1,303.8,120.0,234.3,16.9,1162.0,1034.9,866.6,168.3,127.1,997.2,595.9,120.7,103.0,372.3,148.5,252.7,227.7,25.0,653.9,87.7,566.3,271.2,182.3,64.9,47.9,354.1,90.4,44.5,45.9,263.7,84.2,179.5,260.8,1252.3,406.0,345.0,212.0,133.0,61.0,846.4,2083.7,6294.6,579.3,1706.5,2322.1,2266.0000000000005,2083.7,3790.2
2000-07-01,10252.3,8929.3,98.3,76.0,22.3,110.6,68.2,28.5,13.8,180.1,461.3,1550.2,924.8,28.3,42.6,47.0,121.3,113.1,225.4,45.7,137.5,71.1,33.5,59.2,625.4,163.2,28.0,22.2,62.2,43.7,52.7,187.9,65.5,622.6,685.5,138.6,101.4,94.6,350.8,307.8,58.1,23.3,8.0,98.0,18.5,9.4,65.9,26.7,471.3,115.9,54.2,277.0,24.3,1974.7,743.1,320.3,133.0,274.5,15.2,1231.7,1095.8,921.8,174.0,135.9,1105.1,651.8,129.2,114.1,408.6,171.1,282.1,256.0,26.1,695.4,95.2,600.2,288.4,190.1,69.1,52.6,386.5,99.0,49.3,49.7,287.5,93.3,194.2,279.7,1323.0,423.5,360.3,217.6,142.7,63.2,899.5,2220.4,6708.9,632.9,1796,2446.0,2466.8999999999996,2220.4,4016.4
2001-07-01,10581.8,9188.9,99.8,78.1,21.7,123.9,76.1,28.1,19.7,181.3,486.5,1473.9,833.4,27.2,41.3,40.3,110.9,105.4,173.5,44.3,125.0,76.9,31.2,57.5,640.5,174.2,24.9,19.5,53.5,42.7,68.3,193.8,63.5,613.8,709.5,132.7,109.1,99.6,368.1,308.1,49.2,23.3,8.3,97.2,19.0,16.1,69.1,25.8,502.4,116.1,65.3,281.4,39.5,2128.1,803.1,343.2,182.6,262.0,15.2,1325.0,1176.6,985.8,190.8,148.4,1155.5,686.8,140.7,118.2,427.9,173.6,295.1,266.6,28.5,749.9,101.7,648.2,311.0,206.9,74.5,55.8,390.7,96.7,51.8,44.9,294.0,90.1,203.9,265.6,1392.9,430.4,370.3,223.0,147.3,60.2,962.5,2184.1,7004.8,610.3,1812.7,2630.5,2561.6000000000004,2184.1,3996.7999999999997
2002-07-01,10936.4,9462.0,95.6,74.0,21.6,112.4,69.9,27.3,15.2,177.6,493.6,1468.5,832.8,27.3,41.8,41.7,106.1,98.9,172.9,43.7,135.2,73.0,31.2,61.0,635.7,175.6,24.0,18.1,54.1,42.1,50.7,207.9,63.0,613.1,732.6,147.0,111.2,102.6,371.8,305.7,52.0,21.7,7.0,97.1,19.5,10.0,71.7,26.6,550.6,136.9,71.7,280.8,61.2,2217.0,816.4,385.6,162.6,251.2,17.0,1400.5,1254.1,1031.9,222.2,146.4,1189.9,714.7,149.2,110.2,455.3,175.0,300.2,269.8,30.4,807.0,106.5,700.5,334.1,225.9,80.8,59.7,413.5,103.8,56.9,46.8,309.7,92.7,217.1,284.9,1474.4,462.5,397.8,239.7,158.1,64.6,1011.9,2170.1,7291.9,620.9,1829,2767.6,2695.2999999999997,2170.1,3999.1000000000004
2003-07-01,11458.2,9905.9,114.0,91.1,22.8,139.0,92.9,29.2,16.9,184.0,525.2,1524.2,863.2,28.7,42.0,39.3,108.5,97.4,193.5,45.6,143.2,72.6,30.4,62.2,661.0,178.9,18.7,15.5,51.0,42.2,81.3,210.7,62.7,641.5,769.6,149.8,115.1,110.1,394.6,321.4,54.6,23.4,8.2,101.4,21.4,10.3,73.3,28.7,564.9,145.6,68.5,287.6,63.1,2295.9,846.3,401.4,144.1,280.7,20.2,1449.6,1307.1,1066.7,240.4,142.5,1247.4,741.3,165.3,115.8,460.3,185.6,320.5,288.3,32.2,862.8,116.8,746.0,350.5,244.9,85.6,65.1,432.1,111.0,62.0,49.1,321.1,94.2,226.9,283.8,1552.3,498.9,434.7,264.3,170.4,64.2,1053.5,2302.4,7603.5,653.1,1916.5,2860.8,2826.2,2302.4,4218.9
2004-07-01,12213.7,10582.5,142.9,119.4,23.6,166.5,113.0,33.6,19.9,199.2,584.6,1608.1,905.1,32.6,45.3,55.0,114.7,104.1,201.5,42.1,139.1,75.9,31.0,63.9,703.0,175.8,22.2,14.6,52.7,42.8,104.2,226.8,63.9,697.1,795.6,152.7,117.3,114.5,411.0,352.1,60.8,25.2,8.6,109.1,23.0,10.7,80.9,33.6,620.4,160.6,74.5,311.1,74.2,2389.1,872.4,374.3,154.9,322.2,21.0,1516.7,1377.9,1133.0,244.9,138.8,1341.0,792.4,180.8,122.9,488.7,203.1,345.5,313.6,31.9,927.3,129.1,798.3,375.2,265.2,90.2,67.7,461.2,117.9,65.1,52.8,343.3,102.4,240.9,297.3,1631.3,525.5,459.4,281.0,178.4,66.1,1105.8,2502.2,8080.3,706.2,2044,3009.5,3026.8,2502.2,4546.2
2005-01-01,12761.3,11077.8,130.5,106.9,23.6,197.0,133.5,39.8,23.7,192.3,628.5,1673.0,945.5,34.8,47.9,57.9,120.7,112.5,209.7,42.0,136.9,84.3,32.8,65.9,727.5,174.7,21.2,14.1,51.6,43.9,134.6,223.4,64.0,742.8,824.8,155.9,120.6,119.4,428.9,358.2,58.5,26.8,8.4,110.9,22.8,10.8,83.8,36.2,641.9,170.9,67.0,333.2,70.7,2543.0,937.8,397.1,177.7,339.6,23.4,1605.1,1464.8,1184.8,280.0,140.3,1415.0,835.7,192.7,131.3,511.6,209.4,369.9,336.5,33.4,953.2,131.1,822.1,389.0,270.8,91.3,70.9,471.7,118.9,64.6,54.3,352.8,107.1,245.8,306.0,1683.5,543.7,479.9,295.4,184.5,90.1,1139.8,2629.0,8448.8,,2118.1,3184.9,3145.799999999999,2629.0,4747.1
2005-04-01,12910.0,11209.9,130.7,107.1,23.5,210.3,143.7,42.1,24.5,189.7,643.7,1667.8,946.6,34.5,48.4,55.1,121.8,112.3,208.1,41.8,135.8,89.5,33.5,65.8,721.2,177.0,20.6,13.8,51.3,44.1,132.0,219.8,62.6,745.2,834.4,155.2,122.1,122.1,435.0,368.7,61.5,27.5,8.2,114.8,23.7,9.7,86.1,37.3,649.6,174.1,62.4,343.1,70.1,2587.6,960.5,405.9,186.8,344.1,23.6,1627.1,1487.5,1203.7,283.8,139.7,1433.3,843.6,193.8,133.6,516.3,211.4,378.3,344.7,33.5,962.7,132.4,830.3,393.8,272.4,92.3,71.8,477.6,121.1,65.9,55.2,356.4,108.2,248.2,308.6,1700.2,547.9,485.3,299.0,186.3,91.6,1152.2,2652.5,8557.4,,2138,3237.2,3182.2,2652.5,4790.5
