date,Gross domestic product,Private industries,"Agriculture, forestry, fishing, and hunting",Farms,"Forestry, fishing, and related activities",Mining,Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Manufacturing,Durable goods,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Nondurable goods,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,Information,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Finance, insurance, real estate, rental, and leasing",Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Professional and business services,"Professional, scientific, and technical services",Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,Administrative and support services,Waste management and remediation services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,"Other services, except government",Government,Federal,General government,National defense,Nondefense,Government enterprises,State and local,Not allocated by industry1,Private goods-producing industries [1],Private services-producing industries [2],Information-communications-technology-producing industries 4,TTU,FIRE,Oth_Serv,GoodsTTU,Not allocated by industry<sup>1</sup>,Goods
1997-07-01,12370.3,10332.4,113.2,88.6,25.3,170.6,102.6,62.4,15.3,248.0,816.5,1379.0,573.5,31.2,58.9,40.8,158.5,135.6,22.1,56.5,86.2,101.6,38.1,55.7,893.4,237.4,26.3,23.1,82.2,35.7,97.8,298.0,63.5,715.7,698.0,127.1,186.0,73.9,337.4,441.1,108.6,36.9,7.9,126.3,29.3,11.2,111.1,22.0,290.4,77.8,34.4,144.2,30.9,2465.3,883.7,394.9,185.7,281.1,5.7,1575.1,1441.7,1320.2,157.4,134.0,1291.0,737.0,256.3,49.0,503.9,246.6,316.5,281.3,35.8,978.9,161.1,819.2,351.4,282.9,115.4,74.9,560.6,141.0,71.0,68.8,420.1,123.0,295.8,452.3,2130.5,668.4,581.3,370.2,211.1,89.0,1461.8,-804.6,2345.3,7962.7,181.1,2102.8,2755.7000000000003,3104.1999999999994,4448.1,,2345.3
1998-07-01,12924.9,10849.3,111.7,86.7,25.9,179.4,105.0,72.7,14.4,236.9,854.0,1444.3,626.3,31.6,58.5,44.0,154.5,146.3,28.9,47.4,95.9,107.4,38.8,57.6,879.4,233.6,26.0,21.0,76.9,36.2,106.6,287.9,64.7,784.0,764.6,132.9,197.4,80.0,381.3,464.1,104.8,39.1,7.2,131.6,30.2,17.9,118.7,25.7,323.6,87.7,41.9,156.5,35.3,2574.1,975.8,456.6,188.9,304.4,8.5,1592.5,1440.1,1345.4,141.8,150.2,1352.4,778.5,266.3,59.7,516.7,252.5,329.6,293.0,37.1,983.6,159.2,825.2,351.6,286.4,115.3,77.8,576.4,141.1,75.5,65.1,436.0,125.5,309.5,471.4,2154.8,666.6,575.1,360.2,214.9,93.0,1489.2,-727.4,2448.1,8377.9,221.4,2249.6,2897.7,3230.5999999999995,4697.7,,2448.1
1999-07-01,13543.8,11426.9,114.4,88.2,27.1,173.2,94.7,77.2,13.9,276.4,890.1,1531.7,675.3,31.1,59.6,47.1,155.3,138.4,36.8,52.1,102.1,115.1,40.7,59.7,910.2,235.6,27.3,19.6,81.2,36.8,102.3,307.3,70.8,809.7,791.6,140.7,195.7,83.7,395.3,468.3,102.9,40.9,5.9,138.2,33.9,20.1,113.3,24.9,363.5,111.2,51.0,170.0,29.3,2739.3,1064.3,542.8,202.7,301.1,9.6,1670.2,1502.3,1387.4,157.2,164.6,1417.9,823.2,274.7,68.2,539.4,253.2,347.7,308.8,39.6,1016.5,166.6,851.3,361.5,295.6,117.8,82.8,607.9,146.4,77.3,68.5,462.4,132.7,328.7,475.0,2181.3,662.2,570.4,352.1,218.2,93.3,1521.4,-656.5,2573.5,8829.5,260.9,2346.0,3102.8,3380.7,4919.5,,2573.5
2000-07-01,14096.0,11928.9,129.9,103.0,28.0,151.3,68.1,75.9,18.9,280.8,925.4,1641.1,754.8,31.7,59.6,47.9,164.9,142.0,55.6,54.5,105.0,105.8,42.3,62.4,916.8,231.2,28.6,20.0,76.5,38.3,102.8,313.0,75.3,851.9,816.2,143.1,194.4,89.3,410.6,466.6,83.7,43.3,6.4,142.6,35.3,18.0,122.3,26.5,357.2,90.6,45.2,189.1,25.2,2881.8,1163.0,545.5,255.1,349.3,6.5,1717.9,1548.7,1431.2,161.5,166.4,1500.2,866.8,282.8,74.1,567.1,267.1,372.9,333.4,39.7,1051.7,172.6,880.5,379.4,302.1,118.6,85.6,643.7,153.6,80.7,72.1,491.2,142.9,347.0,485.5,2226.1,669.9,573.4,348.0,225.2,97.8,1559.1,-583.2,2722.9,9176.5,310.3,2415.5,3239.0,3522.0,5138.4,,2722.9
2001-07-01,14230.7,12041.5,127.1,97.2,31.2,175.8,80.0,73.6,28.5,233.9,909.4,1586.1,714.4,30.6,58.4,45.5,147.1,128.5,55.1,52.1,95.7,108.7,38.2,59.1,912.2,235.3,25.4,18.1,66.8,38.7,123.9,312.1,70.6,866.2,846.5,140.6,197.0,94.1,435.8,436.7,57.3,42.1,6.1,135.8,35.0,30.6,123.2,25.2,381.3,88.0,53.5,195.0,40.4,3028.7,1222.0,539.4,371.5,327.0,6.5,1805.7,1618.3,1481.4,177.4,183.3,1546.5,896.3,290.9,77.6,585.5,278.7,378.8,338.4,40.7,1079.6,177.3,903.7,392.7,308.8,119.2,87.5,623.2,145.2,81.6,63.4,479.4,130.9,348.7,438.3,2249.4,661.2,575.0,347.2,227.7,87.8,1592.5,-608.0,2668.7,9351.3,327.2,2383.3,3410.0,3557.999999999999,5052.0,,2668.7
2002-07-01,14472.7,12245.1,131.3,101.1,31.4,181.2,92.4,67.7,22.1,239.5,878.5,1602.6,732.0,30.9,57.5,46.5,140.6,119.9,61.8,52.0,107.8,101.3,37.3,61.8,905.1,221.8,24.7,17.0,68.5,40.4,107.7,333.1,69.6,876.0,887.2,142.2,195.6,109.0,457.7,420.3,58.0,37.9,4.5,131.8,34.5,18.7,125.7,25.5,418.3,103.6,59.1,195.8,59.3,3043.7,1208.9,600.8,316.7,305.2,5.9,1831.5,1650.1,1480.2,199.7,178.0,1562.8,917.0,291.8,75.4,611.0,275.7,376.6,335.2,41.8,1121.2,178.2,943.3,415.2,320.4,122.5,88.8,638.5,151.5,87.3,64.3,488.3,133.0,355.5,449.9,2289.5,674.4,585.2,352.3,232.6,90.8,1619.4,-528.9,2674.9,9551.4,348.9,2423.0,3462.0,3666.3999999999996,5097.9,,2674.9
2003-07-01,14877.3,12616.7,141.5,109.7,32.9,159.5,73.6,69.5,24.0,236.5,896.7,1702.8,792.2,31.0,59.8,45.1,147.1,119.8,80.6,56.1,118.1,96.1,36.6,63.4,938.5,231.7,20.6,15.0,67.5,40.9,143.8,334.3,72.5,924.3,933.5,144.2,194.4,122.3,488.1,436.4,62.6,41.3,4.4,134.5,35.7,19.5,127.2,27.4,433.9,113.0,56.7,202.2,61.4,3068.0,1190.7,580.4,283.0,327.2,5.8,1871.1,1698.7,1496.9,222.7,169.9,1613.6,931.8,303.0,84.3,601.8,285.9,402.6,359.7,43.3,1166.9,186.9,980.6,428.3,336.0,125.4,95.1,657.2,157.3,91.8,65.7,501.0,134.9,366.5,437.7,2317.6,687.9,601.0,362.1,238.6,88.7,1633.4,-467.1,2788.5,9806.9,392.9,2530.7000000000003,3501.9,3774.299999999999,5319.200000000001,,2788.5
2004-07-01,15449.8,13159.9,153.4,121.5,32.5,159.8,72.4,67.4,27.8,251.2,930.3,1824.3,848.7,30.3,64.1,48.5,153.1,134.4,94.1,52.5,121.9,98.3,39.2,67.0,1005.5,237.0,25.5,14.6,72.1,41.9,164.4,361.9,78.4,965.8,948.6,146.6,188.6,127.7,498.6,473.3,74.4,43.6,5.2,140.1,36.5,19.5,135.7,32.1,486.7,129.3,61.3,223.3,73.1,3128.1,1201.2,539.6,285.2,365.3,6.3,1919.5,1757.6,1552.5,228.0,160.7,1655.6,965.6,306.7,95.1,615.9,269.9,423.7,381.4,42.5,1222.5,198.3,1025.3,451.0,353.4,127.7,96.9,687.0,162.5,92.8,69.7,525.8,144.9,381.0,443.4,2338.9,700.4,609.7,369.8,239.5,92.5,1641.5,-413.2,2954.6,10179.9,451.8,2638.9,3614.7999999999997,3926.2000000000003,5593.5,,2954.6
2005-01-01,,,,,,,,,,218.374,794.305,1865.614,,,,,,,,,,,,,,,,,,,,,,938.709,957.19,,,,,429.303,,,,,,,,,595.225,,,,,2801.913,,,,,,,,,,,1662.854,,,,,,,,,1151.82,,,,,,,,,,,,,,,2090.342,655.847,,,,,1434.978,,3097.873,9721.743,,2543.576,3397.138,3781.0290000000005,5641.4490000000005,,3097.873
2005-04-01,,,,,,,,,,217.644,787.879,1870.296,,,,,,,,,,,,,,,,,,,,,,945.691,982.397,,,,,437.16,,,,,,,,,606.177,,,,,2836.779,,,,,,,,,,,1660.274,,,,,,,,,1158.542,,,,,,,,,,,,,,,2092.156,654.805,,,,,1437.927,,3101.417,9814.916,,2582.892,3442.956,3789.0679999999993,5684.308999999999,,3101.417
