date,Net Interest,Non- defense,National Defense,MP Social Security,MP Medicare,Social Safety Net,Other
1989-07-01,14.8,16.2,26.6,20.1,7.2,7.4,7.699999999999989
1990-07-01,14.7,16.0,24.0,19.7,7.6,7.7,10.299999999999997
1991-07-01,14.7,16.1,24.1,20.1,7.7,8.9,8.399999999999991
1992-07-01,14.4,16.7,21.9,20.6,8.4,10.4,7.599999999999994
1993-07-01,14.1,17.5,20.7,21.4,9.1,11.3,5.90000000000002
1994-07-01,13.9,17.7,19.3,21.7,9.7,11.8,5.8999999999999915
1995-07-01,15.3,17.9,18.0,22.0,10.4,12.2,4.199999999999989
1996-07-01,15.4,17.1,17.0,22.2,11.0,12.3,5.0
1997-07-01,15.2,17.2,17.0,22.6,11.7,12.4,3.8999999999999915
1998-07-01,14.6,17.1,16.4,22.8,11.5,12.399999999999999,5.199999999999989
1999-07-01,13.5,17.4,16.2,22.7,11.0,12.7,6.5
2000-07-01,12.5,17.9,16.5,22.7,10.9,13.0,6.5
2001-07-01,11.1,18.4,16.4,23.0,11.5,13.3,6.299999999999997
2002-07-01,8.5,19.1,17.4,22.5,11.3,13.899999999999999,7.300000000000011
2003-07-01,7.1,19.4,18.7,21.8,11.4,14.2,7.3999999999999915
2004-07-01,7.0,19.2,19.8,21.4,11.6,14.4,6.599999999999994
2005-07-01,7.4,19.2,20.0,21.0,11.9,14.3,6.200000000000003
2006-07-01,8.5,18.7,19.6,20.5,12.2,13.3,7.200000000000003
2007-07-01,8.7,18.1,20.1,21.3,13.6,13.5,4.700000000000003
2008-07-01,8.5,17.5,20.5,20.5,12.9,14.3,5.799999999999997
2009-07-01,5.3,16.5,18.7,19.3,12.1,13.899999999999999,14.200000000000017
2010-07-01,5.7,19.0,19.9,20.3,12.9,16.3,5.900000000000006
2011-07-01,6.4,18.0,19.4,20.1,13.3,16.2,6.599999999999994
2012-07-01,6.2,17.2,19.0,21.8,13.2,15.1,7.5
2013-07-01,6.4,16.7,18.1,23.4,14.2,16.3,4.900000000000006
2014-07-01,6.5,16.6,17.0,24.1,14.4,17.2,4.199999999999989
2015-07-01,6.0,15.9,15.8,23.9,14.6,18.1,5.699999999999989
2016-07-01,6.2,15.6,15.2,23.6,15.3,18.0,6.099999999999994
2017-07-01,6.6,15.3,14.8,23.6,14.9,17.6,7.199999999999989
2018-07-01,7.9,15.5,15.2,23.9,14.2,17.4,5.900000000000006
2019-07-01,8.4,14.9,15.2,23.4,14.5,16.9,6.699999999999989
2020-07-01,5.3,13.9,10.9,16.6,11.7,16.8,24.799999999999997
2021-07-01,5.2,13.1,10.9,16.5,10.1,23.2,21.0
2022-07-01,7.6,14.5,12.0,19.3,11.9,19.5,15.199999999999989
