date,SLG NW,FG NW,Gov NW
1989-01-01,8.84309,-8.11042,0.732664
1989-04-01,8.84317,-7.93292,0.910249
1989-07-01,8.64809,-7.83382,0.814266
1989-10-01,8.52354,-8.04901,0.474525
1990-01-01,8.59739,-8.28573,0.31166
1990-04-01,8.60491,-8.22171,0.3832
1990-07-01,8.61934,-8.55329,0.0660549
1990-10-01,8.5597,-8.81122,-0.251521
1991-01-01,8.45382,-8.72954,-0.27572
1991-04-01,8.43453,-8.93369,-0.499165
1991-07-01,8.34421,-9.12725,-0.783035
1991-10-01,8.11098,-9.25971,-1.14873
1992-01-01,7.95971,-9.73004,-1.77033
1992-04-01,7.82252,-9.94023,-2.11771
1992-07-01,7.64382,-10.1513,-2.50748
1992-10-01,7.51832,-10.3882,-2.86992
1993-01-01,7.52608,-10.5058,-2.97976
1993-04-01,7.45692,-10.6497,-3.19282
1993-07-01,7.3682,-10.7295,-3.36134
1993-10-01,7.30805,-10.7806,-3.47254
1994-01-01,7.2982,-11.0717,-3.77346
1994-04-01,7.30885,-11.0765,-3.76764
1994-07-01,7.40622,-11.0886,-3.68242
1994-10-01,7.5333,-11.1397,-3.60639
1995-01-01,7.67746,-11.0647,-3.38727
1995-04-01,7.75279,-10.8745,-3.12174
1995-07-01,7.85906,-10.7641,-2.90507
1995-10-01,7.86871,-10.8078,-2.93905
1996-01-01,7.90975,-10.6967,-2.78694
1996-04-01,7.94152,-10.6051,-2.6636
1996-07-01,8.04851,-10.6341,-2.58564
1996-10-01,8.10602,-10.5883,-2.48225
1997-01-01,8.13934,-10.5542,-2.41489
1997-04-01,8.26764,-9.88605,-1.61841
1997-07-01,8.34008,-9.40014,-1.06006
1997-10-01,8.37737,-9.42424,-1.04688
1998-01-01,8.36366,-8.94252,-0.578856
1998-04-01,8.32702,-8.57095,-0.243931
1998-07-01,8.29139,-8.84025,-0.548858
1998-10-01,8.40996,-8.40229,0.00767674
1999-01-01,8.45077,-8.20448,0.246298
1999-04-01,8.45898,-7.6114,0.847586
1999-07-01,8.35122,-7.51452,0.836699
1999-10-01,8.28557,-6.96792,1.31765
2000-01-01,8.23645,-6.71602,1.52043
2000-04-01,8.31648,-6.41459,1.90189
2000-07-01,8.32426,-6.20232,2.12193
2000-10-01,8.27044,-6.39106,1.87938
2001-01-01,8.08521,-6.53436,1.55085
2001-04-01,8.05248,-6.02991,2.02257
2001-07-01,7.9084,-6.4229,1.4855
2001-10-01,7.91293,-6.35486,1.55807
2002-01-01,7.87834,-6.45901,1.41933
2002-04-01,7.68129,-6.64895,1.03234
2002-07-01,7.7193,-6.96987,0.749426
2002-10-01,7.42009,-6.98907,0.431022
2003-01-01,7.52136,-7.2072,0.314156
2003-04-01,7.10374,-6.99231,0.111434
2003-07-01,7.07307,-7.12113,-0.0480608
2003-10-01,7.08823,-7.03942,0.0488104
2004-01-01,5.54197,-7.05707,-1.5151
2004-04-01,5.47535,-6.96957,-1.49422
2004-07-01,5.51799,-7.01117,-1.49319
2004-10-01,5.66194,-6.80407,-1.14213
2005-01-01,5.56625,-6.92777,-1.36152
2005-04-01,5.67446,-6.68263,-1.00817
2005-07-01,5.90658,-6.61653,-0.709953
2005-10-01,5.99824,-6.60533,-0.60709
2006-01-01,6.06623,-6.60003,-0.533801
2006-04-01,6.24897,-6.43918,-0.190206
2006-07-01,6.46612,-6.35186,0.114257
2006-10-01,6.76138,-6.28217,0.479209
2007-01-01,6.99169,-6.37939,0.612305
2007-04-01,7.10132,-6.17174,0.929582
2007-07-01,7.20859,-6.17726,1.03133
2007-10-01,7.34056,-6.47137,0.869185
2008-01-01,7.44673,-7.03096,0.415767
2008-04-01,7.57287,-7.21124,0.361633
2008-07-01,7.57601,-7.82155,-0.245544
2008-10-01,7.63169,-9.03532,-1.40363
2009-01-01,7.56743,-10.1299,-2.56252
2009-04-01,7.56679,-10.4738,-2.90699
2009-07-01,7.56825,-10.7623,-3.19404
2009-10-01,7.5759,-11.2236,-3.64767
2010-01-01,7.5151,-11.7775,-4.26235
2010-04-01,7.3409,-12.7354,-5.39447
2010-07-01,7.33845,-12.8456,-5.50718
2010-10-01,7.30776,-12.9642,-5.6564
2011-01-01,7.37455,-13.3358,-5.96121
2011-04-01,7.48505,-13.6894,-6.20433
2011-07-01,7.64159,-15.2844,-7.64286
2011-10-01,7.8518,-15.4517,-7.59989
2012-01-01,7.97855,-15.4699,-7.49133
2012-04-01,8.043,-15.9543,-7.91125
2012-07-01,8.06536,-15.8091,-7.74369
2012-10-01,8.00606,-16.1816,-8.17557
2013-01-01,7.69053,-15.9114,-8.22082
2013-04-01,7.33142,-15.6197,-8.28823
2013-07-01,7.00332,-15.2498,-8.24647
2013-10-01,6.86009,-14.7804,-7.92027
2014-01-01,6.75186,-14.7439,-7.99208
2014-04-01,6.68505,-14.3751,-7.69001
2014-07-01,6.63614,-14.8067,-8.17059
2014-10-01,6.60986,-14.8066,-8.19669
2015-01-01,6.5412,-14.7904,-8.24916
2015-04-01,6.44445,-14.5825,-8.13809
2015-07-01,6.3408,-15.1824,-8.84162
2015-10-01,6.30001,-15.1584,-8.85843
2016-01-01,6.20977,-15.3697,-9.15992
2016-04-01,6.28014,-15.1201,-8.83994
2016-07-01,6.27484,-15.0028,-8.72799
2016-10-01,6.25764,-14.9648,-8.7072
2017-01-01,6.2829,-14.8029,-8.52
2017-04-01,6.26519,-14.4757,-8.21048
2017-07-01,6.3524,-14.2313,-7.8789
2017-10-01,6.40184,-13.9926,-7.59072
2018-01-01,6.42858,-14.2637,-7.83517
2018-04-01,6.57805,-14.0789,-7.50089
2018-07-01,6.61926,-13.9936,-7.37436
2018-10-01,6.74659,-15.1188,-8.3722
2019-01-01,6.69741,-14.6258,-7.92837
2019-04-01,6.78705,-14.4202,-7.63318
2019-07-01,6.88583,-14.4587,-7.57291
2019-10-01,6.83774,-14.2872,-7.44942
2020-01-01,7.01436,-16.0509,-9.0365
2020-04-01,6.90103,-16.3593,-9.45828
2020-07-01,6.89103,-16.1935,-9.30246
2020-10-01,6.83071,-15.5372,-8.70652
2021-01-01,6.71744,-15.6224,-8.90497
