date,HRE,DEP,DSL,TEQ,OTH
1989-01-01,1.14,0.06,0.7,1.08,1.27
1989-04-01,0.78,0.01,0.65,1.1,1.22
1989-07-01,1.22,0.19,0.59,1.83,1.39
1989-10-01,1.21,0.17,0.35,1.64,1.49
1990-01-01,0.82,0.11,0.33,0.53,1.3
1990-04-01,0.62,0.05,0.44,0.41,1.23
1990-07-01,-0.16,-0.12,0.48,-1.96,0.89
1990-10-01,-0.7,-0.3,0.71,-1.43,0.42
1991-01-01,-0.57,-0.01,0.69,0.5,0.55
1991-04-01,-0.55,-0.19,0.73,0.05,0.6
1991-07-01,-0.41,-0.33,0.77,2.24,0.65
1991-10-01,0.0,-0.32,0.72,2.77,0.73
1992-01-01,0.21,-0.97,0.65,1.17,0.83
1992-04-01,0.21,-0.86,0.5,1.14,0.88
1992-07-01,0.35,-0.82,0.52,0.99,1.07
1992-10-01,0.36,-0.79,0.3,0.95,1.21
1993-01-01,0.08,-0.64,0.65,1.81,1.03
1993-04-01,0.23,-0.53,0.64,2.21,0.95
1993-07-01,0.28,-0.44,0.58,2.57,0.88
1993-10-01,0.34,-0.48,0.76,1.92,0.84
1994-01-01,0.57,-0.28,0.6,1.12,1.05
1994-04-01,0.56,-0.37,0.7,0.92,1.12
1994-07-01,0.43,-0.35,0.59,0.69,1.08
1994-10-01,0.35,-0.26,0.56,0.15,1.06
1995-01-01,0.28,-0.08,0.33,1.46,0.99
1995-04-01,0.24,0.27,0.07,2.52,1.02
1995-07-01,0.35,0.28,0.2,3.41,1.04
1995-10-01,0.42,0.35,0.22,4.53,1.17
1996-01-01,0.54,0.51,0.29,4.32,1.0
1996-04-01,0.57,0.26,0.57,3.84,0.79
1996-07-01,0.58,0.35,0.45,2.71,0.73
1996-10-01,0.53,0.29,0.43,2.52,0.62
1997-01-01,0.5,0.12,0.04,2.16,0.93
1997-04-01,0.65,0.22,0.01,4.44,1.13
1997-07-01,0.71,0.27,0.16,6.11,1.3
1997-10-01,0.87,0.38,0.18,5.6,1.48
1998-01-01,1.22,0.43,0.75,8.51,1.58
1998-04-01,1.47,0.43,0.99,5.9,1.62
1998-07-01,1.69,0.45,1.07,1.21,1.64
1998-10-01,1.95,0.68,0.54,4.76,1.61
1999-01-01,1.89,0.63,0.27,1.63,1.28
1999-04-01,1.8,0.43,-0.24,3.12,1.08
1999-07-01,1.88,0.42,-0.64,4.73,1.03
1999-10-01,1.73,0.36,-0.65,5.35,1.07
2000-01-01,1.99,0.43,-0.78,6.56,0.92
2000-04-01,2.31,0.51,-0.78,3.23,1.04
2000-07-01,2.48,0.45,-0.61,4.39,1.18
2000-10-01,2.64,0.45,0.05,-2.85,1.02
2001-01-01,3.16,0.82,0.14,-6.56,1.05
2001-04-01,3.03,0.9,0.21,-3.7,1.02
2001-07-01,3.06,1.1,0.51,-7.02,1.05
2001-10-01,3.1,1.07,-0.08,-2.16,1.04
2002-01-01,2.59,0.66,-0.02,0.62,1.23
2002-04-01,2.41,0.5,0.25,-3.03,1.13
2002-07-01,2.3,0.37,0.15,-3.13,0.98
2002-10-01,2.14,0.26,0.58,-4.59,0.98
2003-01-01,1.93,0.33,0.36,-5.36,0.97
2003-04-01,2.21,0.56,0.58,-0.64,1.03
2003-07-01,2.27,0.3,0.21,3.66,0.89
2003-10-01,2.32,0.14,0.39,5.27,0.78
2004-01-01,2.84,0.08,2.05,6.88,0.95
2004-04-01,2.88,-0.03,1.26,4.35,1.03
2004-07-01,3.38,0.09,1.7,3.65,1.4
2004-10-01,3.55,0.21,1.56,3.28,1.53
2005-01-01,3.41,0.15,0.07,2.3,1.3
2005-04-01,3.46,0.19,0.63,2.81,1.23
2005-07-01,3.23,0.28,-0.04,3.6,0.88
2005-10-01,3.08,0.28,-0.09,2.44,0.75
2006-01-01,2.22,0.48,0.13,4.15,0.98
2006-04-01,1.62,0.5,-0.22,2.75,0.9
2006-07-01,1.0,0.58,0.21,2.4,0.99
2006-10-01,0.48,0.72,-0.06,3.57,1.11
2007-01-01,-0.07,0.71,0.1,2.48,0.8
2007-04-01,-0.68,0.66,0.05,3.56,0.87
2007-07-01,-1.18,0.76,0.58,2.91,0.87
2007-10-01,-1.98,0.81,0.94,-0.3,0.55
2008-01-01,-2.43,0.97,0.92,-3.3,0.31
2008-04-01,-2.95,0.67,1.1,-5.18,-0.0
2008-07-01,-3.45,0.49,0.59,-7.85,-0.17
2008-10-01,-3.07,0.83,0.45,-9.93,0.2
2009-01-01,-2.58,0.51,1.11,-9.36,0.47
2009-04-01,-2.32,0.69,0.91,-6.66,0.31
2009-07-01,-1.98,0.31,1.51,-2.23,0.04
2009-10-01,-2.25,-0.39,1.23,1.83,-0.47
2010-01-01,-1.99,-0.8,0.92,4.5,-0.52
2010-04-01,-1.45,-0.8,1.67,1.5,0.15
2010-07-01,-1.08,-0.39,1.1,1.81,0.72
2010-10-01,-1.1,-0.37,1.15,3.31,0.97
2011-01-01,-1.48,0.04,0.28,3.58,1.0
2011-04-01,-1.73,0.26,-0.27,4.6,0.82
2011-07-01,-1.67,0.28,0.35,-0.87,0.49
2011-10-01,-1.44,0.43,0.47,-1.24,0.34
2012-01-01,-1.21,0.38,0.64,-0.28,0.27
2012-04-01,-0.69,0.27,0.98,-0.64,0.13
2012-07-01,-0.26,0.22,0.69,3.99,0.29
2012-10-01,0.1,0.35,0.67,2.79,0.31
2013-01-01,0.88,0.3,0.51,3.0,0.72
2013-04-01,1.28,0.39,-0.51,4.52,1.33
2013-07-01,1.55,0.52,-1.27,4.77,1.86
2013-10-01,1.74,0.3,-1.54,6.29,2.07
2014-01-01,1.53,0.42,-1.14,4.7,1.63
2014-04-01,1.32,0.35,-0.43,5.08,1.16
2014-07-01,1.17,0.29,-0.06,3.19,0.63
2014-10-01,1.16,0.42,0.4,2.7,0.62
2015-01-01,1.37,0.57,0.41,2.93,1.02
2015-04-01,1.37,0.56,-0.02,1.89,1.03
2015-07-01,1.41,0.52,0.13,0.24,1.01
2015-10-01,1.45,0.56,-0.17,0.28,0.75
2016-01-01,1.28,0.47,0.01,-0.48,0.45
2016-04-01,1.32,0.45,0.42,-0.16,0.38
2016-07-01,1.37,0.56,0.27,2.46,0.44
2016-10-01,1.29,0.39,-0.12,1.64,0.49
2017-01-01,1.28,0.37,-0.49,2.67,0.52
2017-04-01,1.32,0.3,-0.49,3.12,0.63
2017-07-01,1.3,0.2,-0.41,3.25,0.48
2017-10-01,1.24,0.16,0.0,4.35,0.64
2018-01-01,1.36,0.18,0.31,2.77,0.27
2018-04-01,1.15,0.19,0.34,2.36,0.22
2018-07-01,1.0,0.04,0.49,2.46,0.21
2018-10-01,0.92,0.23,0.56,-2.65,0.03
2019-01-01,0.93,0.27,0.36,1.21,0.67
2019-04-01,0.87,0.26,0.68,1.46,0.68
2019-07-01,0.81,0.47,0.76,0.41,0.65
2019-10-01,0.86,0.6,0.96,6.12,0.6
2020-01-01,0.87,0.87,0.5,-3.53,0.24
2020-04-01,1.32,1.9,0.25,0.63,0.36
2020-07-01,1.46,1.85,-0.1,2.76,0.42
2020-10-01,1.83,1.87,0.0,5.21,0.72
2021-01-01,1.99,2.14,-0.1,13.75,0.64
