date,Net Worth
1989-01-01,47.3657
1989-04-01,47.7053
1989-07-01,48.6428
1989-10-01,49.1534
1990-01-01,48.5409
1990-04-01,48.7413
1990-07-01,47.8394
1990-10-01,48.1847
1991-01-01,48.9978
1991-04-01,48.91
1991-07-01,49.2881
1991-10-01,50.1233
1992-01-01,49.8279
1992-04-01,49.7414
1992-07-01,50.2071
1992-10-01,51.0728
1993-01-01,51.445
1993-04-01,51.6794
1993-07-01,52.3155
1993-10-01,52.9085
1994-01-01,53.011
1994-04-01,53.1286
1994-07-01,53.5182
1994-10-01,53.705
1995-01-01,54.5356
1995-04-01,55.3789
1995-07-01,56.0285
1995-10-01,57.1565
1996-01-01,57.8836
1996-04-01,58.4191
1996-07-01,58.7665
1996-10-01,59.7351
1997-01-01,60.0472
1997-04-01,62.4709
1997-07-01,64.206
1997-10-01,65.1585
1998-01-01,68.1645
1998-04-01,69.3553
1998-07-01,67.9475
1998-10-01,71.5347
1999-01-01,71.9602
1999-04-01,73.594
1999-07-01,73.1418
1999-10-01,77.2341
2000-01-01,78.4913
2000-04-01,78.2228
2000-07-01,78.8497
2000-10-01,77.4591
2001-01-01,76.5453
2001-04-01,78.3992
2001-07-01,76.5693
2001-10-01,79.0986
2002-01-01,80.102
2002-04-01,78.513
2002-07-01,76.2355
2002-10-01,77.4445
2003-01-01,77.3041
2003-04-01,80.3871
2003-07-01,81.3792
2003-10-01,84.1262
2004-01-01,87.5818
2004-04-01,88.4422
2004-07-01,90.0469
2004-10-01,92.8618
2005-01-01,93.7949
2005-04-01,95.6493
2005-07-01,97.291
2005-10-01,98.7203
2006-01-01,101.3372
2006-04-01,100.8739
2006-07-01,101.8711
2006-10-01,104.3465
2007-01-01,104.7899
2007-04-01,104.9644
2007-07-01,105.6031
2007-10-01,103.3622
2008-01-01,99.3019
2008-04-01,96.7453
2008-07-01,92.2867
2008-10-01,89.1618
2009-01-01,87.0417
2009-04-01,87.2884
2009-07-01,89.227
2009-10-01,88.7475
2010-01-01,90.1933
2010-04-01,89.2706
2010-07-01,92.0372
2010-10-01,93.8953
2011-01-01,94.6411
2011-04-01,94.2829
2011-07-01,91.2489
2011-10-01,92.9631
2012-01-01,95.0544
2012-04-01,94.9699
2012-07-01,97.2928
2012-10-01,98.1535
2013-01-01,101.6426
2013-04-01,103.2947
2013-07-01,106.3023
2013-10-01,108.9008
2014-01-01,110.679
2014-04-01,113.1037
2014-07-01,113.7061
2014-10-01,115.9578
2015-01-01,118.6622
2015-04-01,119.2075
2015-07-01,117.6177
2015-10-01,119.6685
2016-01-01,121.1143
2016-04-01,122.6124
2016-07-01,124.458
2016-10-01,124.7761
2017-01-01,127.1176
2017-04-01,129.7171
2017-07-01,131.4154
2017-10-01,133.9628
2018-01-01,134.391
2018-04-01,135.2667
2018-07-01,137.4448
2018-10-01,131.3221
2019-01-01,137.9173
2019-04-01,140.7786
2019-07-01,141.0417
2019-10-01,144.0666
2020-01-01,136.3282
2020-04-01,146.3949
2020-07-01,151.2402
2020-10-01,160.7449
2021-01-01,165.7705
2021-04-01,172.3171
2021-07-01,174.2799
2021-10-01,176.2786
2022-01-01,173.7166
2022-04-01,164.047
2022-07-01,158.1786
2022-10-01,157.635
2023-01-01,160.1034
2023-04-01,165.2511
2023-07-01,162.9081
2023-10-01,166.678
2024-01-01,171.1429
2024-04-01,173.1913
2024-07-01,176.7666
2024-10-01,176.4734
2025-01-01,174.8348
2025-04-01,180.3981
2025-07-01,184.4685
2025-10-01,184.9123
2026-01-01,182.9799
