date,FL152000005.Q,FL152010005.Q,FL152090005.Q,FL154190005.Q,FA156012005.Q
1988-01-01,21863261.0,8514062.0,18941076.0,2922185.0,3651096.0
1988-04-01,22378741.0,8751511.0,19370743.0,3007998.0,3733634.0
1988-07-01,22779036.0,8929484.0,19689980.0,3089056.0,3818096.0
1988-10-01,23344889.0,9094409.0,20181251.0,3163638.0,3893495.0
1989-01-01,23819436.0,9256889.0,20611143.0,3208293.0,3980878.0
1989-04-01,24335355.0,9431993.0,21038614.0,3296741.0,4021334.0
1989-07-01,24959574.0,9674610.0,21578461.0,3381113.0,4071738.0
1989-10-01,25440925.0,9817681.0,21976312.0,3464613.0,4139149.0
1990-01-01,25549842.0,9869598.0,22016987.0,3532855.0,4232899.0
1990-04-01,25914616.0,9968788.0,22308653.0,3605963.0,4302906.0
1990-07-01,25843616.0,10074386.0,22174071.0,3669545.0,4358183.0
1990-10-01,26365818.0,10083770.0,22629587.0,3736231.0,4380538.0
1991-01-01,26894694.0,10111638.0,23132543.0,3762151.0,4416999.0
1991-04-01,27044521.0,10181563.0,23217004.0,3827517.0,4474407.0
1991-07-01,27425122.0,10251937.0,23555395.0,3869727.0,4522073.0
1991-10-01,28081952.0,10308657.0,24128374.0,3953578.0,4590565.0
1992-01-01,28110281.0,10376685.0,24136373.0,3973908.0,4708396.0
1992-04-01,28272495.0,10441606.0,24254485.0,4018011.0,4784123.0
1992-07-01,28723528.0,10565839.0,24637658.0,4085871.0,4835461.0
1992-10-01,29396744.0,10665051.0,25237606.0,4159138.0,4890790.0
1993-01-01,29740320.0,10695116.0,25573103.0,4167217.0,4938702.0
1993-04-01,30097869.0,10834811.0,25862272.0,4235597.0,4987377.0
1993-07-01,30616603.0,10984914.0,26293987.0,4322616.0,5013209.0
1993-10-01,31162342.0,11136594.0,26745508.0,4416834.0,5077153.0
1994-01-01,31343106.0,11248794.0,26893391.0,4449716.0,5128478.0
1994-04-01,31639338.0,11403891.0,27103476.0,4535862.0,5208541.0
1994-07-01,32123525.0,11554846.0,27497884.0,4625641.0,5276837.0
1994-10-01,32470240.0,11662709.0,27723515.0,4746725.0,5377530.0
1995-01-01,33067321.0,11759561.0,28289824.0,4777497.0,5449491.0
1995-04-01,33765066.0,11881625.0,28894714.0,4870353.0,5496388.0
1995-07-01,34337623.0,11818658.0,29352850.0,4984773.0,5568821.0
1995-10-01,35156262.0,11929586.0,30075730.0,5080532.0,5625106.0
1996-01-01,35779602.0,12072254.0,30627604.0,5151999.0,5708977.0
1996-04-01,36370307.0,12203809.0,31117217.0,5253090.0,5799069.0
1996-07-01,36786542.0,12340159.0,31434336.0,5352206.0,5869286.0
1996-10-01,37624923.0,12484600.0,32171390.0,5453534.0,5939133.0
1997-01-01,37971737.0,12648985.0,32483244.0,5488494.0,6020067.0
1997-04-01,39463449.0,12804319.0,33878267.0,5585182.0,6087066.0
1997-07-01,40617606.0,12977697.0,34911216.0,5706390.0,6175301.0
1997-10-01,41344467.0,13201961.0,35541198.0,5803270.0,6286188.0
1998-01-01,43042292.0,13418623.0,37182363.0,5859929.0,6420339.0
1998-04-01,43900426.0,13732533.0,37900414.0,6000012.0,6522052.0
1998-07-01,43363379.0,14006831.0,37246783.0,6116596.0,6607201.0
1998-10-01,45579345.0,14292882.0,39315496.0,6263849.0,6674156.0
1999-01-01,45980068.0,14491670.0,39627965.0,6352103.0,6758699.0
1999-04-01,47264985.0,14828590.0,40756888.0,6508097.0,6801647.0
1999-07-01,47398811.0,15231059.0,40729346.0,6669465.0,6887387.0
1999-10-01,50112838.0,15542612.0,43270757.0,6842081.0,7019003.0
2000-01-01,51281183.0,15955983.0,44332534.0,6948649.0,7199618.0
2000-04-01,51486524.0,16537371.0,44391708.0,7094816.0,7319561.0
2000-07-01,52315522.0,17067142.0,45035723.0,7279799.0,7464027.0
2000-10-01,51906326.0,17550523.0,44490744.0,7415583.0,7556664.0
2001-01-01,51763672.0,18300337.0,44291167.0,7472505.0,7673477.0
2001-04-01,53251831.0,18748493.0,45577078.0,7674753.0,7703502.0
2001-07-01,52465246.0,19182184.0,44536654.0,7928592.0,7883495.0
2001-10-01,54081611.0,19537954.0,46023387.0,8058224.0,7755899.0
2002-01-01,54893710.0,19995323.0,46700969.0,8192741.0,7957569.0
2002-04-01,54496345.0,20402050.0,46114184.0,8382161.0,8080919.0
2002-07-01,53615288.0,20849649.0,45010472.0,8604816.0,8132548.0
2002-10-01,54790340.0,21311006.0,45937498.0,8852842.0,8220458.0
2003-01-01,55243899.0,21773205.0,46204696.0,9039204.0,8285363.0
2003-04-01,57525545.0,22220782.0,48095321.0,9430224.0,8387901.0
2003-07-01,58694231.0,22667455.0,49008817.0,9685415.0,8586985.0
2003-10-01,60856723.0,23178438.0,50914575.0,9942149.0,8652611.0
2004-01-01,63550090.0,24023212.0,53414954.0,10135136.0,8758765.0
2004-04-01,64755742.0,24785446.0,54302004.0,10453739.0,8907978.0
2004-07-01,66283499.0,25652775.0,55556173.0,10727327.0,9009501.0
2004-10-01,68876760.0,26439387.0,57785499.0,11091261.0,9192274.0
2005-01-01,70005526.0,27241252.0,58706325.0,11299201.0,9120285.0
2005-04-01,71872675.0,28061305.0,60244286.0,11628389.0,9261799.0
2005-07-01,73919761.0,28975815.0,61938751.0,11981010.0,9396375.0
2005-10-01,75627577.0,29772096.0,63347845.0,12279732.0,9556135.0
2006-01-01,78006428.0,29981437.0,65361527.0,12644901.0,9783857.0
2006-04-01,78634699.0,30501945.0,65632979.0,13001720.0,9906545.0
2006-07-01,80088494.0,30893082.0,66762191.0,13326303.0,9992331.0
2006-10-01,81862341.0,31094075.0,68271958.0,13590383.0,10097401.0
2007-01-01,82963478.0,30958570.0,69190760.0,13772718.0,10267698.0
2007-04-01,83965737.0,30982479.0,69893811.0,14071926.0,10406081.0
2007-07-01,85022138.0,30893494.0,70714264.0,14307874.0,10482565.0
2007-10-01,84426764.0,30598805.0,69922581.0,14504183.0,10602170.0
2008-01-01,82358208.0,29790713.0,67719806.0,14638402.0,10733994.0
2008-04-01,81211606.0,29288700.0,66621404.0,14590202.0,11061837.0
2008-07-01,78951509.0,28726406.0,64225065.0,14726444.0,10964447.0
2008-10-01,75512723.0,28106215.0,61060091.0,14452632.0,10912439.0
2009-01-01,73566341.0,27444976.0,59203054.0,14363287.0,10830420.0
2009-04-01,73946935.0,26706653.0,59609514.0,14337421.0,10946227.0
2009-07-01,75689209.0,26336357.0,61356051.0,14333158.0,10888261.0
2009-10-01,75820195.0,26046134.0,61493006.0,14327189.0,10988307.0
2010-01-01,76953901.0,25990311.0,62733108.0,14220793.0,11096944.0
2010-04-01,76347479.0,26019466.0,62189898.0,14157581.0,11298797.0
2010-07-01,78327216.0,25868532.0,64243617.0,14083599.0,11381992.0
2010-10-01,80021591.0,25655317.0,65951963.0,14069628.0,11498297.0
2011-01-01,81096318.0,25405167.0,67051206.0,14045112.0,11711592.0
2011-04-01,81455677.0,25322475.0,67456026.0,13999651.0,11803351.0
2011-07-01,79561115.0,25263723.0,65570878.0,13990237.0,11921126.0
2011-10-01,81002047.0,25226865.0,67021399.0,13980648.0,11987448.0
2012-01-01,82916307.0,25073791.0,68993028.0,13923279.0,12252058.0
2012-04-01,82998695.0,25286029.0,69103576.0,13895119.0,12364178.0
2012-07-01,84896143.0,25589303.0,70992455.0,13903688.0,12301844.0
2012-10-01,85900315.0,25842349.0,72024298.0,13876017.0,12715043.0
2013-01-01,88691664.0,26307440.0,74849753.0,13841911.0,12254044.0
2013-04-01,89963375.0,26935595.0,76098866.0,13864509.0,12353217.0
2013-07-01,92561759.0,27599614.0,78642614.0,13919145.0,12447306.0
2013-10-01,94943665.0,27972892.0,80854233.0,14089432.0,12510375.0
2014-01-01,96636428.0,28243280.0,82553628.0,14082800.0,12714403.0
2014-04-01,98896241.0,28802979.0,84740028.0,14156213.0,12931863.0
2014-07-01,99573408.0,29294890.0,85423032.0,14150376.0,13089118.0
2014-10-01,101215237.0,29661881.0,86997866.0,14217371.0,13258193.0
2015-01-01,102823315.0,30130372.0,88630361.0,14192954.0,13380512.0
2015-04-01,103789480.0,30727176.0,89468093.0,14321387.0,13487843.0
2015-07-01,102948387.0,31222042.0,88505672.0,14442715.0,13598262.0
2015-10-01,104436359.0,31565182.0,89987099.0,14449260.0,13664798.0
2016-01-01,105592982.0,31856268.0,91124980.0,14468002.0,13782355.0
2016-04-01,107430707.0,32555653.0,92832843.0,14597864.0,13841829.0
2016-07-01,109314758.0,33205841.0,94549225.0,14765533.0,13968108.0
2016-10-01,110095034.0,33672201.0,95227372.0,14867662.0,14123300.0
2017-01-01,112504470.0,34099014.0,97580022.0,14924448.0,14353057.0
2017-04-01,114858997.0,34868494.0,99780371.0,15078626.0,14538770.0
2017-07-01,116663710.0,35341832.0,101436912.0,15226798.0,14692114.0
2017-10-01,119450378.0,35878103.0,104029932.0,15420446.0,14871770.0
2018-01-01,120563222.0,36626424.0,105091691.0,15471531.0,15133060.0
2018-04-01,121932661.0,37097707.0,106335413.0,15597248.0,15349067.0
2018-07-01,124176660.0,37621979.0,108411918.0,15764742.0,15563067.0
2018-10-01,119862979.0,37219834.0,103965993.0,15896986.0,15770966.0
2019-01-01,125347502.0,37343629.0,109420424.0,15927078.0,15997304.0
2019-04-01,128446002.0,38568625.0,112314731.0,16131271.0,16074939.0
2019-07-01,129127966.0,38654283.0,112793231.0,16334735.0,16222057.0
2019-10-01,132199427.0,38519211.0,115671100.0,16528327.0,16363691.0
2020-01-01,126391089.0,39582186.0,109833839.0,16557250.0,16516203.0
2020-04-01,134041229.0,40066166.0,117477041.0,16564188.0,18086128.0
2020-07-01,139140509.0,41476793.0,122317866.0,16822643.0,17601130.0
2020-10-01,147759075.0,42805753.0,130666698.0,17092377.0,17330270.0
2021-01-01,153572826.0,44616632.0,136312790.0,17260036.0,19680548.0
2021-04-01,161805365.0,48039512.0,143828373.0,17976992.0,18449206.0
2021-07-01,165773524.0,50302000.0,147449790.0,18323734.0,18486877.0
2021-10-01,170346650.0,51351799.0,151638124.0,18708526.0,18586976.0
2022-01-01,171234578.0,54391740.0,152223773.0,19010805.0,18374350.0
2022-04-01,165773266.0,56903468.0,146390370.0,19382896.0,18615769.0
2022-07-01,162489106.0,55765417.0,142775653.0,19713453.0,19130892.0
2022-10-01,163679151.0,54804803.0,143747549.0,19931602.0,19521072.0
2023-01-01,167290996.0,55151072.0,147319332.0,19971664.0,20283389.0
2023-04-01,173283167.0,57861813.0,153140565.0,20142602.0,20651019.0
2023-07-01,172262043.0,58305027.0,151937037.0,20325006.0,20894643.0
2023-10-01,176573638.0,57671891.0,156080702.0,20492936.0,21168040.0
2024-01-01,182257927.0,58768609.0,161691736.0,20566191.0,21575360.0
2024-04-01,185427328.0,60580038.0,164702481.0,20724847.0,21843210.0
2024-07-01,189742774.0,60333254.0,168846855.0,20895919.0,22002574.0
2024-10-01,190464400.0,60083108.0,169619241.0,20845159.0,22249490.0
2025-01-01,189620298.0,60707268.0,168759498.0,20860800.0,22563684.0
2025-04-01,196729483.0,62000146.0,175697571.0,21031912.0,22786610.0
2025-07-01,203201977.0,61953381.0,181932632.0,21269345.0,23001218.0
2025-10-01,205613279.0,61747410.0,184105614.0,21507665.0,23178235.0
