date,DPI,TOT,NFA,HRE,REQ,CDG,TFA,DEP,CEQ,NEQ,RET,NPA,DSL,TEQ,OFA,OTH
1989-01-01,72.2318,431.64,167.963,119.07,81.1601,33.3149,263.679,60.6327,37.6165,52.9575,133.046,15.578,30.7874,90.574,81.684,130.577
1989-04-01,71.65,433.067,168.054,119.289,81.0359,33.2122,265.012,59.8263,39.1015,52.6389,133.235,15.553,31.1459,91.7405,82.2997,131.065
1989-07-01,71.4922,437.733,169.868,121.031,82.2075,33.2934,267.863,59.9544,41.5854,52.141,134.952,15.5435,31.2761,93.7264,82.9074,131.744
1989-10-01,72.0198,442.179,170.824,121.699,82.3655,33.5044,271.356,60.4339,42.6304,52.1438,135.674,15.6211,31.6392,94.7742,84.5086,133.634
1990-01-01,72.0776,434.592,168.059,119.417,79.6496,33.4936,266.533,59.6279,39.2661,51.3629,132.917,15.1486,31.6411,90.6292,84.6345,133.277
1990-04-01,72.1961,434.375,167.261,118.878,78.6782,33.4292,267.115,58.5845,40.256,51.0996,132.176,14.9536,32.1876,91.3556,84.9877,133.371
1990-07-01,72.4538,429.23,167.485,119.079,78.3935,33.5181,261.746,58.6735,33.266,51.1661,132.288,14.8876,32.748,84.432,85.8914,134.297
1990-10-01,72.9515,438.692,167.931,119.013,77.5485,33.9572,270.763,59.6007,37.4168,51.5299,132.254,14.9604,34.8369,88.9467,87.3781,136.296
1991-01-01,73.1876,445.254,167.544,118.429,76.5132,34.2621,277.71,60.2971,43.042,51.0741,131.53,14.8538,34.9052,94.116,88.3919,137.508
1991-04-01,73.0294,441.054,166.18,117.561,75.2777,34.0093,274.875,58.3082,42.1279,50.3517,130.415,14.6087,35.4619,92.4796,88.6256,137.244
1991-07-01,72.8668,441.577,165.195,117.152,75.0232,33.8946,276.381,57.2706,44.3828,49.5679,129.541,14.1489,36.1336,93.9507,89.0262,137.07
1991-10-01,73.2785,447.947,164.556,117.017,74.4302,33.8006,283.392,56.9908,50.7102,48.7105,128.986,13.7381,37.3702,99.4205,89.6096,137.148
1992-01-01,73.9954,441.464,163.075,116.21,73.6476,33.5088,278.389,54.2754,49.0141,47.7299,127.794,13.3565,36.7538,96.744,90.6156,137.481
1992-04-01,73.9344,436.638,161.366,115.103,72.7396,33.2761,275.272,52.6793,48.0818,46.839,126.32,12.9866,36.5873,94.9206,91.0852,137.348
1992-07-01,73.6367,437.138,160.901,115.188,72.6111,33.072,276.237,51.7065,49.3181,46.3155,126.055,12.6416,36.9414,95.6335,91.9551,137.669
1992-10-01,73.2066,439.76,159.638,114.54,72.0168,32.8324,280.124,51.0939,54.5749,45.3577,125.033,12.2647,36.8875,99.9326,92.2091,137.306
1993-01-01,73.3893,441.698,158.93,113.978,71.557,32.7903,282.769,49.8379,56.2641,45.5885,124.367,12.1613,38.1317,101.853,92.9468,137.898
1993-04-01,73.2475,441.803,159.126,114.263,71.5492,32.8458,282.677,49.0665,56.5815,45.5683,124.513,12.0177,38.2618,102.15,93.1984,138.062
1993-07-01,72.8442,444.646,159.616,114.733,71.744,32.927,285.031,48.6308,58.8007,45.7769,124.929,11.9559,38.3823,104.578,93.4401,138.323
1993-10-01,72.3886,444.096,158.783,114.158,71.3895,32.8249,285.313,47.7524,60.3111,45.4699,124.207,11.7998,38.9953,105.781,92.7848,137.409
1994-01-01,72.0732,440.28,158.085,113.586,71.0043,32.6907,282.196,46.9441,57.6439,45.6234,123.65,11.8083,38.885,103.267,93.0996,137.599
1994-04-01,71.8724,436.393,157.362,113.02,70.5864,32.5601,279.031,45.4414,56.0829,45.7316,123.07,11.7818,39.0895,101.814,92.6864,137.028
1994-07-01,71.9791,437.99,157.614,113.13,70.5504,32.6897,280.376,45.1612,57.4542,45.8864,123.197,11.7949,38.925,103.341,92.9494,137.434
1994-10-01,72.1304,435.351,156.435,112.159,69.6868,32.5157,278.916,44.7139,56.4251,45.7781,122.205,11.7605,39.652,102.203,92.3471,136.624
1995-01-01,72.4446,439.413,156.33,111.87,69.4306,32.7121,283.083,44.9533,60.1204,45.8601,121.894,11.7473,39.2144,105.981,92.9346,137.394
1995-04-01,72.5022,445.217,156.729,112.232,69.5089,32.7705,288.488,45.5567,64.1128,46.0461,122.231,11.7265,38.8626,110.159,93.9099,138.407
1995-07-01,72.4812,446.752,153.827,109.502,66.676,32.6042,292.925,45.0991,68.7155,46.2041,119.501,11.7205,39.0322,114.92,93.8748,138.199
1995-10-01,72.3712,452.146,153.483,109.22,66.4996,32.5414,298.664,45.181,72.9025,46.2719,119.236,11.7211,40.0605,119.174,94.2473,138.51
1996-01-01,72.5552,454.56,153.426,109.178,66.2365,32.5659,301.135,46.0689,75.5496,46.0931,119.165,11.6814,39.3684,121.643,94.0545,138.301
1996-04-01,72.192,452.578,151.91,108.315,65.5883,32.1035,300.668,44.9766,77.2677,45.6424,118.14,11.4911,39.58,122.91,93.2014,136.796
1996-07-01,72.1805,452.225,151.752,108.322,65.4097,32.0385,300.473,44.9727,77.3627,45.5562,118.055,11.392,39.383,122.919,93.1981,136.628
1996-10-01,71.9043,455.429,151.177,107.619,64.7775,31.816,304.252,44.7577,80.7404,45.8593,117.717,11.7416,39.7919,126.599,93.1026,136.66
1997-01-01,71.9875,453.935,151.259,107.186,64.4549,31.7727,302.677,44.8622,80.6837,46.3951,117.843,12.3004,37.5836,127.079,93.1516,137.224
1997-04-01,71.4543,463.09,150.298,106.766,64.2175,31.3067,312.792,44.1941,91.6778,46.3447,117.356,12.2254,37.6013,138.023,92.9748,136.507
1997-07-01,71.2851,468.72,149.814,106.355,63.5363,31.0521,318.906,44.1288,97.8224,46.5426,117.13,12.4068,37.7603,144.365,92.6522,136.112
1997-10-01,71.7118,471.498,150.594,106.438,63.7005,31.006,320.905,44.485,97.9254,47.4907,117.965,13.1496,38.3764,145.416,92.627,136.782
1998-01-01,72.4114,485.277,151.339,107.141,64.2671,30.9036,333.939,44.5814,110.336,47.4913,118.803,13.2936,38.5892,157.827,92.9406,137.138
1998-04-01,72.712,489.278,153.097,108.566,65.3126,30.8562,336.182,44.1795,110.727,47.999,120.59,13.6745,39.8921,158.726,93.384,137.914
1998-07-01,72.4387,475.277,153.563,109.299,65.9252,30.6622,321.715,44.2435,95.7105,47.8399,121.242,13.6011,40.6489,143.551,93.2722,137.535
1998-10-01,71.8116,490.347,153.8,109.671,66.1096,30.4902,336.546,45.2468,112.279,47.2184,121.641,13.6395,38.9444,159.497,92.8585,136.989
1999-01-01,71.8118,488.47,154.001,110.387,66.5311,30.4013,334.468,45.1314,112.215,46.1258,121.917,13.2126,38.1882,158.34,92.8083,136.422
1999-04-01,71.3993,495.997,155.651,111.939,67.6008,30.4931,340.346,44.0845,119.96,46.4857,123.455,13.2194,37.0532,166.445,92.7634,136.476
1999-07-01,71.1021,489.246,157.228,113.075,68.2581,30.4616,332.018,43.996,112.083,47.5351,125.058,13.6909,36.1023,159.619,92.3007,136.453
1999-10-01,70.8978,506.04,156.967,113.089,68.4002,30.2125,349.073,44.8595,130.798,47.0046,125.036,13.6653,34.1221,177.803,92.2885,136.166
2000-01-01,71.9805,512.559,159.512,115.881,71.0283,30.4726,353.047,45.5435,136.633,46.1763,127.295,13.1593,32.4572,182.809,92.2367,135.868
2000-04-01,71.4262,502.4,161.412,117.486,72.616,30.2966,340.988,44.2374,127.497,46.7143,129.367,13.6291,31.1556,174.21,91.3848,135.31
2000-07-01,72.3387,506.952,165.433,120.577,74.9251,30.511,341.52,44.4728,125.684,48.2305,133.142,14.344,31.0066,173.915,92.1254,136.981
2000-10-01,72.4113,497.308,168.18,122.982,76.9362,30.6807,329.128,45.7349,110.423,48.4586,135.705,14.517,32.2546,158.882,92.2571,137.455
2001-01-01,73.2885,494.404,174.785,129.297,82.5971,31.0093,319.62,48.6575,97.5184,48.6578,141.949,14.478,31.7025,146.176,93.083,138.57
2001-04-01,72.6814,502.429,176.886,131.384,83.7376,30.935,325.542,48.3738,103.707,49.1754,144.11,14.568,30.9532,152.882,93.3325,138.836
2001-07-01,74.3865,495,180.979,134.962,85.9194,31.2451,314.02,49.5694,86.5397,49.9027,147.863,14.7724,32.9544,136.442,95.0536,141.072
