date,Owner,Renter,Vacant,Occupied
1989-01-01,58.9748,33.405,11.6433,92.3798
1989-04-01,59.2482,33.492,11.6082,92.7403
1989-07-01,59.4727,33.6033,11.6445,93.076
1989-10-01,59.7005,33.7668,11.6583,93.4673
1990-01-01,59.838,33.7972,11.7863,93.6352
1990-04-01,59.9312,33.9218,11.8415,93.853
1990-07-01,60.0718,34.0275,11.9075,94.0992
1990-10-01,60.2482,33.9757,12.059,94.224
1991-01-01,60.4183,34.123,12.068,94.5413
1991-04-01,60.633,34.1572,12.11,94.7903
1991-07-01,60.8287,34.176,12.0988,95.0048
1991-10-01,61.0102,34.2422,12.0233,95.2525
1992-01-01,61.1977,34.3055,11.976,95.5032
1992-04-01,61.3845,34.4318,11.953,95.8162
1992-07-01,61.5498,34.5095,11.878,96.0593
1992-10-01,61.8227,34.568,11.9258,96.3907
1993-01-01,62.0315,34.6277,11.9695,96.6593
1993-04-01,62.292,34.5722,11.9672,96.8642
1993-07-01,62.6625,34.619,11.9802,97.2815
1993-10-01,62.9978,34.73,11.9883,97.7278
1994-01-01,63.0607,34.8975,12.0102,97.9583
1994-04-01,63.0735,35.1347,12.0527,98.2083
1994-07-01,63.061,35.3552,12.171,98.4163
1994-10-01,63.136,35.5568,12.2583,98.6928
1995-01-01,63.518,35.6225,12.3347,99.1405
1995-04-01,64.014,35.542,12.4875,99.556
1995-07-01,64.3875,35.4053,12.5668,99.7927
1995-10-01,64.7395,35.2458,12.6695,99.9852
1996-01-01,65.0902,35.07,12.7193,100.16
1996-04-01,65.46,34.9877,12.7978,100.448
1996-07-01,65.8107,34.9485,12.9872,100.759
1996-10-01,66.0413,34.9432,13.154,100.984
1997-01-01,66.3023,34.9898,13.298,101.292
1997-04-01,66.539,34.994,13.4358,101.533
1997-07-01,66.856,35.0052,13.425,101.861
1997-10-01,67.1428,35.0585,13.4192,102.201
1998-01-01,67.5092,35.038,13.4998,102.547
1998-04-01,67.8225,35.0935,13.5508,102.916
1998-07-01,68.2193,34.9615,13.677,103.181
1998-10-01,68.6375,34.896,13.7485,103.534
1999-01-01,69.0563,34.821,13.8235,103.877
1999-04-01,69.4245,34.7775,13.9735,104.202
1999-07-01,69.7578,34.8563,14.1182,104.614
1999-10-01,70.0973,34.8295,14.115,104.927
2000-01-01,70.363,34.7717,14.072,105.135
2000-04-01,70.5975,34.6562,13.9983,105.254
2000-07-01,70.8877,34.531,13.8808,105.419
2000-10-01,71.2505,34.47,13.9083,105.721
2001-01-01,71.0512,34.21,13.928,105.261
2001-04-01,70.857,33.933,13.9755,104.79
2001-07-01,70.6988,33.698,13.9763,104.397
2001-10-01,70.5298,33.4183,14.0478,103.948
2002-01-01,70.8065,33.457,14.1605,104.263
2002-04-01,71.1005,33.6292,14.1185,104.73
2002-07-01,71.2777,33.7767,14.2172,105.055
2002-10-01,71.517,33.8028,14.3808,105.32
2003-01-01,71.756,33.8552,14.5222,105.611
2003-04-01,71.9887,33.8008,14.7815,105.79
2003-07-01,72.2018,33.7233,15.0892,105.925
2003-10-01,72.4278,33.6838,15.355,106.112
2004-01-01,72.7505,33.5742,15.6017,106.325
2004-04-01,73.2553,33.3272,15.8105,106.582
2004-07-01,73.7398,33.3088,15.821,107.049
2004-10-01,74.2752,33.3308,15.7477,107.606
2005-01-01,74.7735,33.364,15.711,108.138
2005-04-01,74.946,33.7007,15.7065,108.647
2005-07-01,75.1903,33.9075,15.7632,109.098
2005-10-01,75.4117,34.0725,15.8788,109.484
2006-01-01,75.4972,34.3588,16.0003,109.856
2006-04-01,75.791,34.4408,16.1133,110.232
2006-07-01,76.026,34.4665,16.3347,110.493
2006-10-01,76.1322,34.564,16.6025,110.696
2007-01-01,76.1548,34.6325,16.975,110.787
2007-04-01,76.1497,34.833,17.2335,110.983
2007-07-01,75.9985,35.1022,17.5535,111.101
2007-10-01,75.7925,35.465,17.8075,111.257
2008-01-01,75.7385,35.672,18.037,111.41
2008-04-01,75.7382,35.737,18.3255,111.475
2008-07-01,75.7892,35.858,18.476,111.647
2008-10-01,75.7255,35.9468,18.7417,111.672
2009-01-01,75.6718,36.1345,18.8655,111.806
2009-04-01,75.6363,36.383,18.8783,112.019
2009-07-01,75.617,36.5127,18.9645,112.13
2009-10-01,75.635,36.6602,18.9728,112.295
2010-01-01,75.692,36.7627,18.97,112.455
2010-04-01,75.594,36.929,19.0375,112.523
2010-07-01,75.4917,37.1715,19.0218,112.663
2010-10-01,75.4617,37.4417,18.908,112.903
2011-01-01,75.366,37.692,18.876,113.058
2011-04-01,75.1893,38.0365,18.8313,113.226
2011-07-01,75.1202,38.26,18.7987,113.38
2011-10-01,75.0973,38.4472,18.7583,113.544
2012-01-01,74.977,38.8245,18.6277,113.802
2012-04-01,75.0122,38.997,18.5467,114.009
2012-07-01,74.9748,39.3297,18.3833,114.305
2012-10-01,74.961,39.5988,18.2707,114.56
2013-01-01,74.957,39.7608,18.2665,114.718
2013-04-01,74.971,40.0007,18.178,114.972
2013-07-01,75.024,40.1165,18.185,115.141
2013-10-01,75.0637,40.224,18.222,115.288
2014-01-01,75.1428,40.3385,18.2205,115.481
2014-04-01,75.1702,40.4982,18.234,115.668
2014-07-01,75.052,40.8257,18.2323,115.878
2014-10-01,75.0125,41.3588,17.9495,116.371
2015-01-01,74.9657,41.8575,17.7117,116.823
2015-04-01,74.8795,42.3708,17.5018,117.25
2015-07-01,74.9253,42.7115,17.3367,117.637
2015-10-01,74.9843,42.797,17.4198,117.781
2016-01-01,75.0498,42.901,17.4838,117.951
2016-04-01,75.0632,43.155,17.456,118.218
2016-07-01,75.2255,43.3252,17.3685,118.551
2016-10-01,75.3427,43.4485,17.3785,118.791
2017-01-01,75.5845,43.5555,17.285,119.14
2017-04-01,75.919,43.39,17.3773,119.309
2017-07-01,76.1295,43.3147,17.5083,119.444
2017-10-01,76.5335,43.3095,17.3798,119.843
2018-01-01,76.8975,43.253,17.3483,120.15
2018-04-01,77.345,43.2295,17.204,120.575
2018-07-01,77.7255,43.2482,17.0882,120.974
2018-10-01,78.157,43.2105,16.9803,121.368
2019-01-01,78.4365,43.329,16.8693,121.766
2019-04-01,78.5835,43.4785,16.862,122.062
2019-07-01,78.9283,43.4712,16.8163,122.4
2019-10-01,79.2525,43.5097,16.749,122.762
2020-01-01,79.934,43.3623,16.5392,123.296
2020-04-01,81.8307,42.5785,15.7508,124.409
2020-07-01,83.3355,42.095,15.0527,125.43
2020-10-01,83.8838,42.036,14.8837,125.92
2021-01-01,84.2138,42.0943,14.7875,126.308
2021-04-01,83.3342,42.8173,15.228,126.151
2021-07-01,82.7113,43.4935,15.4627,126.205
2021-10-01,82.8787,43.7323,15.3473,126.611
2022-01-01,83.0897,43.9288,15.234,127.019
2022-04-01,83.5155,43.9618,15.1457,127.477
2022-07-01,83.9615,43.8638,15.176,127.825
2022-10-01,84.398,43.9188,15.0708,128.317
2023-01-01,84.8525,43.8792,15.0497,128.732
2023-04-01,85.2442,44.0153,14.9905,129.26
2023-07-01,85.5648,44.2145,14.957,129.779
2023-10-01,85.8137,44.4177,15.0087,130.232
2024-01-01,86.0168,44.6793,15.0663,130.696
2024-04-01,86.1363,44.888,15.1107,131.024
2024-07-01,86.2878,45.1685,15.0465,131.456
2024-10-01,86.4685,45.2878,15.1098,131.756
2025-01-01,86.477,45.565,15.1817,132.042
2025-04-01,86.452,45.865,15.2332,132.317
2025-07-01,86.5275,46.0307,15.3097,132.558
2025-10-01,86.7433,46.132,15.316,132.875
2026-01-01,87.0378,46.204,15.2495,133.242
