date,Owner,Renter,Vacant
1988-01-01,58158.0,33134.0,11617.0
1988-04-01,58518.0,33371.0,11882.0
1988-07-01,59055.0,33213.0,11750.0
1988-10-01,58871.0,33450.0,11282.0
1989-01-01,59519.0,33590.0,12088.0
1989-04-01,59678.0,33792.0,12221.0
1989-07-01,60056.0,33707.0,12524.0
1989-10-01,59782.0,34104.0,11337.0
1990-01-01,60005.0,33708.0,12171.0
1990-04-01,59985.0,34217.0,11963.0
1990-07-01,60515.0,34081.0,12159.0
1990-10-01,60488.0,33897.0,11943.0
1991-01-01,60685.0,34297.0,12207.0
1991-04-01,60844.0,34354.0,12131.0
1991-07-01,61298.0,34156.0,12114.0
1991-10-01,61214.0,34162.0,11641.0
1992-01-01,61435.0,34550.0,12018.0
1992-04-01,61591.0,34859.0,12039.0
1992-07-01,61959.0,34467.0,11814.0
1992-10-01,62306.0,34396.0,11832.0
1993-01-01,61784.0,35267.0,12117.0
1993-04-01,62169.0,35079.0,11937.0
1993-07-01,63441.0,34654.0,11866.0
1993-10-01,63647.0,34840.0,11864.0
1994-01-01,62522.0,35459.0,12281.0
1994-04-01,62684.0,35586.0,12200.0
1994-07-01,63391.0,35536.0,12339.0
1994-10-01,63947.0,35646.0,12213.0
1995-01-01,64050.0,35722.0,12587.0
1995-04-01,64668.0,35264.0,12811.0
1995-07-01,64885.0,34989.0,12656.0
1995-10-01,65355.0,35008.0,12624.0
1996-01-01,65453.0,35019.0,12786.0
1996-04-01,66147.0,34935.0,13125.0
1996-07-01,66288.0,34832.0,13414.0
1996-10-01,66277.0,34987.0,13291.0
1997-01-01,66497.0,35205.0,13362.0
1997-04-01,67094.0,34952.0,13676.0
1997-07-01,67556.0,34877.0,13371.0
1997-10-01,67424.0,35200.0,13268.0
1998-01-01,67963.0,35123.0,13684.0
1998-04-01,68347.0,35174.0,13880.0
1998-07-01,69143.0,34349.0,13876.0
1998-10-01,69097.0,34938.0,13554.0
1999-01-01,69638.0,34823.0,13984.0
1999-04-01,69820.0,35000.0,14480.0
1999-07-01,70476.0,34664.0,14455.0
1999-10-01,70455.0,34831.0,13541.0
2000-01-01,70701.0,34592.0,13812.0
2000-04-01,70758.0,34538.0,14185.0
2000-07-01,71637.0,34163.0,13985.0
2000-10-01,71906.0,34587.0,13651.0
2001-01-01,69904.0,33552.0,13891.0
2001-04-01,69981.0,33430.0,14375.0
2001-07-01,71004.0,33223.0,13988.0
2001-10-01,71230.0,33468.0,13937.0
2002-01-01,71011.0,33707.0,14342.0
2002-04-01,71157.0,34119.0,14207.0
2002-07-01,71713.0,33813.0,14383.0
2002-10-01,72187.0,33572.0,14591.0
2003-01-01,71967.0,33917.0,14908.0
2003-04-01,72088.0,33901.0,15244.0
2003-07-01,72565.0,33503.0,15614.0
2003-10-01,73091.0,33414.0,15654.0
2004-01-01,73258.0,33479.0,15895.0
2004-04-01,74107.0,32913.0,16079.0
2004-07-01,74503.0,33429.0,15656.0
2004-10-01,75233.0,33502.0,15361.0
2005-01-01,75251.0,33612.0,15748.0
2005-04-01,74797.0,34260.0,16061.0
2005-07-01,75480.0,34256.0,15883.0
2005-10-01,76119.0,34162.0,15823.0
2006-01-01,75593.0,34757.0,16234.0
2006-04-01,75972.0,34588.0,16513.0
2006-07-01,76420.0,34359.0,16769.0
2006-10-01,76544.0,34552.0,16894.0
2007-01-01,75683.0,35031.0,17724.0
2007-04-01,75952.0,35390.0,17547.0
2007-07-01,75815.0,35436.0,18049.0
2007-10-01,75720.0,36003.0,17910.0
2008-01-01,75467.0,35859.0,18642.0
2008-04-01,75951.0,35650.0,18701.0
2008-07-01,76019.0,35920.0,18651.0
2008-10-01,75465.0,36358.0,18973.0
2009-01-01,75252.0,36610.0,19137.0
2009-04-01,75809.0,36644.0,18752.0
2009-07-01,75942.0,36439.0,18996.0
2009-10-01,75537.0,36948.0,19006.0
2010-01-01,75480.0,37020.0,19126.0
2010-04-01,75417.0,37309.0,19022.0
2010-07-01,75533.0,37409.0,18933.0
2010-10-01,75417.0,38029.0,18551.0
2011-01-01,75097.0,38021.0,18998.0
2011-04-01,74710.0,38687.0,18843.0
2011-07-01,75257.0,38303.0,18803.0
2011-10-01,75325.0,38778.0,18389.0
2012-01-01,74616.0,39530.0,18476.0
2012-04-01,74851.0,39377.0,18519.0
2012-07-01,75107.0,39634.0,18149.0
2012-10-01,75270.0,39854.0,17939.0
2013-01-01,74600.0,40178.0,18459.0
2013-04-01,74907.0,40337.0,18165.0
2013-07-01,75319.0,40097.0,18177.0
2013-10-01,75429.0,40284.0,18087.0
2014-01-01,74916.0,40636.0,18453.0
2014-04-01,75017.0,40976.0,18219.0
2014-07-01,74846.0,41407.0,18170.0
2014-10-01,75271.0,42416.0,16956.0
2015-01-01,74729.0,42631.0,17502.0
2015-04-01,74672.0,43029.0,17379.0
2015-07-01,75029.0,42770.0,17510.0
2015-10-01,75507.0,42758.0,17288.0
2016-01-01,74991.0,43047.0,17758.0
2016-04-01,74726.0,44045.0,17268.0
2016-07-01,75678.0,43451.0,17160.0
2016-10-01,75976.0,43251.0,17328.0
2017-01-01,75958.0,43475.0,17384.0
2017-04-01,76064.0,43383.0,17637.0
2017-07-01,76520.0,43150.0,17684.0
2017-10-01,77592.0,43230.0,16814.0
2018-01-01,77414.0,43249.0,17258.0
2018-04-01,77854.0,43289.0,17060.0
2018-07-01,78042.0,43225.0,17221.0
2018-10-01,79318.0,43079.0,16382.0
2019-01-01,78532.0,43723.0,16814.0
2019-04-01,78442.0,43887.0,17031.0
2019-07-01,79421.0,43196.0,17038.0
2019-10-01,80615.0,43233.0,16113.0
2020-01-01,81205.0,43094.0,15967.0
2020-04-01,85982.0,40718.0,13872.0
2020-07-01,85403.0,41233.0,14242.0
2020-10-01,82778.0,42971.0,15434.0
2021-01-01,82578.0,43366.0,15590.0
2021-04-01,82511.0,43644.0,15639.0
2021-07-01,82948.0,43967.0,15185.0
2021-10-01,83478.0,43952.0,14975.0
