date,TOTCES,TOTLFS,SERVNSA,SERVSA,PNS,PTECONNSA,PTECONSA,CPSAUTH,TOTLFS_3MA,PTECONSA_3MA,PNS_3MA,TOTCES_3MA
1989-01-01,,39.4,,,34.7,22.2,22.2432,37.4171,39.3,22.0298,34.6,
1989-02-01,,39.4,,,34.5,21.9,22.0293,37.4282,39.3667,22.1652,34.5667,
1989-03-01,,39.4,,,34.5,22.5,22.214,37.4375,39.4,22.1622,34.5667,
1989-04-01,,39.2,,,34.6,22.1,22.0598,37.4473,39.3333,22.101,34.5333,
1989-05-01,,39.4,,,34.4,22.3,22.1689,37.4568,39.3333,22.1475,34.5,
1989-06-01,,39.4,,,34.4,22.1,22.3677,37.466,39.3333,22.1988,34.4667,
1989-07-01,,39.5,,,34.5,22.2,22.228,37.4761,39.4333,22.2548,34.4333,
1989-08-01,,39.6,,,34.5,22.2,22.2899,37.4839,39.5,22.2952,34.4667,
1989-09-01,,39.6,,,34.4,22.2,22.258,37.4891,39.5667,22.2586,34.4667,
1989-10-01,,39.6,,,34.6,22.5,22.2634,37.4911,39.6,22.2704,34.5,
1989-11-01,,39.6,,,34.4,22.5,22.4353,37.4902,39.6,22.3189,34.4667,
1989-12-01,,39.5,,,34.3,22.2,22.3187,37.4882,39.5667,22.3392,34.4333,
1990-01-01,,39.5,,,34.5,22.6,22.6659,37.4861,39.5333,22.4733,34.4,
1990-02-01,,39.5,,,34.4,22.5,22.6259,37.485,39.5,22.5368,34.4,
1990-03-01,,39.4,,,34.4,22.7,22.4743,37.4851,39.4667,22.5887,34.4333,
1990-04-01,,39.4,,,34.2,22.6,22.5607,37.4854,39.4333,22.5536,34.3333,
1990-05-01,,39.2,,,34.3,22.6,22.448,37.485,39.3333,22.4943,34.3,
1990-06-01,,39.5,,,34.4,22.2,22.4362,37.4828,39.3667,22.4816,34.3,
1990-07-01,,39.4,,,34.2,22.6,22.6228,37.478,39.3667,22.5023,34.3,
1990-08-01,,39.4,,,34.3,22.3,22.3764,37.469,39.4333,22.4784,34.3,
1990-09-01,,39.4,,,34.2,22.5,22.5046,37.454,39.4,22.5012,34.2333,
1990-10-01,,39.3,,,34.1,22.4,22.1903,37.4324,39.3667,22.3571,34.2,
1990-11-01,,39.4,,,34.2,22.6,22.5675,37.4051,39.3667,22.4208,34.1667,
1990-12-01,,39.3,,,34.2,22.3,22.4032,37.3742,39.3333,22.387,34.1667,
1991-01-01,,39.2,,,34.1,22.2,22.2978,37.342,39.3,22.4229,34.1667,
1991-02-01,,39.2,,,34.1,22.8,22.9145,37.3108,39.2333,22.5385,34.1333,
1991-03-01,,39.1,,,34.1,22.8,22.6572,37.2831,39.1667,22.6232,34.1,
1991-04-01,,38.9,,,34,22.3,22.2339,37.2615,39.0667,22.6019,34.0667,
1991-05-01,,39.1,,,34.1,22.6,22.4396,37.2484,39.0333,22.4436,34.0667,
1991-06-01,,39.1,,,34.1,21.9,22.0931,37.2446,39.0333,22.2555,34.0667,
1991-07-01,,39.1,,,34.1,22.3,22.3108,37.2493,39.1,22.2812,34.1,
1991-08-01,,39.2,,,34.1,22.3,22.346,37.2615,39.1333,22.25,34.1,
1991-09-01,,39.1,,,34.1,22.5,22.4634,37.2797,39.1333,22.3734,34.1,
1991-10-01,,39.2,,,34.1,22.8,22.6248,37.3019,39.1667,22.4781,34.1,
1991-11-01,,39.1,,,34.1,22.3,22.3235,37.3258,39.1333,22.4706,34.1,
1991-12-01,,39,,,34.1,22.3,22.374,37.3481,39.1,22.4408,34.1,
1992-01-01,,39.2,,,34.1,22.2,22.3453,37.3661,39.1,22.3476,34.1,
1992-02-01,,39.3,,,34.1,22.2,22.3049,37.3775,39.1667,22.3414,34.1,
1992-03-01,,39.3,,,34.1,22.2,22.1117,37.3809,39.2667,22.2539,34.1,
1992-04-01,,39.2,,,34.3,22.4,22.3042,37.3764,39.2667,22.2402,34.1667,
1992-05-01,,39.2,,,34.3,22.6,22.4453,37.3658,39.2333,22.287,34.2333,
1992-06-01,,39.2,,,34.2,22.3,22.4465,37.3511,39.2,22.3986,34.2667,
1992-07-01,,39.2,,,34.2,22.2,22.2114,37.3359,39.2,22.3677,34.2333,
1992-08-01,,39.1,,,34.2,22.4,22.3994,37.3239,39.1667,22.3524,34.2,
1992-09-01,,39,,,34.3,21.8,21.7136,37.3183,39.1,22.1082,34.2333,
1992-10-01,,39.2,,,34.2,22.4,22.255,37.3207,39.1,22.1227,34.2333,
1992-11-01,,39.2,,,34.2,22.2,22.2985,37.33,39.1333,22.089,34.2333,
1992-12-01,,39.2,,,34.2,22.1,22.147,37.3448,39.2,22.2335,34.2,
1993-01-01,,39.2,,,34.3,22,22.21,37.3622,39.2,22.2185,34.2333,
1993-02-01,,39.3,,,34.3,22.1,22.1867,37.3806,39.2333,22.1813,34.2667,
1993-03-01,,39.3,,,34.1,22.2,22.1474,37.3989,39.2667,22.1814,34.2333,
1993-04-01,,39.4,,,34.4,22.7,22.5583,37.4166,39.3333,22.2975,34.2667,
1993-05-01,,39.4,,,34.3,22.5,22.3694,37.4328,39.3667,22.3584,34.2667,
1993-06-01,,39.3,,,34.3,22.2,22.2942,37.447,39.3667,22.4073,34.3333,
1993-07-01,,39.3,,,34.4,22.5,22.5221,37.4596,39.3333,22.3952,34.3333,
1993-08-01,,39.4,,,34.3,22.3,22.2415,37.4715,39.3333,22.3526,34.3333,
1993-09-01,,39.4,,,34.4,22.7,22.6044,37.4837,39.3667,22.456,34.3667,
1993-10-01,,39.4,,,34.4,22.4,22.2657,37.4963,39.4,22.3705,34.3667,
1993-11-01,,39.4,,,34.4,22.3,22.4579,37.5091,39.4,22.4426,34.4,
1993-12-01,,39.5,,,34.5,22.7,22.7286,37.5211,39.4333,22.484,34.4333,
1994-01-01,,39,,,34.4,22.6,22.885,37.5303,39.3,22.6905,34.4333,
1994-02-01,,38.4,,,34.2,22,22.0513,37.5348,38.9667,22.5549,34.3667,
1994-03-01,,39.2,,,34.5,22.6,22.5577,37.5339,38.8667,22.498,34.3667,
1994-04-01,,39.6,,,34.5,22.8,22.6153,37.5275,39.0667,22.4081,34.4,
1994-05-01,,39.3,,,34.5,22.6,22.5008,37.5168,39.3667,22.5579,34.5,
1994-06-01,,39.3,,,34.5,22.6,22.6679,37.5037,39.4,22.5946,34.5,
1994-07-01,,39.3,,,34.6,22.6,22.638,37.4909,39.3,22.6022,34.5333,
1994-08-01,,39.2,,,34.5,22.8,22.7015,37.4792,39.2667,22.6691,34.5333,
1994-09-01,,39.2,,,34.5,22.5,22.3991,37.4691,39.2333,22.5795,34.5333,
1994-10-01,,39.2,,,34.5,22.8,22.6724,37.4616,39.2,22.591,34.5,
1994-11-01,,38.9,,,34.5,22.3,22.484,37.4575,39.1,22.5185,34.5,
1994-12-01,,39.3,,,34.5,22.8,22.8253,37.4571,39.1333,22.6606,34.5,
1995-01-01,,39.3,,,34.5,22.6,22.9379,37.4621,39.1667,22.7491,34.5,
1995-02-01,,39.1,,,34.4,22.8,22.8009,37.4734,39.2333,22.8547,34.4667,
1995-03-01,,39.2,,,34.4,23.1,23.0512,37.4902,39.2,22.93,34.4333,
1995-04-01,,39.2,,,34.2,22.8,22.576,37.511,39.1667,22.8094,34.3333,
1995-05-01,,39.1,,,34.2,23,22.9311,37.5347,39.1667,22.8527,34.2667,
1995-06-01,,39.3,,,34.3,23,23.0764,37.5607,39.2,22.8611,34.2333,
1995-07-01,,39.3,,,34.3,22.8,22.8564,37.587,39.2333,22.9546,34.2667,
1995-08-01,,39.3,,,34.3,23.3,23.2073,37.6119,39.3,23.0467,34.3,
1995-09-01,,39.2,,,34.3,23.2,23.1219,37.6334,39.2667,23.0618,34.3,
1995-10-01,,39.3,,,34.2,23,22.8478,37.6496,39.2667,23.059,34.2667,
1995-11-01,,39.4,,,34.3,22.6,22.7531,37.6598,39.3,22.9076,34.2667,
1995-12-01,,39.3,,,34.2,22.6,22.6307,37.664,39.3333,22.7439,34.2333,
1996-01-01,,37.8,,,33.8,22.2,22.5909,37.664,38.8333,22.6582,34.1,
1996-02-01,,39.4,,,34.3,22.8,22.7438,37.6629,38.8333,22.6552,34.1,
1996-03-01,,39.3,,,34.3,22.8,22.729,37.6632,38.8333,22.6879,34.1333,
1996-04-01,,39.3,,,34.2,22.9,22.6721,37.6659,39.3333,22.715,34.2667,
1996-05-01,,39.3,,,34.3,22.7,22.6187,37.6711,39.3,22.6733,34.2667,
1996-06-01,,39.3,,,34.4,22.7,22.8091,37.678,39.3,22.7,34.3,
1996-07-01,,39.2,,,34.3,22.7,22.7964,37.685,39.2667,22.7414,34.3333,
1996-08-01,,39.3,,,34.4,22.8,22.7533,37.693,39.2667,22.7863,34.3667,
1996-09-01,,39.4,,,34.4,22.8,22.7219,37.7028,39.3,22.7572,34.3667,
1996-10-01,,39.5,,,34.4,23,22.8105,37.7137,39.4,22.7619,34.4,
1996-11-01,,39.5,,,34.4,22.7,22.7959,37.7255,39.4667,22.7761,34.4,
1996-12-01,,39.3,,,34.4,22.8,22.8501,37.7394,39.4333,22.8188,34.4,
1997-01-01,,39.1,,,34.3,22.2,22.6019,37.756,39.3,22.7493,34.3667,
1997-02-01,,39.3,,,34.4,23.2,23.1283,37.7735,39.2333,22.8601,34.3667,
1997-03-01,,39.4,,,34.5,22.8,22.7186,37.7909,39.2667,22.8163,34.4,
1997-04-01,,39.3,,,34.5,23.2,22.9733,37.8084,39.3333,22.9401,34.4667,
1997-05-01,,39.5,,,34.6,23,22.8674,37.8249,39.4,22.8531,34.5333,
1997-06-01,,39.5,,,34.3,22.7,22.8384,37.8383,39.4333,22.893,34.4667,
1997-07-01,,39.4,,,34.5,22.9,23.0423,37.8471,39.4667,22.916,34.4667,
1997-08-01,,39.4,,,34.6,23.2,23.2168,37.8491,39.4333,23.0325,34.4667,
1997-09-01,,39.5,,,34.6,23.1,23.0483,37.8435,39.4333,23.1024,34.5667,
1997-10-01,,39.4,,,34.6,23.3,23.069,37.8331,39.4333,23.1114,34.6,
1997-11-01,,39.4,,,34.5,23.1,23.12,37.8209,39.4333,23.0791,34.5667,
1997-12-01,,39.5,,,34.6,23,23.0669,37.8101,39.4333,23.0853,34.5667,
1998-01-01,,39.6,,,34.6,22.8,23.1908,37.8028,39.5,23.1259,34.5667,
1998-02-01,,39.5,,,34.5,23,22.9518,37.8004,39.5333,23.0698,34.5667,
1998-03-01,,39.4,,,34.4,23.1,23.0089,37.8019,39.5,23.0505,34.5,
1998-04-01,,39.5,,,34.4,23.2,22.9625,37.8059,39.4667,22.9744,34.4333,
1998-05-01,,39.5,,,34.5,23,22.8201,37.8106,39.4667,22.9305,34.4333,
1998-06-01,,39.4,,,34.4,22.5,22.6612,37.8158,39.4667,22.8146,34.4333,
1998-07-01,,39.6,,,34.5,23.1,23.2729,37.8212,39.5,22.918,34.4667,
1998-08-01,,39.5,,,34.5,22.4,22.493,37.8273,39.5,22.809,34.4667,
1998-09-01,,39.1,,,34.4,22.3,22.2655,37.8335,39.4,22.6771,34.4667,
1998-10-01,,39.5,,,34.5,23.2,22.9358,37.8396,39.3667,22.5648,34.4667,
1998-11-01,,39.5,,,34.4,23.1,23.0505,37.8459,39.3667,22.7506,34.4333,
1998-12-01,,39.8,,,34.5,23.4,23.465,37.8519,39.6,23.1504,34.4667,
1999-01-01,,39.4,,,34.4,22.4,22.7348,37.8558,39.5667,23.0834,34.4333,
1999-02-01,,39.6,,,34.5,23.2,23.2417,37.8582,39.6,23.1472,34.4667,
1999-03-01,,39.5,,,34.3,23.1,23.0032,37.8597,39.5,22.9932,34.4,
1999-04-01,,39.6,,,34.4,23.1,22.8519,37.862,39.5667,23.0322,34.4,
1999-05-01,,39.5,,,34.3,23.6,23.4124,37.8663,39.5333,23.0891,34.3333,
1999-06-01,,39.6,,,34.4,23.1,23.2534,37.8738,39.5667,23.1726,34.3667,
1999-07-01,,39.5,,,34.4,22.9,23.0989,37.8864,39.5333,23.2549,34.3667,
1999-08-01,,39.6,,,34.4,22.9,23.0349,37.9037,39.5667,23.1291,34.4,
1999-09-01,,39.1,,,34.3,23.3,23.2715,37.9263,39.4,23.1351,34.3667,
1999-10-01,,39.6,,,34.4,23.4,23.0808,37.9523,39.4333,23.129,34.3667,
1999-11-01,,39.7,,,34.4,23.2,23.1093,37.979,39.4667,23.1539,34.3667,
1999-12-01,,39.7,,,34.4,23.1,23.1646,38.0028,39.6667,23.1182,34.4,
2000-01-01,,39.7,34.8,35.357,34.4,23.2,23.505,38.0217,39.7,23.2597,34.4,
2000-02-01,,39.9,34.9,35.5009,34.4,23,23.1365,38.0343,39.7667,23.2687,34.4,
2000-03-01,,39.7,35.2,35.4401,34.4,23.3,23.1976,38.0392,39.7667,23.2797,34.4,
2000-04-01,,39.8,35.2,35.4345,34.4,24.1,23.8765,38.0357,39.8,23.4035,34.4,
2000-05-01,,39.7,35.5,35.4128,34.3,23.6,23.425,38.0245,39.7333,23.4997,34.3667,
2000-06-01,,39.5,36.1,35.4975,34.3,23,23.1084,38.0061,39.6667,23.4699,34.3333,
2000-07-01,,39.7,36.4,35.5382,34.3,22.9,23.1193,37.9809,39.6333,23.2176,34.3,
2000-08-01,,39.6,36.2,35.4111,34.2,23.2,23.332,37.9507,39.6,23.1866,34.2667,
2000-09-01,,39.7,35.6,35.5196,34.3,23,22.9341,37.9179,39.6667,23.1285,34.2667,
2000-10-01,,39.6,35.1,35.2266,34.2,23.1,22.7363,37.8853,39.6333,23.0008,34.2333,
2000-11-01,,39.6,35.2,35.5535,34.2,23.9,23.8103,37.8551,39.6333,23.1602,34.2333,
2000-12-01,,39.5,35.1,35.4163,34,23.1,23.1579,37.8287,39.5667,23.2348,34.1333,
2001-01-01,,39.5,34.9,35.4452,34.2,23,23.2873,37.805,39.5333,23.4185,34.1333,
2001-02-01,,39.4,34.7,35.2909,34,22.9,23.1429,37.7822,39.4667,23.196,34.0667,
2001-03-01,,39.4,35.2,35.4421,34.1,23.6,23.4962,37.759,39.4333,23.3088,34.1,
2001-04-01,,39.4,35,35.2244,34,23.7,23.5121,37.7358,39.4,23.3837,34.0333,
2001-05-01,,39.4,35.4,35.3184,34,23.2,23.0568,37.7114,39.4,23.355,34.0333,
2001-06-01,,39.4,36,35.4228,34,23.2,23.2505,37.686,39.4,23.2732,34,
2001-07-01,,39.4,36.2,35.3571,34,23.2,23.4382,37.6598,39.4,23.2485,34,
2001-08-01,,39.3,36.2,35.4022,33.9,22.9,22.976,37.633,39.3667,23.2216,33.9667,
