date,AverageHours,TOTLFS,TOTCES,CPSAUTH
2022-01-01,99.838,99.814,100.605,99.325
2022-04-01,99.605,99.643,100.508,99.212
2022-07-01,99.533,99.385,100.412,98.983
2022-10-01,99.194,99.214,100.218,98.821
2023-01-01,99.311,99.3,100.218,98.809
2023-04-01,99.089,99.128,99.927,98.845
2023-07-01,98.891,98.957,99.831,98.783
2023-10-01,98.649,98.785,99.831,98.562
2024-01-01,98.256,98.442,99.734,98.336
2024-04-01,98.28,98.442,99.54,98.251
2024-07-01,98.511,98.442,99.54,98.29
2024-10-01,98.427,98.442,99.54,98.369
2025-01-01,98.298,98.528,99.25,98.412
2025-04-01,98.349,98.442,99.443,98.443
2025-07-01,98.472,98.271,99.346,98.504
2025-10-01,98.343,98.528,99.443,98.608
2026-01-01,,98.785,99.54,98.711
2026-04-01,,98.528,99.637,98.756
