date,AverageHours,TOTLFS,TOTCES,CPSAUTH
2022-01-01,99.811,99.814,100.508,99.139
2022-04-01,99.607,99.643,100.605,99.066
2022-07-01,99.544,99.385,100.315,98.93
2022-10-01,99.197,99.214,100.218,98.848
2023-01-01,99.236,99.3,100.121,98.857
2023-04-01,99.104,99.128,99.927,98.86
2023-07-01,98.888,98.957,99.831,98.741
2023-10-01,98.66,98.785,99.831,98.503
2024-01-01,98.184,98.442,99.637,98.295
2024-04-01,98.277,98.442,99.54,98.229
2024-07-01,98.456,98.442,99.443,98.283
2024-10-01,98.438,98.442,99.54,98.373
2025-01-01,98.373,98.528,99.346,98.411
2025-04-01,98.379,98.442,99.54,98.43
2025-07-01,,98.142,99.346,98.468
