date,USA,USA3M
1991-01-01,,
1991-02-01,,
1991-03-01,,
1991-04-01,,
1991-05-01,,
1991-06-01,,0.412693
1991-07-01,,0.265816
1991-08-01,,0.332419
1991-09-01,,0.412268
1991-10-01,,0.625092
1991-11-01,,2.0457
1991-12-01,,3.62989
1992-01-01,2.24,4.89649
1992-02-01,2.50871,5.55126
1992-03-01,2.32882,5.06298
1992-04-01,2.23263,3.71609
1992-05-01,2.19145,1.15114
1992-06-01,1.9996,-0.440785
1992-07-01,2.30731,-0.479095
1992-08-01,2.93883,0.977653
1992-09-01,3.07096,2.91741
1992-10-01,3.08134,4.07392
1992-11-01,2.8394,4.38476
1992-12-01,2.28678,3.47771
1993-01-01,1.98552,2.23006
1993-02-01,1.06827,0.642444
1993-03-01,1.52694,0.204911
1993-04-01,2.39836,0.885277
1993-05-01,2.60259,2.74081
1993-06-01,3.01375,4.12987
1993-07-01,2.7316,3.97511
1993-08-01,2.6517,3.46344
1993-09-01,2.64198,2.93124
1993-10-01,2.51826,3.35192
1993-11-01,2.58844,3.5113
1993-12-01,3.17597,3.82488
1994-01-01,3.36626,3.99353
1994-02-01,3.79552,4.07173
1994-03-01,3.83178,3.77585
1994-04-01,3.49424,3.50761
1994-05-01,3.61961,3.5473
1994-06-01,3.43685,3.53777
1994-07-01,3.49167,3.2123
1994-08-01,3.3657,2.6004
1994-09-01,3.06247,2.09565
1994-10-01,3.12207,2.02936
1994-11-01,3.00906,2.05055
1994-12-01,2.50163,2.10945
1995-01-01,2.54222,1.99446
1995-02-01,2.86984,2.3605
1995-03-01,2.37107,2.64044
1995-04-01,2.31831,2.84584
1995-05-01,2.11791,2.06486
1995-06-01,2.28833,2.1213
1995-07-01,2.65155,2.54417
1995-08-01,2.67238,3.68334
1995-09-01,2.82563,4.00679
1995-10-01,2.60024,3.41803
1995-11-01,2.59457,2.59174
1995-12-01,3.03938,2.22174
1996-01-01,3.13066,2.88074
1996-02-01,2.72678,3.52916
1996-03-01,3.25342,3.81166
1996-04-01,3.23683,3.44909
1996-05-01,3.32196,3.28225
1996-06-01,3.0783,2.81893
1996-07-01,2.93934,2.70501
1996-08-01,2.68278,2.201
1996-09-01,2.72139,2.27951
1996-10-01,2.78245,1.88691
1996-11-01,2.85613,2.14201
1996-12-01,2.72959,2.25487
1997-01-01,2.50044,2.74467
1997-02-01,2.58432,2.79748
1997-03-01,2.62721,2.93157
1997-04-01,2.58666,3.06474
1997-05-01,2.74592,3.47859
1997-06-01,2.68252,3.22453
1997-07-01,2.61313,3.02983
1997-08-01,2.95873,2.59263
1997-09-01,2.8564,2.82934
1997-10-01,3.28477,3.29528
1997-11-01,3.34422,3.78414
1997-12-01,3.3599,4.34033
1998-01-01,3.60353,4.36003
1998-02-01,4.09052,4.89817
1998-03-01,4.01429,5.23565
1998-04-01,4.29578,5.8735
1998-05-01,4.31326,5.58193
1998-06-01,4.93744,5.68077
1998-07-01,4.94139,5.41389
1998-08-01,5.00798,5.59555
1998-09-01,5.5206,5.37638
1998-10-01,5.41736,5.62147
1998-11-01,5.76491,6.20008
1998-12-01,5.9043,6.49595
1999-01-01,6.10542,6.79748
1999-02-01,5.7839,6.3483
1999-03-01,5.91169,6.18344
1999-04-01,5.94221,5.6905
1999-05-01,6.15372,5.86919
1999-06-01,5.97809,6.04611
1999-07-01,6.27561,6.43879
1999-08-01,6.47355,6.5555
1999-09-01,6.09843,6.40369
1999-10-01,6.28712,6.22014
1999-11-01,6.04059,5.79644
1999-12-01,6.09193,5.92526
2000-01-01,6.7274,6.80495
2000-02-01,6.15015,7.07751
2000-03-01,6.48498,7.44711
2000-04-01,6.70765,6.33085
2000-05-01,6.50729,6.84152
2000-06-01,6.7508,6.85101
2000-07-01,6.72161,7.28841
2000-08-01,6.4858,6.89815
2000-09-01,6.83453,6.50516
2000-10-01,6.78686,6.38962
2000-11-01,6.97968,6.65225
2000-12-01,7.08539,7.00327
2001-01-01,6.51492,7.42969
2001-02-01,7.40849,7.62027
2001-03-01,7.14855,7.74059
2001-04-01,7.04205,7.69197
2001-05-01,7.07781,7.18903
2001-06-01,6.85088,6.71446
2001-07-01,6.88629,6.24779
2001-08-01,6.99414,6.18652
2001-09-01,6.88131,6.22947
2001-10-01,6.95549,6.41212
2001-11-01,6.6283,6.29575
2001-12-01,6.68551,6.34563
2002-01-01,6.60274,6.21028
2002-02-01,6.49616,6.70916
2002-03-01,6.6175,7.00076
2002-04-01,6.55186,7.35497
2002-05-01,6.79748,7.43667
2002-06-01,6.95814,7.5083
2002-07-01,7.03917,7.7584
2002-08-01,7.20317,7.83417
2002-09-01,7.31771,7.9002
2002-10-01,7.39678,7.90962
2002-11-01,7.68581,7.89336
2002-12-01,7.77828,8.07736
2003-01-01,7.8386,8.04974
2003-02-01,7.87557,8.16106
2003-03-01,7.53951,7.51766
2003-04-01,7.63889,7.02184
2003-05-01,7.49357,6.34965
2003-06-01,7.32802,6.45675
2003-07-01,7.43699,6.70253
2003-08-01,7.53753,7.34339
2003-09-01,7.74829,8.25709
2003-10-01,7.6283,8.79156
2003-11-01,7.84977,9.1347
2003-12-01,7.9542,9.0311
2004-01-01,7.98975,9.23239
2004-02-01,8.13547,9.30815
2004-03-01,8.5689,9.20608
2004-04-01,8.79179,9.29321
2004-05-01,9.23463,9.69438
2004-06-01,9.83511,10.6754
2004-07-01,9.90778,11.3423
2004-08-01,9.893,11.3924
2004-09-01,9.87003,10.6591
2004-10-01,10.0615,9.91263
2004-11-01,10.1898,9.7813
2004-12-01,10.2443,10.1287
2005-01-01,10.3228,10.4726
2005-02-01,10.2831,10.2741
2005-03-01,10.5615,10.097
2005-04-01,10.6583,10.2851
2005-05-01,10.51,10.8646
2005-06-01,10.3235,11.103
2005-07-01,10.5512,11.1801
2005-08-01,10.5488,10.9845
2005-09-01,10.6933,11.068
2005-10-01,10.4953,10.3804
2005-11-01,10.1926,9.7174
2005-12-01,9.89171,8.51771
2006-01-01,9.80196,8.02377
2006-02-01,9.21007,7.01232
2006-03-01,8.56441,6.14372
2006-04-01,7.79499,4.6116
2006-05-01,7.19567,3.81806
2006-06-01,6.27186,2.77859
2006-07-01,5.14207,1.96587
2006-08-01,4.6769,1.08892
2006-09-01,3.70543,0.748089
2006-10-01,3.22491,1.00183
2006-11-01,2.8773,1.26175
2006-12-01,2.29616,1.60083
2007-01-01,1.9949,2.00613
2007-02-01,1.84579,2.03393
2007-03-01,1.84766,2.46881
2007-04-01,1.66772,2.17795
2007-05-01,0.919665,1.52844
2007-06-01,0.527502,-0.640491
2007-07-01,0.108279,-3.0221
2007-08-01,-0.616423,-4.6487
2007-09-01,-0.97201,-5.22357
2007-10-01,-1.92394,-5.61984
2007-11-01,-2.88199,-6.34426
2007-12-01,-3.4095,-7.26428
2008-01-01,-4.55926,-7.72754
2008-02-01,-5.18257,-7.81583
2008-03-01,-6.38506,-8.20286
2008-04-01,-7.44165,-8.87704
2008-05-01,-8.005,-10.2057
2008-06-01,-8.23429,-10.7919
2008-07-01,-8.63491,-10.859
2008-08-01,-9.1724,-10.2898
2008-09-01,-9.64737,-10.2951
2008-10-01,-9.62966,-10.4314
2008-11-01,-10.6101,-11.4895
2008-12-01,-10.4179,-11.5462
2009-01-01,-8.92247,-9.77064
2009-02-01,-8.22937,-4.64474
2009-03-01,-8.4972,-1.19327
2009-04-01,-8.06878,-1.7019
2009-05-01,-7.10401,-4.95065
2009-06-01,-6.5295,-5.5616
2009-07-01,-5.97839,-3.96057
2009-08-01,-5.11415,-2.17198
2009-09-01,-4.37057,-1.97829
2009-10-01,-3.38794,-1.51271
2009-11-01,-1.35268,-0.363001
2009-12-01,-1.97794,-0.167988
2010-01-01,-2.76893,-0.935421
2010-02-01,-3.28323,-3.17301
2010-03-01,-2.25798,-3.30061
2010-04-01,-1.47328,-2.93732
2010-05-01,-1.43223,-1.15873
2010-06-01,-2.43137,-1.64319
2010-07-01,-2.7071,-3.35271
2010-08-01,-2.68964,-5.65531
2010-09-01,-3.50268,-6.63265
2010-10-01,-3.53299,-5.68258
2010-11-01,-4.11891,-4.82674
2010-12-01,-3.95647,-3.83411
2011-01-01,-4.52792,-4.8052
2011-02-01,-4.95412,-6.19468
2011-03-01,-5.90547,-8.26597
2011-04-01,-5.82215,-8.33142
2011-05-01,-6.02429,-6.9794
2011-06-01,-4.78564,-3.36771
2011-07-01,-4.01186,-0.814013
2011-08-01,-4.16217,0.912883
2011-09-01,-2.68149,1.21491
2011-10-01,-3.34131,0.616934
2011-11-01,-2.64738,0.993912
2011-12-01,-1.57298,0.623057
2012-01-01,-1.39458,1.34075
2012-02-01,-0.301356,0.946224
2012-03-01,1.69319,1.56444
2012-04-01,1.97061,3.36572
2012-05-01,2.78765,5.83468
2012-06-01,2.94366,6.99169
2012-07-01,2.97736,6.38516
2012-08-01,3.97116,5.52073
2012-09-01,3.75784,5.22611
2012-10-01,4.81365,5.70574
2012-11-01,4.87244,5.70276
2012-12-01,5.02347,5.91165
2013-01-01,6.25772,6.10604
2013-02-01,6.66107,6.86681
2013-03-01,6.80431,8.19542
2013-04-01,6.79145,8.8414
2013-05-01,7.02718,9.45437
2013-06-01,7.24986,8.80324
2013-07-01,7.61551,8.57647
2013-08-01,7.16762,7.38628
2013-09-01,7.31905,6.58229
2013-10-01,7.09029,5.2889
2013-11-01,6.64564,4.42166
2013-12-01,6.73583,3.78374
2014-01-01,6.38039,3.72883
2014-02-01,6.16111,4.51853
2014-03-01,5.41987,4.83634
2014-04-01,5.24275,4.88855
2014-05-01,4.61657,4.07193
2014-06-01,4.49633,3.95465
2014-07-01,4.33923,4.03529
2014-08-01,4.44366,4.69403
2014-09-01,4.01851,4.49522
2014-10-01,4.31359,4.38417
2014-11-01,4.78267,4.20459
2014-12-01,4.85021,5.31554
2015-01-01,4.51815,5.56479
2015-02-01,4.86925,6.02442
2015-03-01,4.92927,5.33201
2015-04-01,4.94719,5.6869
2015-05-01,5.32483,5.35559
2015-06-01,5.22002,5.5172
2015-07-01,5.28106,5.47024
2015-08-01,5.10649,5.23299
