date,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central,USA
1991-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1991-02-01,100.87,100.53,100.12,98.83,102.3,100.66,100.32,100.4,99.7,100.4
1991-03-01,100.89,100.45,99.77,100.73,101.24,100.14,100.55,100.06,100.5,100.46
1991-04-01,100.96,100.49,99.28,100.37,100.99,100.1,100.27,100.28,100.17,100.3
1991-05-01,101.31,100.67,99.22,100.58,99.56,100.11,100.37,100.24,100.33,100.35
1991-06-01,101.48,101.46,98.91,101.51,98.42,99.94,100.45,100.46,101.01,100.48
1991-07-01,101.86,101.21,99.19,101.27,98.53,99.87,100.35,100.31,100.85,100.5
1991-08-01,102.0,100.74,98.81,101.2,97.73,100.04,99.89,100.58,100.56,100.33
1991-09-01,101.96,101.13,99.41,101.63,98.93,99.55,99.94,100.79,101.57,100.59
1991-10-01,102.26,101.59,99.06,102.41,98.48,100.34,100.83,101.37,100.72,100.87
1991-11-01,103.29,102.13,100.1,103.77,96.93,100.61,101.08,101.32,101.18,101.35
1991-12-01,103.34,103.07,100.43,103.68,98.56,100.76,101.57,102.29,101.95,101.83
1992-01-01,103.87,103.22,100.8,104.38,99.67,101.01,101.71,102.32,102.44,102.2
1992-02-01,104.37,104.0,101.91,105.66,100.35,101.53,102.44,102.85,103.37,102.94
1992-03-01,105.1,103.74,101.27,105.92,99.36,100.85,102.17,103.5,102.78,102.78
1992-04-01,105.13,103.29,100.89,105.95,98.37,100.42,101.68,103.51,102.75,102.51
1992-05-01,105.44,103.98,100.37,106.27,97.26,100.25,101.87,103.82,102.7,102.54
1992-06-01,105.54,103.97,100.32,106.87,96.18,99.73,101.6,104.04,103.03,102.46
1992-07-01,105.9,104.63,100.35,107.24,96.61,100.03,102.04,104.64,103.37,102.83
1992-08-01,106.34,105.29,100.39,107.88,97.49,100.15,102.85,104.73,103.78,103.26
1992-09-01,106.6,105.78,101.29,108.39,97.41,100.22,103.28,105.32,104.24,103.66
1992-10-01,107.28,106.48,101.48,109.51,97.81,99.57,103.44,105.54,104.9,103.97
1992-11-01,107.71,106.18,102.19,110.06,98.28,99.64,103.29,105.91,105.34,104.23
1992-12-01,108.34,106.62,101.28,111.05,97.2,99.28,103.03,106.1,105.14,104.15
1993-01-01,108.44,106.9,100.98,111.77,96.47,98.7,103.13,107.34,105.37,104.22
1993-02-01,108.28,106.35,100.69,112.36,95.25,98.19,102.98,107.49,105.46,104.0
1993-03-01,108.83,107.82,100.6,112.44,95.36,98.3,103.55,106.69,106.0,104.32
1993-04-01,109.35,108.27,101.4,114.02,96.27,98.36,104.17,108.07,106.56,104.97
1993-05-01,109.69,108.66,101.73,114.63,95.96,97.93,104.32,108.75,107.1,105.2
1993-06-01,110.42,108.78,101.57,115.56,96.49,97.88,104.71,109.32,107.62,105.56
1993-07-01,110.81,109.26,101.12,116.63,96.39,96.9,104.75,109.74,108.19,105.62
