date,icsa
2023-10-14,200
2023-10-21,214
2023-10-28,217
2023-11-04,216
2023-11-11,229
2023-11-18,213
2023-11-25,214
2023-12-02,216
2023-12-09,204
2023-12-16,209
2023-12-23,210
2023-12-30,198
2024-01-06,199
2024-01-13,193
2024-01-20,223
2024-01-27,225
2024-02-03,214
2024-02-10,212
2024-02-17,203
2024-02-24,214
2024-03-02,212
2024-03-09,213
2024-03-16,213
2024-03-23,214
2024-03-30,223
2024-04-06,212
2024-04-13,211
2024-04-20,209
2024-04-27,209
2024-05-04,229
2024-05-11,222
2024-05-18,216
2024-05-25,221
2024-06-01,229
2024-06-08,241
2024-06-15,237
2024-06-22,233
2024-06-29,238
2024-07-06,222
2024-07-13,240
2024-07-20,236
2024-07-27,248
2024-08-03,234
2024-08-10,228
2024-08-17,232
2024-08-24,232
2024-08-31,228
2024-09-07,230
2024-09-14,222
2024-09-21,221
2024-09-28,227
2024-10-05,259
2024-10-12,240
2024-10-19,228
2024-10-26,218
2024-11-02,221
2024-11-09,219
2024-11-16,216
2024-11-23,216
2024-11-30,225
2024-12-07,239
2024-12-14,222
2024-12-21,219
2024-12-28,209
2025-01-04,205
2025-01-11,217
2025-01-18,222
2025-01-25,210
2025-02-01,222
2025-02-08,215
2025-02-15,224
2025-02-22,243
2025-03-01,224
2025-03-08,223
2025-03-15,225
2025-03-22,225
2025-03-29,219
2025-04-05,224
2025-04-12,216
2025-04-19,223
2025-04-26,241
2025-05-03,229
2025-05-10,228
2025-05-17,226
2025-05-24,239
2025-05-31,248
2025-06-07,250
2025-06-14,246
2025-06-21,237
2025-06-28,232
2025-07-05,228
2025-07-12,221
2025-07-19,217
2025-07-26,219
2025-08-02,227
2025-08-09,224
2025-08-16,234
2025-08-23,229
2025-08-30,236
2025-09-06,264
2025-09-13,232
2025-09-20,219
2025-09-27,224
2025-10-04,235
2025-10-11,220
2025-10-18,232
2025-10-25,220
2025-11-01,229
2025-11-08,228
2025-11-15,222
2025-11-22,217
2025-11-29,192
2025-12-06,237
2025-12-13,224
2025-12-20,215
2025-12-27,200
2026-01-03,207
2026-01-10,198
