date,icsa,label
2023-10-01,217,Oct
2023-11-01,218,
2023-12-01,207.4,
2024-01-01,210,Jan\\2024
2024-02-01,210.75,
2024-03-01,215,
2024-04-01,210.25,Apr
2024-05-01,222,
2024-06-01,235.6,
2024-07-01,236.5,Jul
2024-08-01,230.8,
2024-09-01,225,
2024-10-01,236.25,Oct
2024-11-01,219.4,
2024-12-01,222.25,
2025-01-01,213.5,Jan\\2025
2025-02-01,226,
2025-03-01,223.2,
2025-04-01,226,Apr
2025-05-01,234,
2025-06-01,241.25,
2025-07-01,221.25,Jul
2025-08-01,230,
2025-09-01,234.75,
2025-10-01,226.75,Oct
2025-11-01,217.6,
2025-12-01,219,
2026-01-01,206.25,Jan\\2026
