date,VALUE
1989-01-07,299000
1989-01-14,283000
1989-01-21,282000
1989-01-28,295000
1989-02-04,288000
1989-02-11,322000
1989-02-18,305000
1989-02-25,300000
1989-03-04,325000
1989-03-11,325000
1989-03-18,319000
1989-03-25,319000
1989-04-01,323000
1989-04-08,314000
1989-04-15,307000
1989-04-22,304000
1989-04-29,311000
1989-05-06,320000
1989-05-13,332000
1989-05-20,321000
1989-05-27,325000
1989-06-03,325000
1989-06-10,332000
1989-06-17,337000
1989-06-24,338000
1989-07-01,349000
1989-07-08,341000
1989-07-15,349000
1989-07-22,332000
1989-07-29,337000
1989-08-05,338000
1989-08-12,341000
1989-08-19,327000
1989-08-26,332000
1989-09-02,329000
1989-09-09,336000
1989-09-16,334000
1989-09-23,334000
1989-09-30,347000
1989-10-07,407000
1989-10-14,345000
1989-10-21,347000
1989-10-28,354000
1989-11-04,333000
1989-11-11,336000
1989-11-18,336000
1989-11-25,342000
1989-12-02,344000
1989-12-09,338000
1989-12-16,355000
1989-12-23,381000
1989-12-30,358000
1990-01-06,355000
1990-01-13,369000
1990-01-20,375000
1990-01-27,345000
1990-02-03,368000
1990-02-10,367000
1990-02-17,348000
1990-02-24,350000
1990-03-03,351000
1990-03-10,349000
1990-03-17,349000
1990-03-24,331000
1990-03-31,346000
1990-04-07,367000
1990-04-14,357000
1990-04-21,360000
1990-04-28,363000
1990-05-05,354000
1990-05-12,355000
1990-05-19,353000
1990-05-26,359000
1990-06-02,368000
1990-06-09,359000
1990-06-16,359000
1990-06-23,362000
1990-06-30,364000
1990-07-07,362000
1990-07-14,367000
1990-07-21,370000
1990-07-28,369000
1990-08-04,369000
1990-08-11,381000
1990-08-18,393000
1990-08-25,394000
1990-09-01,392000
1990-09-08,390000
1990-09-15,395000
1990-09-22,389000
1990-09-29,404000
1990-10-06,404000
1990-10-13,422000
1990-10-20,435000
1990-10-27,440000
1990-11-03,430000
1990-11-10,448000
1990-11-17,447000
1990-11-24,462000
1990-12-01,451000
1990-12-08,449000
1990-12-15,447000
1990-12-22,474000
1990-12-29,454000
1991-01-05,415000
1991-01-12,437000
1991-01-19,445000
1991-01-26,462000
1991-02-02,483000
1991-02-09,480000
1991-02-16,474000
1991-02-23,499000
1991-03-02,488000
1991-03-09,499000
1991-03-16,498000
1991-03-23,509000
1991-03-30,499000
1991-04-06,452000
1991-04-13,477000
1991-04-20,478000
1991-04-27,462000
1991-05-04,451000
1991-05-11,446000
1991-05-18,448000
1991-05-25,443000
1991-06-01,432000
1991-06-08,441000
1991-06-15,429000
1991-06-22,423000
1991-06-29,418000
1991-07-06,422000
1991-07-13,420000
1991-07-20,408000
1991-07-27,423000
1991-08-03,438000
1991-08-10,437000
1991-08-17,433000
1991-08-24,425000
1991-08-31,425000
1991-09-07,424000
1991-09-14,418000
1991-09-21,419000
1991-09-28,437000
1991-10-05,424000
1991-10-12,425000
1991-10-19,419000
1991-10-26,423000
1991-11-02,447000
1991-11-09,453000
1991-11-16,439000
1991-11-23,444000
1991-11-30,444000
1991-12-07,475000
1991-12-14,475000
1991-12-21,436000
1991-12-28,441000
1992-01-04,432000
1992-01-11,440000
1992-01-18,443000
1992-01-25,441000
1992-02-01,440000
1992-02-08,445000
1992-02-15,446000
1992-02-22,436000
1992-02-29,444000
1992-03-07,421000
1992-03-14,437000
1992-03-21,440000
1992-03-28,420000
1992-04-04,412000
1992-04-11,413000
1992-04-18,424000
1992-04-25,424000
1992-05-02,431000
1992-05-09,417000
1992-05-16,414000
1992-05-23,414000
1992-05-30,411000
1992-06-06,416000
1992-06-13,420000
1992-06-20,419000
1992-06-27,420000
1992-07-04,407000
1992-07-11,408000
1992-07-18,392000
1992-07-25,564000
1992-08-01,423000
1992-08-08,406000
1992-08-15,401000
1992-08-22,398000
1992-08-29,408000
1992-09-05,416000
1992-09-12,416000
1992-09-19,427000
1992-09-26,409000
1992-10-03,398000
1992-10-10,374000
1992-10-17,385000
1992-10-24,367000
1992-10-31,365000
1992-11-07,374000
1992-11-14,377000
1992-11-21,357000
1992-11-28,341000
1992-12-05,350000
1992-12-12,359000
1992-12-19,334000
1992-12-26,313000
1993-01-02,341000
1993-01-09,354000
1993-01-16,352000
1993-01-23,341000
1993-01-30,340000
1993-02-06,319000
