date,Manufacturing,Total index
1989-01-01,63.6131,64.0153
1989-02-01,62.9859,63.7242
1989-03-01,62.9109,63.8691
1989-04-01,63.0697,63.9124
1989-05-01,62.5091,63.4884
1989-06-01,62.6351,63.5187
1989-07-01,61.9251,62.9354
1989-08-01,62.4653,63.5168
1989-09-01,62.306,63.2954
1989-10-01,62.2019,63.2542
1989-11-01,62.3345,63.4616
1989-12-01,62.3758,63.8467
1990-01-01,62.2445,63.4228
1990-02-01,63.1394,64.0446
1990-03-01,63.4547,64.358
1990-04-01,63.2625,64.2602
1990-05-01,63.3915,64.3973
1990-06-01,63.5757,64.6041
1990-07-01,63.4634,64.5205
1990-08-01,63.6687,64.7326
1990-09-01,63.638,64.8145
1990-10-01,63.1186,64.3274
1990-11-01,62.4253,63.5753
1990-12-01,61.9697,63.1594
1991-01-01,61.508,62.8852
1991-02-01,61.0933,62.4462
1991-03-01,60.6608,62.119
1991-04-01,60.8715,62.2415
1991-05-01,61.2929,62.8646
1991-06-01,61.9365,63.4372
1991-07-01,62.1496,63.5128
1991-08-01,62.2803,63.5671
1991-09-01,62.961,64.133
1991-10-01,62.8453,64.0213
1991-11-01,62.7255,63.948
1991-12-01,62.6115,63.6937
1992-01-01,62.2349,63.3374
1992-02-01,62.7918,63.7911
1992-03-01,63.4304,64.3212
1992-04-01,63.7704,64.8088
1992-05-01,64.1432,65.0202
1992-06-01,64.3221,65.0295
1992-07-01,64.9032,65.6172
1992-08-01,64.6307,65.2943
1992-09-01,64.6597,65.446
1992-10-01,65.0827,65.9369
1992-11-01,65.3519,66.2174
1992-12-01,65.2816,66.2772
1993-01-01,65.9163,66.5643
1993-02-01,66.0779,66.8594
1993-03-01,65.9165,66.7658
1993-04-01,66.2832,67
1993-05-01,66.2263,66.7674
1993-06-01,66.1077,66.8781
1993-07-01,66.2863,67.0845
1993-08-01,66.1509,67.014
1993-09-01,66.5825,67.3345
1993-10-01,67.157,67.8515
1993-11-01,67.4368,68.1326
1993-12-01,67.8284,68.5054
1994-01-01,67.9412,68.7648
1994-02-01,68.0205,68.7836
1994-03-01,68.9135,69.4766
1994-04-01,69.4989,69.8703
1994-05-01,69.9399,70.2281
1994-06-01,70.1264,70.6763
1994-07-01,70.4056,70.7846
1994-08-01,70.961,71.2053
1994-09-01,71.3161,71.4767
1994-10-01,72.0183,72.082
1994-11-01,72.5639,72.5263
1994-12-01,73.3714,73.2879
1995-01-01,73.5062,73.4219
1995-02-01,73.2972,73.3025
1995-03-01,73.4878,73.4081
1995-04-01,73.3369,73.3612
1995-05-01,73.4913,73.6104
1995-06-01,73.8461,73.8602
1995-07-01,73.3613,73.5664
1995-08-01,74.1656,74.495
1995-09-01,74.8314,74.7937
1995-10-01,74.7775,74.7017
1995-11-01,74.8433,74.8897
1995-12-01,75.1165,75.1755
1996-01-01,74.5392,74.6841
1996-02-01,75.7031,75.8344
1996-03-01,75.5774,75.7631
1996-04-01,76.4284,76.4562
1996-05-01,77.0199,77.0161
1996-06-01,77.8283,77.6669
1996-07-01,78.043,77.5662
1996-08-01,78.4576,78.016
1996-09-01,79.12,78.5532
1996-10-01,78.9998,78.5065
1996-11-01,79.6869,79.1996
1996-12-01,80.3955,79.7143
1997-01-01,80.4648,79.8273
1997-02-01,81.6087,80.793
1997-03-01,82.4314,81.334
1997-04-01,82.2979,81.3531
1997-05-01,82.9144,81.8293
1997-06-01,83.4664,82.2285
1997-07-01,84.0302,82.8557
1997-08-01,85.0952,83.7214
1997-09-01,85.8351,84.4651
1997-10-01,86.5895,85.1918
1997-11-01,87.5169,85.9397
1997-12-01,87.8527,86.2047
1998-01-01,88.583,86.6474
1998-02-01,88.7006,86.7612
1998-03-01,88.5845,86.8198
1998-04-01,89.0177,87.1411
1998-05-01,89.4818,87.6952
1998-06-01,88.7843,87.145
1998-07-01,88.4568,86.8423
1998-08-01,90.6047,88.6247
1998-09-01,90.3986,88.4515
1998-10-01,91.2938,89.1677
1998-11-01,91.4491,89.1098
1998-12-01,91.9477,89.4407
1999-01-01,92.2267,89.8594
1999-02-01,92.9911,90.3386
1999-03-01,92.9264,90.4819
1999-04-01,93.3004,90.7274
1999-05-01,94.1197,91.352
1999-06-01,93.7921,91.1994
1999-07-01,94.2244,91.7766
1999-08-01,94.8038,92.1629
1999-09-01,94.4103,91.774
1999-10-01,95.8451,92.9979
1999-11-01,96.4393,93.4371
1999-12-01,97.095,94.1593
2000-01-01,97.2031,94.1758
2000-02-01,97.3902,94.4557
2000-03-01,97.9894,94.798
2000-04-01,98.7085,95.4808
2000-05-01,98.5747,95.6435
2000-06-01,98.7757,95.7353
2000-07-01,98.8914,95.5906
2000-08-01,98.2105,95.3112
2000-09-01,98.6502,95.679
2000-10-01,98.3502,95.397
2000-11-01,98.0907,95.4229
2000-12-01,97.5384,95.1573
2001-01-01,96.9707,94.5448
2001-02-01,96.3431,93.9398
2001-03-01,96.1389,93.7201
2001-04-01,95.8324,93.4469
2001-05-01,95.2107,92.876
2001-06-01,94.5874,92.3208
2001-07-01,94.158,91.7933
2001-08-01,93.7269,91.6795
2001-09-01,93.5291,91.3289
2001-10-01,92.9856,90.9315
2001-11-01,92.7426,90.486
2001-12-01,92.9976,90.5073
2002-01-01,93.5321,91.0794
2002-02-01,93.4874,91.0553
2002-03-01,94.21,91.798
2002-04-01,94.4028,92.1771
2002-05-01,94.8872,92.5668
2002-06-01,95.9529,93.4476
2002-07-01,95.6185,93.2237
2002-08-01,95.8496,93.2359
2002-09-01,95.9553,93.3654
2002-10-01,95.6048,93.0834
2002-11-01,96.0445,93.5693
2002-12-01,95.5543,93.1103
2003-01-01,96.2389,93.8198
2003-02-01,96.1524,93.9532
2003-03-01,96.284,93.7358
2003-04-01,95.4596,93.0657
2003-05-01,95.5584,93.0918
2003-06-01,96.0361,93.2476
2003-07-01,96.2666,93.6582
2003-08-01,95.9039,93.5246
2003-09-01,96.6398,94.0751
2003-10-01,96.7625,94.2079
2003-11-01,97.702,94.9338
2003-12-01,97.4984,94.8662
2004-01-01,97.5152,95.1085
2004-02-01,98.2546,95.6847
2004-03-01,98.0939,95.2088
2004-04-01,98.4914,95.6385
2004-05-01,99.2619,96.3966
2004-06-01,98.5367,95.6019
2004-07-01,99.4395,96.3385
2004-08-01,99.8999,96.4095
2004-09-01,99.8715,96.4907
2004-10-01,100.869,97.4094
2004-11-01,100.818,97.6137
2004-12-01,101.539,98.3318
2005-01-01,102.301,98.7845
2005-02-01,103.147,99.4639
2005-03-01,102.635,99.3061
