name,Jul `25 contrib,Jun `25 contrib,May `25 contrib,Jul `24 contrib, Jul `25 growth rate, Jun `25 growth rate, May `25 growth rate, Jul `24 growth rate
Total Index,1.4,0.8,0.7,-0.5,1.4,0.8,0.7,-0.5
Manufacturing,1.1,0.6,0.4,-0.5,1.4,0.8,0.5,-0.6
 Durable Manufacturing,1.0,0.4,0.3,-0.8,2.7,1.2,0.8,-2.3
Motor Vehicles \& Parts,0.4,-0.1,0.0,-0.7,8.3,-2.1,0.6,-12.9
 Nondurable Manufacturing,0.2,0.3,0.2,0.4,0.6,0.8,0.6,1.2
 Mining,0.3,0.3,0.4,-0.2,1.9,1.9,3.0,-1.5
 Utilities,0.1,-0.0,-0.0,0.2,0.8,-0.3,-0.4,1.5
 Consumer Goods,0.2,-0.1,-0.1,-0.2,0.6,-0.5,-0.3,-0.6
Consumer Durables,0.1,-0.2,-0.1,-0.5,2.5,-3.5,-2.3,-8.3
Automotive Products,0.2,-0.2,-0.1,-0.4,6.6,-5.0,-2.3,-14.2
Consumer Nondurables,0.0,0.1,0.1,0.4,0.1,0.3,0.3,1.7
Foods \& Tobacco,0.0,-0.0,-0.0,-0.1,0.4,-0.3,-0.3,-0.6
Chemical Products,0.1,0.2,0.2,0.4,1.1,3.8,3.8,7.8
Consumer Energy Products,-0.0,-0.1,-0.0,0.1,-0.7,-1.1,-0.6,1.6
 Business Equipment \& Supplies,0.5,0.3,0.4,-0.1,1.7,1.3,1.4,-0.4
Equipment,0.3,0.2,0.2,-0.2,3.0,2.2,1.9,-1.7
Industrial Equipment,0.0,0.0,0.0,-0.1,0.1,1.2,0.3,-2.5
Nonindustrial Supplies,0.1,0.1,0.2,0.1,0.9,0.6,1.0,0.5
Construction Supplies,0.1,0.1,0.1,-0.0,2.0,1.8,1.8,-0.5
Business Supplies,0.0,-0.0,0.1,0.1,0.3,-0.0,0.6,1.0
Materials,0.8,0.7,0.5,-0.3,1.8,1.4,1.0,-0.6
Consumer Parts,0.0,-0.1,-0.1,-0.2,0.7,-3.1,-3.3,-7.7
Equipment Parts,0.3,0.3,0.3,0.1,5.7,6.7,5.4,2.3
Chemical Materials,0.2,0.1,0.1,-0.0,3.6,2.2,2.3,-0.7
 Energy Materials,0.2,0.2,0.2,0.0,1.3,1.1,1.0,0.2
