date,Consumer goods,ENS,Materials,Durable manufacturing,Energy materials,Mining,Nondurable manufacturing,Electric and gas utilities,Non-energy materials
1989-01-01,0.494353,0.744086,1.19592,2.02809,0.0388003,-0.116017,0.47969,0.165968,1.15712
1989-04-01,0.18645,0.559164,0.429593,0.708451,0.0484143,-0.0481565,0.24794,0.293684,0.381179
1989-07-01,-0.190945,0.452072,-0.0767686,0.200607,0.0190968,-0.0626375,-0.0673034,0.135697,-0.0958654
1989-10-01,-0.0701943,0.110225,-0.171739,-0.775225,0.490952,-0.0838514,0.153361,0.73432,-0.662692
1990-01-01,-0.184753,0.428611,-0.121377,-0.605896,0.388293,0.186702,0.409551,0.241877,-0.50967
1990-04-01,0.178562,0.599153,0.439106,0.450916,0.321995,0.00546709,0.483728,0.341684,0.117111
1990-07-01,0.648632,0.712882,0.900692,0.893959,0.34647,0.0838742,0.880486,0.413106,0.554222
1990-10-01,-0.1807,0.372029,0.100916,-0.16402,0.0455974,0.17225,0.522103,-0.140021,0.0553191
1991-01-01,-0.47248,-0.794612,-1.03909,-1.81182,0.0947542,-0.0529149,-0.431561,0.217964,-1.13385
1991-04-01,-0.327,-1.02597,-1.08193,-2.15741,0.14942,-0.107649,-0.236238,0.339717,-1.23135
1991-07-01,0.0220747,-0.85954,-0.592025,-1.27239,0.00631929,-0.202672,0.0426605,0.201311,-0.598344
1991-10-01,0.630715,-0.443786,0.165866,0.288069,-0.0706885,-0.246021,0.134211,0.293628,0.236555
1992-01-01,0.693936,0.209081,1.24842,1.63027,-0.182714,-0.256334,0.851666,0.093661,1.43113
1992-04-01,0.941251,0.721325,1.70735,2.6795,-0.204619,-0.134398,1.0764,-0.107135,1.91197
1992-07-01,0.792035,0.685294,1.21899,2.14975,-0.165475,-0.0856118,0.968669,-0.202939,1.38447
1992-10-01,1.01845,0.904426,1.58911,2.54035,0.11396,-0.0265536,0.900823,0.24743,1.47515
1993-01-01,1.45638,1.27493,1.86359,3.32036,0.156049,-0.0242109,0.87137,0.427699,1.70754
1993-04-01,0.760514,0.892673,1.29351,2.2354,0.0614084,-0.0578536,0.49348,0.273673,1.2321
1993-07-01,0.65721,0.688917,1.19687,1.77025,0.0365463,-0.0396994,0.27753,0.576739,1.16032
1993-10-01,0.553154,1.00455,1.5351,2.52954,-0.0432384,0.0574461,0.378181,0.141974,1.57834
1994-01-01,0.706063,0.918948,1.7875,2.5554,0.110473,0.112649,0.486533,0.368997,1.67703
1994-04-01,1.20863,1.23203,2.65608,3.61542,0.150135,0.142176,1.19457,0.281692,2.50594
1994-07-01,1.24288,1.50763,3.28853,4.58693,0.232776,0.132479,1.37856,0.0925155,3.05575
1994-10-01,1.38277,1.62986,3.50653,4.68305,0.209708,0.0327947,1.81466,0.0879864,3.29683
1995-01-01,1.15372,1.71628,3.45459,4.70488,0.127519,0.0267597,1.65533,-0.00106672,3.32707
1995-04-01,0.710652,1.45947,2.57895,3.71914,0.209023,-0.0198144,0.734318,0.325864,2.36993
1995-07-01,0.739263,1.60056,2.08264,3.48872,0.230223,0.00599773,0.382381,0.554656,1.85241
1995-10-01,0.379555,1.21473,1.6007,3.00002,0.116711,-0.0270214,-0.197109,0.54476,1.48399
1996-01-01,0.241581,1.06954,1.49678,2.88487,0.232401,-0.0182822,-0.530944,0.700158,1.26438
1996-04-01,0.626837,1.76223,2.295,4.31662,0.241007,0.142068,-0.0760883,0.461307,2.054
1996-07-01,0.401571,1.97598,2.67533,4.85532,0.0513599,0.161438,0.306562,-0.112765,2.62397
1996-10-01,0.625434,2.1729,2.82559,4.60404,0.127671,0.151603,0.725397,0.102799,2.69792
1997-01-01,0.877521,2.73494,3.31712,5.40972,-0.0108904,0.208075,1.35499,-0.202231,3.32801
1997-04-01,0.541029,2.57984,3.07081,4.91939,-0.165377,0.10437,1.18413,-0.239699,3.23618
1997-07-01,1.05701,2.67214,3.52926,5.32151,0.0871744,0.0799409,1.3096,0.183892,3.44208
1997-10-01,1.47969,3.0858,3.91123,6.65901,0.00853103,0.0631391,1.26564,0.202985,3.9027
1998-01-01,1.29093,2.9647,3.43193,6.3412,0.0435483,0.0852389,1.04125,0.0418275,3.38839
1998-04-01,1.41559,2.58339,2.84703,5.24915,0.20985,-0.0152042,0.967108,0.391946,2.63718
1998-07-01,0.912798,2.26461,2.00244,4.3415,0.0054277,-0.175401,0.363301,0.465334,1.99701
1998-10-01,0.367968,1.78768,1.85489,4.22831,0.0106834,-0.215139,-0.164979,0.0955326,1.84421
1999-01-01,0.588597,1.36107,2.01804,3.79613,-0.0123292,-0.369805,0.0308538,0.464109,2.03037
1999-04-01,0.481736,1.21977,2.56223,4.44816,-0.118064,-0.356342,0.0140764,0.226078,2.68029
1999-07-01,0.407666,1.01007,3.05558,4.58011,0.0193785,-0.177503,-0.104283,0.186853,3.0362
1999-10-01,0.903618,0.925965,3.03608,3.56271,0.129407,-0.00298921,0.871628,0.193044,2.90668
2000-01-01,0.537385,1.25424,2.95738,3.99863,0.163658,0.167303,0.340448,0.113168,2.79372
2000-04-01,0.769809,1.49506,2.752,4.01884,0.221787,0.222772,0.422515,0.280739,2.53021
2000-07-01,0.71577,1.31675,1.92718,3.28478,0.133063,0.184107,0.405271,0.0772436,1.79412
2000-10-01,0.0636097,0.900601,0.902673,2.01585,0.240045,0.0330451,-0.515639,0.541257,0.662628
2001-01-01,-0.0969296,0.130957,-0.478419,0.144025,0.116942,0.0504726,-0.72595,0.423189,-0.59536
2001-04-01,-0.345821,-0.997211,-1.5416,-1.40006,-0.0319195,0.122029,-1.21269,-0.0230782,-1.50968
2001-07-01,-0.413797,-1.61503,-2.09624,-2.6062,-0.17493,-0.00191949,-1.14382,-0.0302298,-1.92131
2001-10-01,-0.26946,-2.16433,-2.42078,-3.19325,-0.371345,-0.0902852,-0.877265,-0.477257,-2.04943
2002-01-01,0.332456,-2.03959,-1.16316,-2.09291,-0.217465,-0.274085,-0.220754,-0.245033,-0.945699
2002-04-01,0.540225,-1.1068,0.412389,-0.515022,-0.00290293,-0.296835,0.501371,0.330602,0.415292
2002-07-01,0.84667,-0.365199,1.36044,1.14688,0.0640653,-0.293157,0.817452,0.402528,1.29637
2002-10-01,0.721134,0.38614,1.77614,2.11951,0.0266772,-0.303065,0.561337,0.679793,1.74946
2003-01-01,0.708985,0.635403,1.41883,1.70851,0.101778,-0.0404365,0.546233,0.598803,1.31705
2003-04-01,0.215754,0.160382,0.0390058,0.583825,-0.190624,-0.0858972,-0.00495295,-0.0342612,0.22963
2003-07-01,0.301652,0.159212,0.00622843,0.772396,-0.0560466,0.0317153,-0.244144,0.0833889,0.062275
2003-10-01,0.357306,0.364953,0.769041,1.56142,0.108817,0.161628,-0.0411864,0.0382938,0.660224
2004-01-01,0.215944,0.476607,0.905527,1.8838,0.00839847,0.0206557,-0.229723,0.122977,0.897129
2004-04-01,0.436397,0.915896,1.61733,2.25546,0.151158,0.0131121,0.389234,0.322996,1.46617
2004-07-01,0.153891,1.12214,1.59745,1.93174,-0.100889,-0.0412016,0.819762,-0.0424705,1.69834
2004-10-01,0.479821,1.10087,1.71111,1.7667,0.0124551,-0.0368593,1.24229,0.16653,1.69865
2005-01-01,0.557921,1.50137,1.93594,2.13183,0.0712524,0.118747,1.59947,-0.00753721,1.86468
