date,Consumer goods,ENS,Materials,Durable manufacturing,Energy materials,Mining,Nondurable manufacturing,Electric and gas utilities,Non-energy materials,label
2024-01-01,-0.195846,-0.564524,-0.519547,-1.06569,0.0283645,-0.569162,-0.20634,0.926827,-0.547912,Jan\\2024
2024-02-01,-0.134309,-0.0595184,-0.158947,-0.503236,0.129332,0.0495327,0.106332,0.164153,-0.288279,
2024-03-01,-0.192679,-0.0653212,-0.290764,-0.121754,-0.187038,-0.100014,0.301881,-0.495397,-0.103726,
2024-04-01,-0.392694,-0.305388,-0.298207,-0.7877,0.108009,-0.12894,-0.119335,0.133416,-0.406216,
2024-05-01,-0.0540715,-0.22009,0.209668,-0.690382,0.362598,-0.155077,0.328501,0.532098,-0.15293,
2024-06-01,0.508667,-0.0936201,0.360891,-0.547277,0.520329,-0.0199536,0.560413,0.868936,-0.159438,
2024-07-01,-0.199225,-0.370891,-0.353132,-1.26346,0.0445466,-0.211992,0.432327,0.192515,-0.397679,Jul
2024-08-01,-0.0155314,-0.353334,-0.0364651,-0.646067,0.132849,0.0405773,0.16422,0.0674482,-0.169314,
2024-09-01,-0.0701011,-0.65072,-0.469355,-0.977096,-0.161296,-0.191529,0.0658529,-0.0526973,-0.308059,
2024-10-01,-0.0583058,-0.885145,-0.014368,-1.0138,0.212575,-0.0259818,0.00805123,0.130483,-0.226943,
2024-11-01,-0.419254,-0.845893,-0.267442,-1.22601,-0.0370866,-0.188817,0.0859809,-0.127026,-0.230355,
2024-12-01,-0.222655,-0.32027,0.28671,-0.96437,0.293132,-0.0318097,0.15036,0.728886,-0.00642142,
2025-01-01,-0.0160758,0.10294,0.770398,-0.273142,0.624873,0.248435,0.288355,0.706407,0.145525,Jan\\2025
2025-02-01,0.256909,0.0602623,0.494416,-0.18838,0.391854,-0.0960991,0.183687,1.09295,0.102562,
2025-03-01,0.0159649,0.286703,0.27632,-0.0412232,0.149986,0.148463,0.264443,0.300009,0.126334,
2025-04-01,-0.0197522,0.38395,0.519539,0.175511,0.230146,0.0853625,0.406364,0.335622,0.289393,
2025-05-01,-0.295207,0.355233,0.0492816,0.223355,-0.0011244,0.194697,-0.117907,-0.0501171,0.050406,
2025-06-01,-0.232929,0.322896,0.496089,0.340769,0.177586,0.197362,0.153296,0.0455853,0.318503,
2025-07-01,0.270068,0.613574,1.04465,1.18509,0.414907,0.283251,0.288546,0.319831,0.629747,Jul
2025-08-01,-0.113527,0.568351,0.706454,0.71253,0.166098,0.2762,0.372306,-0.0513927,0.540356,
2025-09-01,-0.0838698,1.14098,0.963346,1.27851,0.490342,0.315413,0.360754,0.164419,0.473004,
2025-10-01,-0.145826,1.50964,0.797441,1.5655,0.285071,0.159912,0.155557,0.33845,0.51237,
2025-11-01,0.20778,1.46036,1.07783,1.32375,0.55656,0.463003,0.434924,0.552665,0.521268,
2025-12-01,0.192014,1.10878,0.746654,1.203,0.431279,0.199071,0.371115,0.287309,0.315375,
