date,MenUE,WomenUE,MenNE,WomenNE,MenEU,WomenEU,MenNU,WomenNU,MenEN,WomenEN,MenUN,WomenUN,MenE,WomenE,MenU,WomenU,MenN,WomenN
2018-01-01,1017.0,755.0,2045.0,2468.0,808.0,653.0,842.0,939.0,2071.0,2596.0,698.0,945.0,82219.0,72206.0,3505.0,2984.0,38449.0,57417.0
2018-02-01,1021.0,794.0,2043.0,2601.0,809.0,714.0,883.0,995.0,1894.0,2316.0,715.0,793.0,82592.0,72605.0,3469.0,3111.0,38189.0,56967.0
2018-03-01,959.0,854.0,2048.0,2369.0,959.0,735.0,823.0,887.0,2036.0,2555.0,839.0,873.0,82628.0,72586.0,3460.0,3012.0,38244.0,57167.0
2018-04-01,1012.0,773.0,2026.0,2512.0,926.0,691.0,866.0,899.0,2105.0,2576.0,695.0,931.0,82672.0,72640.0,3548.0,2910.0,38198.0,57303.0
2018-05-01,996.0,711.0,1854.0,2475.0,862.0,555.0,769.0,834.0,1861.0,2459.0,747.0,837.0,82810.0,72842.0,3443.0,2753.0,38256.0,57350.0
2018-06-01,923.0,703.0,1919.0,2604.0,860.0,632.0,873.0,946.0,2142.0,2446.0,757.0,697.0,82669.0,73093.0,3503.0,2945.0,38432.0,57001.0
2018-07-01,995.0,785.0,2091.0,2756.0,855.0,692.0,700.0,796.0,2146.0,2528.0,814.0,708.0,82731.0,73415.0,3248.0,2946.0,38725.0,56777.0
2018-08-01,938.0,839.0,2048.0,2457.0,908.0,717.0,851.0,758.0,2276.0,3080.0,770.0,738.0,82578.0,72926.0,3306.0,2850.0,38932.0,57474.0
2018-09-01,966.0,739.0,2102.0,2614.0,878.0,638.0,840.0,870.0,2146.0,2308.0,769.0,851.0,82642.0,73372.0,3294.0,2779.0,38992.0,57211.0
2018-10-01,969.0,807.0,1966.0,2589.0,884.0,662.0,860.0,922.0,1933.0,2591.0,722.0,699.0,82809.0,73582.0,3351.0,2861.0,38881.0,57032.0
2018-11-01,1022.0,750.0,1977.0,2668.0,767.0,732.0,838.0,859.0,1965.0,2657.0,758.0,792.0,83096.0,73625.0,3184.0,2931.0,38857.0,57014.0
2018-12-01,844.0,853.0,2101.0,2560.0,924.0,620.0,842.0,955.0,2148.0,2618.0,659.0,714.0,82977.0,73840.0,3448.0,2941.0,38801.0,56881.0
2019-01-01,996.0,776.0,2049.0,2395.0,794.0,654.0,930.0,921.0,2007.0,2583.0,703.0,752.0,82948.0,73581.0,3459.0,2979.0,38482.0,56790.0
2019-02-01,991.0,768.0,2124.0,2654.0,830.0,607.0,789.0,972.0,2197.0,2544.0,851.0,924.0,83028.0,73879.0,3242.0,2873.0,38695.0,56675.0
2019-03-01,961.0,756.0,2014.0,2396.0,899.0,620.0,841.0,888.0,2081.0,2757.0,654.0,821.0,83067.0,73687.0,3369.0,2813.0,38600.0,56999.0
2019-04-01,947.0,691.0,1888.0,2469.0,756.0,564.0,783.0,811.0,2146.0,2674.0,709.0,840.0,83031.0,73652.0,3253.0,2658.0,38830.0,57269.0
2019-05-01,856.0,679.0,2123.0,2541.0,753.0,669.0,830.0,861.0,1988.0,2684.0,774.0,772.0,83281.0,73533.0,3205.0,2736.0,38711.0,57395.0
2019-06-01,905.0,785.0,2103.0,2627.0,803.0,758.0,779.0,751.0,2051.0,2521.0,732.0,716.0,83470.0,73694.0,3158.0,2751.0,38657.0,57307.0
2019-07-01,973.0,725.0,2206.0,2542.0,782.0,621.0,809.0,887.0,2100.0,2482.0,583.0,722.0,83683.0,73842.0,3199.0,2809.0,38496.0,57195.0
2019-08-01,847.0,786.0,1842.0,2764.0,758.0,618.0,783.0,871.0,2062.0,2612.0,668.0,777.0,83598.0,74184.0,3228.0,2753.0,38655.0,57014.0
2019-09-01,878.0,809.0,1987.0,2608.0,744.0,621.0,821.0,824.0,2077.0,2419.0,757.0,773.0,83703.0,74599.0,3159.0,2615.0,38721.0,56840.0
2019-10-01,847.0,666.0,2041.0,2630.0,891.0,655.0,720.0,854.0,2080.0,2458.0,693.0,734.0,83663.0,74811.0,3233.0,2724.0,38791.0,56623.0
