date,Share
1989-01-01,56.0671
1989-04-01,56.2169
1989-07-01,56.3021
1989-10-01,56.8151
1990-01-01,56.7793
1990-04-01,56.8973
1990-07-01,57.0966
1990-10-01,57.0953
1991-01-01,56.7565
1991-04-01,56.8483
1991-07-01,56.9472
1991-10-01,57.1855
1992-01-01,57.2624
1992-04-01,57.3319
1992-07-01,57.4407
1992-10-01,57.2583
1993-01-01,57.2718
1993-04-01,57.078
1993-07-01,57.1316
1993-10-01,56.5446
1994-01-01,56.3175
1994-04-01,56.293
1994-07-01,56.0144
1994-10-01,55.8226
1995-01-01,55.9164
1995-04-01,55.8408
1995-07-01,55.5064
1995-10-01,55.4761
1996-01-01,55.2272
1996-04-01,55.1293
1996-07-01,55.2377
1996-10-01,55.0482
1997-01-01,55.0536
1997-04-01,55.0405
1997-07-01,54.8539
1997-10-01,55.142
1998-01-01,55.5906
1998-04-01,55.6437
1998-07-01,55.5987
1998-10-01,55.8282
1999-01-01,55.8507
1999-04-01,55.9056
1999-07-01,55.9973
1999-10-01,56.167
2000-01-01,56.5462
2000-04-01,56.3131
2000-07-01,56.6247
2000-10-01,56.8067
2001-01-01,56.7949
2001-04-01,56.4475
2001-07-01,56.3311
2001-10-01,56.5661
2002-01-01,55.9604
2002-04-01,55.9179
2002-07-01,55.8509
2002-10-01,55.4879
2003-01-01,55.3257
2003-04-01,55.5201
2003-07-01,55.4154
2003-10-01,55.5779
2004-01-01,55.0452
2004-04-01,54.9792
2004-07-01,55.0926
2004-10-01,54.8688
2005-01-01,54.4152
2005-04-01,54.169
2005-07-01,54.1776
2005-10-01,53.5528
2006-01-01,53.5222
2006-04-01,53.322
2006-07-01,53.1337
2006-10-01,53.7237
2007-01-01,54.4979
2007-04-01,54.2766
2007-07-01,54.6843
2007-10-01,55.1653
2008-01-01,55.5106
2008-04-01,55.3181
2008-07-01,55.2546
2008-10-01,56.0452
2009-01-01,54.7582
2009-04-01,54.8171
2009-07-01,54.4284
2009-10-01,53.8983
2010-01-01,53.3095
2010-04-01,53.4309
2010-07-01,52.9166
2010-10-01,52.8655
2011-01-01,53.3803
2011-04-01,52.8737
2011-07-01,52.8633
2011-10-01,52.0419
2012-01-01,51.9746
2012-04-01,51.8731
2012-07-01,52.1512
2012-10-01,52.679
2013-01-01,52.2545
2013-04-01,52.3077
2013-07-01,52.1716
2013-10-01,52.0699
2014-01-01,52.5745
2014-04-01,51.8522
2014-07-01,51.5923
2014-10-01,51.9208
2015-01-01,52.3171
2015-04-01,52.4025
2015-07-01,52.5974
2015-10-01,52.8914
2016-01-01,52.8258
2016-04-01,52.9648
2016-07-01,52.9825
2016-10-01,53.0356
2017-01-01,52.8792
2017-04-01,52.86
2017-07-01,53.1008
2017-10-01,53.2671
2018-01-01,53.0832
2018-04-01,53.0486
2018-07-01,52.9797
2018-10-01,52.9977
2019-01-01,53.6552
2019-04-01,53.4194
2019-07-01,53.3422
2019-10-01,53.3003
2020-01-01,53.9251
2020-04-01,55.887
